run,Sample,Environment,isTrimmed,baseRecalibration,Mapper,VariantCaller,Duplicates,pass_filter_applied,n_variants,tmb,tmb_merged
192,NC,Uhem + COSAP,NO,YES,BOWTIE,Mutect,MARK,True,1086,13.44684617719288,13.455296802103398
195,LL,Uhem + COSAP,YES,YES,BWA,Strelka,MARK,True,1872,23.179093962896015,23.19366078594619
196,EA,Uhem + COSAP,YES,YES,BWA,Strelka,MARK,True,1915,23.71151973234288,23.726421156563543
197,LL,Altay + COSAP,YES,YES,BWA,Strelka,MARK,True,1872,23.179093962896015,23.19366078594619
198,NC,Uhem + COSAP,YES,YES,BWA,Strelka,MARK,True,1835,22.720960161278946,22.735239071694046
201,LL,Uhem + COSAP,NO,NO,BWA,Strelka,MARK,True,2055,25.44499898170476,25.46098980508516
202,EA,Uhem + COSAP,NO,NO,BWA,Strelka,MARK,True,2245,27.7975779629816,27.81504725665021
203,LL,Altay + COSAP,NO,NO,BWA,Strelka,MARK,True,2055,25.44499898170476,25.46098980508516
204,NC,Uhem + COSAP,NO,NO,BWA,Strelka,MARK,True,1989,24.627787335577015,24.643264585067826
207,LL,Uhem + COSAP,YES,NO,BWA,Strelka,MARK,True,2122,26.274592622470802,26.29110480116336
208,EA,Uhem + COSAP,YES,NO,BWA,Strelka,MARK,True,2343,29.011013437534917,29.02924531061534
209,LL,Altay + COSAP,YES,NO,BWA,Strelka,MARK,True,2122,26.274592622470802,26.29110480116336
210,NC,Uhem + COSAP,YES,NO,BWA,Strelka,MARK,True,2050,25.383089008513263,25.399040924780817
213,LL,Uhem + COSAP,NO,YES,BWA,Strelka,MARK,True,1817,22.49808425778956,22.51222310259841
214,EA,Uhem + COSAP,NO,YES,BWA,Strelka,MARK,True,1809,22.399028300683167,22.41310489411146
215,LL,Altay + COSAP,NO,YES,BWA,Strelka,MARK,True,1817,22.49808425778956,22.51222310259841
216,NC,Uhem + COSAP,NO,YES,BWA,Strelka,MARK,True,1757,21.755164579491613,21.76883653894629
219,LL,Uhem + COSAP,YES,YES,BOWTIE,Strelka,MARK,True,1173,14.524079710724907,14.533207319398974
220,EA,Uhem + COSAP,YES,YES,BOWTIE,Strelka,MARK,True,1193,14.77171960349089,14.781002840616347
221,LL,Altay + COSAP,YES,YES,BOWTIE,Strelka,MARK,True,1173,14.524079710724907,14.533207319398974
222,NC,Uhem + COSAP,YES,YES,BOWTIE,Strelka,MARK,True,1179,14.598371678554702,14.607545975764186
225,LL,Uhem + COSAP,NO,NO,BOWTIE,Strelka,MARK,True,949,11.750512911745897,11.757897481764386
226,EA,Uhem + COSAP,NO,NO,BOWTIE,Strelka,MARK,True,1131,14.004035935916342,14.012836724842488
227,LL,Altay + COSAP,NO,NO,BOWTIE,Strelka,MARK,True,949,11.750512911745897,11.757897481764386
228,NC,Uhem + COSAP,NO,NO,BOWTIE,Strelka,MARK,True,1103,13.657340086043966,13.665922995138166
231,LL,Uhem + COSAP,YES,NO,BOWTIE,Strelka,MARK,True,1313,16.257558960086786,16.267775967920592
