run,TestCaseNo,phase,Sample,operatingSystem,Environment,isTrimmed,baseRecalibration,Mapper,M_Version,VariantCaller,VC_Version,ReferenceGenom,Duplicates,VariantFilter,FilterPass,SOMATICfilter,remove_indels,FileLink,Author,Slurm_id,Node,ElapsedTime,vcf_relpath
86,86,done,EA,Linux,Altay + COSAP,YES,NO,BOWTIE,,Strelka,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1X1OvI85JdMUE9OKO3eqy33ZcqztXDglP?usp=share_link,GUL EDA,29810.0,a076,02:29:00,vcf/TESTCASES_bedded/TestCase 86/snp_SRR7890919_bowtie-SRR7890918_bowtie_strelka.vcf.secondbed.vcf.recode.vcf
92,92,done,EA,Linux,Altay + COSAP,NO,YES,BOWTIE,,Strelka,,hg38,MARK,,,,,https://drive.google.com/drive/folders/18UgGLTMly_ck00MAYK6ZJ0xGRVhecGLA?usp=share_link,GUL EDA,29810.0,a076,03:57:32,vcf/TESTCASES_bedded/TestCase 92/snp_SRR7890919-SRR7890919bowtie-SRR7890918-SRR7890918bowtie_strelka.vcf.secondbed.vcf.recode.vcf
98,98,done,EA,Linux,Altay + COSAP,YES,YES,BWA,,SomaticSniper,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1gSBVQkJiWYWyylBvYCvAAMQNOEUNjBkx?usp=share_link,GUL EDA,29814.0,a041,03:56:22,vcf/TESTCASES_bedded/TestCase 98/snp_SRR7890919_bwa2-SRR7890918_bwa2_somaticsniper.vcf.filtered.recode.vcf
104,104,done,EA,Linux,Altay + COSAP,NO,NO,BWA,,SomaticSniper,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1FPivop-LSA7K2-C5yi9kOPHyR5wCUZHP?usp=share_link,GUL EDA,29814.0,a041,02:03:55,vcf/TESTCASES_bedded/TestCase 104/snp_SRR7890919-SRR7890919bwa2-SRR7890918-SRR7890918bwa2_somaticsniper.vcf.filtered.recode.vcf
110,110,done,EA,Linux,Altay + COSAP,YES,NO,BWA,,SomaticSniper,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1mcioFtr2bfHCVV-FEBglHffw_MIBH8vb?usp=share_link,GUL EDA,29814.0,a041,02:22:27,vcf/TESTCASES_bedded/TestCase 110/snp_SRR7890919_bwa2-SRR7890918_bwa2_somaticsniper.vcf.filtered.recode.vcf
116,116,done,EA,Linux,Altay + COSAP,NO,YES,BWA,,SomaticSniper,,hg38,MARK,,,,,https://drive.google.com/drive/folders/15DFnlF183CbHS1R_hYPDIEq2zjuU3Y3X?usp=share_link,GUL EDA,29814.0,a041,03:46:40,vcf/TESTCASES_bedded/TestCase 116/snp_SRR7890919-SRR7890919bwa2-SRR7890918-SRR7890918bwa2_somaticsniper.vcf.filtered.recode.vcf
122,122,done,EA,Linux,Altay + COSAP,YES,YES,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1C2f3IV4-eHfgojqbn6SDF9Sk_Ulv8C6A?usp=share_link,GUL EDA,29809.0,a071,04:31:48,vcf/TESTCASES_bedded/TestCase 122/snp_SRR7890919_bowtie-SRR7890918_bowtie_somaticsniper.vcf.filtered.recode.vcf
128,128,done,EA,Linux,Altay + COSAP,NO,NO,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1SeTlOlnA95OXDjw4WA1PtS_71COGCvtr?usp=share_link,GUL EDA,29809.0,a071,02:38:59,vcf/TESTCASES_bedded/TestCase 128/snp_SRR7890919-SRR7890919bowtie-SRR7890918-SRR7890918bowtie_somaticsniper.vcf.filtered.recode.vcf
134,134,done,EA,Linux,Altay + COSAP,YES,NO,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1VqP-8TL2NhqQlXkViIQjY4Z4P6S8lEsz?usp=share_link,GUL EDA,29809.0,a071,02:50:38,vcf/TESTCASES_bedded/TestCase 134/snp_SRR7890919_bowtie-SRR7890918_bowtie_somaticsniper.vcf.filtered.recode.vcf
140,140,done,EA,Linux,Altay + COSAP,NO,YES,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1RVIun0kXIERjrnmIAsjzXF-wjVALlegh?usp=share_link,GUL EDA,29809.0,a071,04:30:22,vcf/TESTCASES_bedded/TestCase 140/snp_SRR7890919-SRR7890919bowtie-SRR7890918-SRR7890918bowtie_somaticsniper.vcf.filtered.recode.vcf
147,147,done,LL,,Uhem + COSAP,YES,YES,BWA,,Mutect,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1vWoVy9aCVv2StqjdOKg8RfQSc8RQkqSm?usp=sharing,GÜL EDA,658693.0,s008,2:59:11,vcf/TESTCASES_bedded/TestCase 147/snp_SRR7890851_bwa2-SRR7890850_bwa2_mutect.vcf.secondbed.vcf.recode.vcf
148,148,done,EA,,Uhem + COSAP,YES,YES,BWA,,Mutect,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1ygSTlgnLpgcp5YsE1GUyjLxVhq4J0Zyy?usp=share_link,GUL EDA,664682.0,s004,07:47:19,vcf/TESTCASES_bedded/TestCase 148/snp_SRR7890919_bwa2-SRR7890918_bwa2_mutect.vcf.secondbed.vcf.recode.vcf
149,149,done,LL,,Altay + COSAP,YES,YES,BWA,,Mutect,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1FKQVwBYlBmgi5NJFrgG7yilm_6l2_Q48?usp=share_link,GÜL EDA,29303.0,a062,02:54:31,vcf/TESTCASES_bedded/TestCase 149/snp_SRR7890851_bwa2-SRR7890850_bwa2_mutect.vcf.secondbed.vcf.recode.vcf
150,150,done,NC,,Uhem + COSAP,YES,YES,BWA,,Mutect,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1A2b7Tkg-uO8gqx9VG-9tDB67WwczurN3?usp=sharing,GÜL EDA,658815.0,s020,7:15:03,vcf/TESTCASES_bedded/TestCase 150/snp_SRR7890845_bwa2-SRR7890844_bwa2_mutect.vcf.secondbed.vcf.recode.vcf
153,153,done,LL,,Uhem + COSAP,NO,NO,BWA,,Mutect,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1MyPazmdRCvDAZCz2NgEM5nPAschmaR0q?usp=sharing,GÜL EDA,658693.0,s008,3:09:49,vcf/TESTCASES_bedded/TestCase 153/snp_SRR7890851-SRR7890851bwa2-SRR7890850-SRR7890850bwa2_mutect.vcf.secondbed.vcf.recode.vcf
154,154,done,EA,,Uhem + COSAP,NO,NO,BWA,,Mutect,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1vtLTLJQeH17TMHVhL017rJQToyA2F03g?usp=share_link,GUL EDA,664682.0,s004,07:05:44,vcf/TESTCASES_bedded/TestCase 154/snp_SRR7890919-SRR7890919bwa2-SRR7890918-SRR7890918bwa2_mutect.vcf.secondbed.vcf.recode.vcf
155,155,done,LL,,Altay + COSAP,NO,NO,BWA,,Mutect,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1RwdnB0iHh2EBxOTPr2K59iYPgh2gOkEB?usp=share_link,GÜL EDA,29303.0,a062,03:16:30,vcf/TESTCASES_bedded/TestCase 155/snp_SRR7890851-SRR7890851bwa2-SRR7890850-SRR7890850bwa2_mutect.vcf.secondbed.vcf.recode.vcf
156,156,done,NC,,Uhem + COSAP,NO,NO,BWA,,Mutect,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1mwJcPWevZL-VMV-W0zOZvlXFEM471x4_?usp=sharing,GÜL EDA,658815.0,s020,8:33:53,vcf/TESTCASES_bedded/TestCase 156/snp_SRR7890845-SRR7890845bwa2-SRR7890844-SRR7890844bwa2_mutect.vcf.secondbed.vcf.recode.vcf
159,159,done,LL,,Uhem + COSAP,YES,NO,BWA,,Mutect,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1nG9mtUIQHH0jq09Rb9ys_R7ke8WR0oAN?usp=sharing,GÜL EDA,658693.0,s008,2:30:06,vcf/TESTCASES_bedded/TestCase 159/snp_SRR7890851_bwa2-SRR7890850_bwa2_mutect.vcf.secondbed.vcf.recode.vcf
160,160,done,EA,,Uhem + COSAP,YES,NO,BWA,,Mutect,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1iUDA0pAZW5d-wkqfhq9kOnSmk8jahdju?usp=share_link,GUL EDA,664682.0,s004,06:19:42,vcf/TESTCASES_bedded/TestCase 160/snp_SRR7890919_bwa2-SRR7890918_bwa2_mutect.vcf.secondbed.vcf.recode.vcf
161,161,done,LL,,Altay + COSAP,YES,NO,BWA,,Mutect,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1Zk9U3XQ-PtX9WPPEd5HmiH1NeBMF9khf?usp=share_link,GÜL EDA,29303.0,a062,02:32:36,vcf/TESTCASES_bedded/TestCase 161/snp_SRR7890851_bwa2-SRR7890850_bwa2_mutect.vcf.secondbed.vcf.recode.vcf
162,162,done,NC,,Uhem + COSAP,YES,NO,BWA,,Mutect,,hg38,MARK,,,,,https://drive.google.com/drive/folders/16gFyokwJjLooHXg9lOJgfSHVs2mN_Gfd?usp=sharing,GÜL EDA,658815.0,s020,6:24:13,vcf/TESTCASES_bedded/TestCase 162/snp_SRR7890845_bwa2-SRR7890844_bwa2_mutect.vcf.secondbed.vcf.recode.vcf
