run,TestCaseNo,phase,Sample,operatingSystem,Environment,isTrimmed,baseRecalibration,Mapper,M_Version,VariantCaller,VC_Version,ReferenceGenom,Duplicates,VariantFilter,FilterPass,SOMATICfilter,remove_indels,FileLink,Author,Slurm_id,Node,ElapsedTime,vcf_relpath
209,209,done,LL,,Altay + COSAP,YES,NO,BWA,,Strelka,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1N6HmkvPyMMV-NJ_ugdUVVmJtsaI94IIt?usp=share_link,GÜL EDA,29193.0,a043,00:43:39,vcf/TESTCASES_bedded/TestCase 209/snp_SRR7890851_bwa2-SRR7890850_bwa2_strelka.vcf.secondbed.vcf.recode.vcf
210,210,done,NC,,Uhem + COSAP,YES,NO,BWA,,Strelka,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1ImgcUG03MxA6IA6fCDYM0OHJV10R8bPN?usp=sharing,GÜL EDA,655595.0,f010,1:01:53,vcf/TESTCASES_bedded/TestCase 210/snp_SRR7890845_bwa2-SRR7890844_bwa2_strelka.vcf.secondbed.vcf.recode.vcf
213,213,done,LL,,Uhem + COSAP,NO,YES,BWA,,Strelka,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1tP9mYpPyIvXd8OrnIL8Fq3_cES7W172B?usp=sharing,GÜL EDA,655629.0,s022,1:22:52,vcf/TESTCASES_bedded/TestCase 213/snp_SRR7890851-SRR7890851bwa2-SRR7890850-SRR7890850bwa2_strelka.vcf.secondbed.vcf.recode.vcf
214,214,done,EA,,Uhem + COSAP,NO,YES,BWA,,Strelka,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1vFtqslZ1a7gQ4Lg9OLOoPBSRXfq24o_o?usp=share_link,GUL EDA,664683.0,s023,03:46:06,vcf/TESTCASES_bedded/TestCase 214/snp_SRR7890919-SRR7890919bwa2-SRR7890918-SRR7890918bwa2_strelka.vcf.secondbed.vcf.recode.vcf
215,215,done,LL,,Altay + COSAP,NO,YES,BWA,,Strelka,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1L_Ka1HKzJjgty0zJKYRjognYSj7N1ly8?usp=share_link,GÜL EDA,29193.0,a043,01:22:33,vcf/TESTCASES_bedded/TestCase 215/snp_SRR7890851-SRR7890851bwa2-SRR7890850-SRR7890850bwa2_strelka.vcf.secondbed.vcf.recode.vcf
216,216,done,NC,,Uhem + COSAP,NO,YES,BWA,,Strelka,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1hSV7fiVYKstVmvWDcwN6uFF_SrHtTooI?usp=sharing,GÜL EDA,655595.0,f010,2:25:31,vcf/TESTCASES_bedded/TestCase 216/snp_SRR7890845-SRR7890845bwa2-SRR7890844-SRR7890844bwa2_strelka.vcf.secondbed.vcf.recode.vcf
219,219,done,LL,,Uhem + COSAP,YES,YES,BOWTIE,,Strelka,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1yRx-Pu0-EPhwYHnUxSiEtVxMHzCSf-Nu?usp=sharing,GÜL EDA,655629.0,s022,1:37:23,vcf/TESTCASES_bedded/TestCase 219/snp_SRR7890851_bowtie-SRR7890850_bowtie_strelka.vcf.secondbed.vcf.recode.vcf
220,220,done,EA,,Uhem + COSAP,YES,YES,BOWTIE,,Strelka,,hg38,MARK,,,,,https://drive.google.com/drive/folders/10E3nw6zudVj42_kidJM4iZhFRjGg9PfJ?usp=share_link,GUL EDA,664680.0,f003,03:56:26,vcf/TESTCASES_bedded/TestCase 220/snp_SRR7890919_bowtie-SRR7890918_bowtie_strelka.vcf.secondbed.vcf.recode.vcf
221,221,done,LL,,Altay + COSAP,YES,YES,BOWTIE,,Strelka,,hg38,MARK,,,,,https://drive.google.com/drive/folders/153QIUZg0duUG0Bq_k8w-IbatuC7lZeM5?usp=share_link,GÜL EDA,29194.0,a044,01:36:23,vcf/TESTCASES_bedded/TestCase 221/snp_SRR7890851_bowtie-SRR7890850_bowtie_strelka.vcf.secondbed.vcf.recode.vcf
222,222,done,NC,,Uhem + COSAP,YES,YES,BOWTIE,,Strelka,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1VDgAhVC-d3z63F8XjVru0ZKD-5pEiNnt?usp=sharing,GÜL EDA,655356.0,s023,2:41:39,vcf/TESTCASES_bedded/TestCase 222/snp_SRR7890845_bowtie-SRR7890844_bowtie_strelka.vcf.secondbed.vcf.recode.vcf
225,225,done,LL,,Uhem + COSAP,NO,NO,BOWTIE,,Strelka,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1qRvob0u7u_9ndIV0r-elKa0LsgqoI0jL?usp=sharing,GÜL EDA,655629.0,s022,0:46:53,vcf/TESTCASES_bedded/TestCase 225/snp_SRR7890851-SRR7890851bowtie-SRR7890850-SRR7890850bowtie_strelka.vcf.secondbed.vcf.recode.vcf
226,226,done,EA,,Uhem + COSAP,NO,NO,BOWTIE,,Strelka,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1_hZXXl8a0Cyrxnav7uCTJ3cQLJ0bkaUV?usp=share_link,GUL EDA,664680.0,f003,02:06:25,vcf/TESTCASES_bedded/TestCase 226/snp_SRR7890919-SRR7890919bowtie-SRR7890918-SRR7890918bowtie_strelka.vcf.secondbed.vcf.recode.vcf
227,227,done,LL,,Altay + COSAP,NO,NO,BOWTIE,,Strelka,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1040_DtCvhl7esSHzl-kMEOR2SZliMl4S?usp=share_link,GÜL EDA,29194.0,a044,00:46:40,vcf/TESTCASES_bedded/TestCase 227/snp_SRR7890851-SRR7890851bowtie-SRR7890850-SRR7890850bowtie_strelka.vcf.secondbed.vcf.recode.vcf
228,228,done,NC,,Uhem + COSAP,NO,NO,BOWTIE,,Strelka,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1Tvj2csY6zhVGMxh1cC0fcWgpBhFwOlfn?usp=sharing,GÜL EDA,655356.0,s023,1:16:19,vcf/TESTCASES_bedded/TestCase 228/snp_SRR7890845-SRR7890845bowtie-SRR7890844-SRR7890844bowtie_strelka.vcf.secondbed.vcf.recode.vcf
231,231,done,LL,,Uhem + COSAP,YES,NO,BOWTIE,,Strelka,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1Nm0gZjs-lqE-MTv_T8G40MGBFCAp2Y4W?usp=sharing,GÜL EDA,655629.0,s022,0:49:57,vcf/TESTCASES_bedded/TestCase 231/snp_SRR7890851_bowtie-SRR7890850_bowtie_strelka.vcf.secondbed.vcf.recode.vcf
232,232,done,EA,,Uhem + COSAP,YES,NO,BOWTIE,,Strelka,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1wR94vbmRUX1xPa2m2Z9TaqF_jfZPKpuj?usp=share_link,GUL EDA,664680.0,f003,02:14:47,vcf/TESTCASES_bedded/TestCase 232/snp_SRR7890919_bowtie-SRR7890918_bowtie_strelka.vcf.secondbed.vcf.recode.vcf
233,233,done,LL,,Altay + COSAP,YES,NO,BOWTIE,,Strelka,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1GcntHVeKuCfyY8G6cxBOnXUJcmfzlTPT?usp=share_link,GÜL EDA,29194.0,a044,00:53:31,vcf/TESTCASES_bedded/TestCase 233/snp_SRR7890851_bowtie-SRR7890850_bowtie_strelka.vcf.secondbed.vcf.recode.vcf
234,234,done,NC,,Uhem + COSAP,YES,NO,BOWTIE,,Strelka,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1A0k55VyHQp_UCPSqJWjhjuKV4HcNBMTW?usp=sharing,GÜL EDA,655356.0,s023,1:19:49,vcf/TESTCASES_bedded/TestCase 234/snp_SRR7890845_bowtie-SRR7890844_bowtie_strelka.vcf.secondbed.vcf.recode.vcf
237,237,done,LL,,Uhem + COSAP,NO,YES,BOWTIE,,Strelka,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1JsmwwjSDtoaoR1tIpMyyYWKag5I8gUjV?usp=sharing,GÜL EDA,655629.0,s022,1:30:34,vcf/TESTCASES_bedded/TestCase 237/snp_SRR7890851-SRR7890851bowtie-SRR7890850-SRR7890850bowtie_strelka.vcf.secondbed.vcf.recode.vcf
238,238,done,EA,,Uhem + COSAP,NO,YES,BOWTIE,,Strelka,,hg38,MARK,,,,,https://drive.google.com/drive/folders/19O4Sb3fdNSoqC7kYfDeNoWkMF6nXFZXk?usp=share_link,GUL EDA,664680.0,f003,03:51:50,vcf/TESTCASES_bedded/TestCase 238/snp_SRR7890919-SRR7890919bowtie-SRR7890918-SRR7890918bowtie_strelka.vcf.secondbed.vcf.recode.vcf
239,239,done,LL,,Altay + COSAP,NO,YES,BOWTIE,,Strelka,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1kukQH2yiLnm66j61uGSd8S3hW21SjsXQ?usp=share_link,GÜL EDA,29194.0,a044,01:27:47,vcf/TESTCASES_bedded/TestCase 239/snp_SRR7890851-SRR7890851bowtie-SRR7890850-SRR7890850bowtie_strelka.vcf.secondbed.vcf.recode.vcf
240,240,done,NC,,Uhem + COSAP,NO,YES,BOWTIE,,Strelka,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1YDLG_EzvICMJ6fjmNWfQ4ziZMa1p5HOJ?usp=sharing,GÜL EDA,655356.0,s023,2:39:04,vcf/TESTCASES_bedded/TestCase 240/snp_SRR7890845-SRR7890845bowtie-SRR7890844-SRR7890844bowtie_strelka.vcf.secondbed.vcf.recode.vcf
243,243,done,LL,,Uhem + COSAP,YES,YES,BWA,,SomaticSniper,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1gpAAI9G-2f4NfeCgEjoP3jOisi5c2w_d?usp=sharing,GÜL EDA,658694.0,s011,1:30:55,vcf/TESTCASES_bedded/TestCase 243/snp_SRR7890851_bwa2-SRR7890850_bwa2_somaticsniper.vcf.filtered.recode.vcf
244,244,done,EA,,Uhem + COSAP,YES,YES,BWA,,SomaticSniper,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1hxiYE-W2m1wEOBczvILIsTzj_2Vi2O0Y?usp=share_link,GUL EDA,664684.0,s030,04:36:26,vcf/TESTCASES_bedded/TestCase 244/snp_SRR7890919_bwa2-SRR7890918_bwa2_somaticsniper.vcf.filtered.recode.vcf
245,245,done,LL,,Altay + COSAP,YES,YES,BWA,,SomaticSniper,,hg38,MARK,,,,,https://drive.google.com/drive/folders/10HWe-R5C5ieizaJABtRr7S0-86i_n4lp?usp=share_link,GÜL EDA,29306.0,a059,01:31:54,vcf/TESTCASES_bedded/TestCase 245/snp_SRR7890851_bwa2-SRR7890850_bwa2_somaticsniper.vcf.filtered.recode.vcf
246,246,done,NC,,Uhem + COSAP,YES,YES,BWA,,SomaticSniper,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1IZH3Tqx8wrW69dTiHWxeW_NuwteqlrPR?usp=sharing,GÜL EDA,658817.0,s021,2:34:52,vcf/TESTCASES_bedded/TestCase 246/snp_SRR7890845_bwa2-SRR7890844_bwa2_somaticsniper.vcf.filtered.recode.vcf
249,249,done,LL,,Uhem + COSAP,NO,NO,BWA,,SomaticSniper,,hg38,MARK,,,,,https://drive.google.com/drive/folders/19miaDaZlws1ne145avDrLZWdm9Fedpv5?usp=sharing,GÜL EDA,658694.0,s011,0:40:53,vcf/TESTCASES_bedded/TestCase 249/snp_SRR7890851-SRR7890851bwa2-SRR7890850-SRR7890850bwa2_somaticsniper.vcf.filtered.recode.vcf
250,250,done,EA,,Uhem + COSAP,NO,NO,BWA,,SomaticSniper,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1P6Jp6FAN3FXzZziIXWhJ6BCO9CjAQhTx?usp=share_link,GUL EDA,664684.0,s030,02:48:39,vcf/TESTCASES_bedded/TestCase 250/snp_SRR7890919-SRR7890919bwa2-SRR7890918-SRR7890918bwa2_somaticsniper.vcf.filtered.recode.vcf
251,251,done,LL,,Altay + COSAP,NO,NO,BWA,,SomaticSniper,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1Bd97WOTWKxw2n88rbYlnYXPdI5A6kZxA?usp=share_link,GÜL EDA,29306.0,a059,00:46:40,vcf/TESTCASES_bedded/TestCase 251/snp_SRR7890851-SRR7890851bwa2-SRR7890850-SRR7890850bwa2_somaticsniper.vcf.filtered.recode.vcf
252,252,done,NC,,Uhem + COSAP,NO,NO,BWA,,SomaticSniper,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1IqQTXVh_uSmcT5vjg-lMHMMIB1lk1ws-?usp=sharing,GÜL EDA,658817.0,s021,1:09:56,vcf/TESTCASES_bedded/TestCase 252/snp_SRR7890845-SRR7890845bwa2-SRR7890844-SRR7890844bwa2_somaticsniper.vcf.filtered.recode.vcf
255,255,done,LL,,Uhem + COSAP,YES,NO,BWA,,SomaticSniper,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1Xs66tf9lUSNaQ_CPsne33ff0Ydct2EwF?usp=sharing,GÜL EDA,658694.0,s011,0:42:50,vcf/TESTCASES_bedded/TestCase 255/snp_SRR7890851_bwa2-SRR7890850_bwa2_somaticsniper.vcf.filtered.recode.vcf
256,256,done,EA,,Uhem + COSAP,YES,NO,BWA,,SomaticSniper,,hg38,MARK,,,,,https://drive.google.com/drive/folders/10cilAatwCjKKP7mN2ikHPdZv6_Q89xiG?usp=share_link,GUL EDA,664684.0,s030,02:50:05,vcf/TESTCASES_bedded/TestCase 256/snp_SRR7890919_bwa2-SRR7890918_bwa2_somaticsniper.vcf.filtered.recode.vcf
257,257,done,LL,,Altay + COSAP,YES,NO,BWA,,SomaticSniper,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1Ph7S_ByMFDvEQAYXp5mQFinqHGTUgaf1?usp=share_link,GÜL EDA,29306.0,a059,00:47:30,vcf/TESTCASES_bedded/TestCase 257/snp_SRR7890851_bwa2-SRR7890850_bwa2_somaticsniper.vcf.filtered.recode.vcf
258,258,done,NC,,Uhem + COSAP,YES,NO,BWA,,SomaticSniper,,hg38,MARK,,,,,https://drive.google.com/drive/folders/13WGAIpTE6T1nZ9A6x8kvWrjGMhxiGxYa?usp=sharing,GÜL EDA,658817.0,s021,1:13:23,vcf/TESTCASES_bedded/TestCase 258/snp_SRR7890845_bwa2-SRR7890844_bwa2_somaticsniper.vcf.filtered.recode.vcf
261,261,done,LL,,Uhem + COSAP,NO,YES,BWA,,SomaticSniper,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1OUiVYTlXfeC1MYaxIi9JAENpv3UHHPbY?usp=sharing,GÜL EDA,658694.0,s011,1:29:53,vcf/TESTCASES_bedded/TestCase 261/snp_SRR7890851-SRR7890851bwa2-SRR7890850-SRR7890850bwa2_somaticsniper.vcf.filtered.recode.vcf
262,262,done,EA,,Uhem + COSAP,NO,YES,BWA,,SomaticSniper,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1Ib-PzwXgPp7YOk_13LsJwcKM_DMElICo?usp=share_link,GUL EDA,664684.0,s030,04:16:05,vcf/TESTCASES_bedded/TestCase 262/snp_SRR7890919-SRR7890919bwa2-SRR7890918-SRR7890918bwa2_somaticsniper.vcf.filtered.recode.vcf
263,263,done,LL,,Altay + COSAP,NO,YES,BWA,,SomaticSniper,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1F9DcbPk7ndGDhqIjX0rpVssNfUkpC7vx?usp=share_link,GÜL EDA,29306.0,a059,01:29:06,vcf/TESTCASES_bedded/TestCase 263/snp_SRR7890851-SRR7890851bwa2-SRR7890850-SRR7890850bwa2_somaticsniper.vcf.filtered.recode.vcf
264,264,done,NC,,Uhem + COSAP,NO,YES,BWA,,SomaticSniper,,hg38,MARK,,,,,https://drive.google.com/drive/folders/18ZSxUHgjO-AU8f8o_UUNLbXUK1SBQMxn?usp=sharing,GÜL EDA,658817.0,s021,2:34:13,vcf/TESTCASES_bedded/TestCase 264/snp_SRR7890845-SRR7890845bwa2-SRR7890844-SRR7890844bwa2_somaticsniper.vcf.filtered.recode.vcf
267,267,done,LL,,Uhem + COSAP,YES,YES,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,https://drive.google.com/drive/folders/11uRd6KL-t3GSx-w6QZdYjN--ncDHh1eK?usp=sharing,GÜL EDA,658697.0,s032,1:45:03,vcf/TESTCASES_bedded/TestCase 267/snp_SRR7890851_bowtie-SRR7890850_bowtie_somaticsniper.vcf.filtered.recode.vcf
268,268,done,EA,,Uhem + COSAP,YES,YES,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1DwsCycjTuq7KMLygsLkkhl31Zjf2beqO?usp=share_link,GUL EDA,664681.0,s002,04:21:53,vcf/TESTCASES_bedded/TestCase 268/snp_SRR7890919_bowtie-SRR7890918_bowtie_somaticsniper.vcf.filtered.recode.vcf
269,269,done,LL,,Altay + COSAP,YES,YES,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1Wy_QlskofvmdYnv7y2JVM4kWKUlt95JN?usp=share_link,GÜL EDA,29305.0,a058,01:42:08,vcf/TESTCASES_bedded/TestCase 269/snp_SRR7890851_bowtie-SRR7890850_bowtie_somaticsniper.vcf.filtered.recode.vcf
270,270,done,NC,,Uhem + COSAP,YES,YES,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1zBMstGYEMI-sXF2xLMSoJ8nR_9wYiJVa?usp=sharing,GÜL EDA,658819.0,s027,3:01:27,vcf/TESTCASES_bedded/TestCase 270/snp_SRR7890845_bowtie-SRR7890844_bowtie_somaticsniper.vcf.filtered.recode.vcf
273,273,done,LL,,Uhem + COSAP,NO,NO,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1jm3R_ofH8LwGX4wWgizt8E8JFVJxt5rD?usp=sharing,GÜL EDA,658697.0,s032,0:53:28,vcf/TESTCASES_bedded/TestCase 273/snp_SRR7890851-SRR7890851bowtie-SRR7890850-SRR7890850bowtie_somaticsniper.vcf.filtered.recode.vcf
274,274,done,EA,,Uhem + COSAP,NO,NO,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1_hCaKBdqxF2VUmL14ToEg997peXG0Mqs?usp=share_link,GUL EDA,664681.0,s002,02:32:17,vcf/TESTCASES_bedded/TestCase 274/snp_SRR7890919-SRR7890919bowtie-SRR7890918-SRR7890918bowtie_somaticsniper.vcf.filtered.recode.vcf
275,275,done,LL,,Altay + COSAP,NO,NO,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1R8mFa-v0waeQWPXIdd7kTvmpDIFb8Gfe?usp=share_link,GÜL EDA,29305.0,a058,00:53:47,vcf/TESTCASES_bedded/TestCase 275/snp_SRR7890851-SRR7890851bowtie-SRR7890850-SRR7890850bowtie_somaticsniper.vcf.filtered.recode.vcf
276,276,done,NC,,Uhem + COSAP,NO,NO,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1Nho3wHwcmAUKTQHjKrBVNHAWGpNp2_Yv?usp=sharing,GÜL EDA,658819.0,s027,1:32:46,vcf/TESTCASES_bedded/TestCase 276/snp_SRR7890845-SRR7890845bowtie-SRR7890844-SRR7890844bowtie_somaticsniper.vcf.filtered.recode.vcf
279,279,done,LL,,Uhem + COSAP,YES,NO,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1HbstKHqD_9-g2vBECxWejVUkOtFvA8ye?usp=sharing,GÜL EDA,658697.0,s032,0:55:54,vcf/TESTCASES_bedded/TestCase 279/snp_SRR7890851_bowtie-SRR7890850_bowtie_somaticsniper.vcf.filtered.recode.vcf
280,280,done,EA,,Uhem + COSAP,YES,NO,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1vg99UX1OIxo1h9eXhZIxApkOc4XyFpOF?usp=share_link,GUL EDA,664681.0,s002,02:37:56,vcf/TESTCASES_bedded/TestCase 280/snp_SRR7890919_bowtie-SRR7890918_bowtie_somaticsniper.vcf.filtered.recode.vcf
281,281,done,LL,,Altay + COSAP,YES,NO,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1JsC13506tgJ7KjYqb2p6C6912PDANVVD?usp=share_link,GÜL EDA,29305.0,a058,00:59:35,vcf/TESTCASES_bedded/TestCase 281/snp_SRR7890851_bowtie-SRR7890850_bowtie_somaticsniper.vcf.filtered.recode.vcf
282,282,done,NC,,Uhem + COSAP,YES,NO,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,https://drive.google.com/drive/folders/17OxxiAu3o_n8_AJ2LhWWJiuf7sIy_CBW?usp=sharing,GÜL EDA,658819.0,s027,1:35:48,vcf/TESTCASES_bedded/TestCase 282/snp_SRR7890845_bowtie-SRR7890844_bowtie_somaticsniper.vcf.filtered.recode.vcf
285,285,done,LL,,Uhem + COSAP,NO,YES,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,https://drive.google.com/drive/folders/15Ppg2mlcQ9HoNLGht--TMbc-FakVYsdv?usp=sharing,GÜL EDA,658697.0,s032,1:40:09,vcf/TESTCASES_bedded/TestCase 285/snp_SRR7890851-SRR7890851bowtie-SRR7890850-SRR7890850bowtie_somaticsniper.vcf.filtered.recode.vcf
286,286,done,EA,,Uhem + COSAP,NO,YES,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1Z74DQhkBSknjsO9f3uieDiakwaokgqSp?usp=share_link,GUL EDA,664681.0,s002,04:18:51,vcf/TESTCASES_bedded/TestCase 286/snp_SRR7890919-SRR7890919bowtie-SRR7890918-SRR7890918bowtie_somaticsniper.vcf.filtered.recode.vcf
287,287,done,LL,,Altay + COSAP,NO,YES,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1LnHxIO5zh2K-PMFjrhnYhrTm53pconh0?usp=share_link,GÜL EDA,29305.0,a058,01:36:35,vcf/TESTCASES_bedded/TestCase 287/snp_SRR7890851-SRR7890851bowtie-SRR7890850-SRR7890850bowtie_somaticsniper.vcf.filtered.recode.vcf
288,288,done,NC,,Uhem + COSAP,NO,YES,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1nFChvbysbN3zdlkFTz2EvRjybx2-coXy?usp=sharing,GÜL EDA,658819.0,s027,3:00:33,vcf/TESTCASES_bedded/TestCase 288/snp_SRR7890845-SRR7890845bowtie-SRR7890844-SRR7890844bowtie_somaticsniper.vcf.filtered.recode.vcf
290,290,done,EA,Linux,Altay + COSAP,YES,YES,BWA,,Mutect,,hg38,DELETE,,,,,https://drive.google.com/drive/folders/1UQs3QLOZr0zMkBip2iabnrGF3Fft5uCp?usp=share_link,GUL EDA,30428.0,a079,06:07:30,vcf/TESTCASES_bedded/TestCase 290/snp_SRR7890919_bwa2-SRR7890918_bwa2_mutect.vcf.secondbed.vcf.recode.vcf
296,296,done,EA,Linux,Altay + COSAP,NO,NO,BWA,,Mutect,,hg38,DELETE,,,,,https://drive.google.com/drive/folders/1isvrWsadzsBiMmBuQxSQjLG8UR5lXBws?usp=share_link,GUL EDA,30428.0,a079,06:31:30,vcf/TESTCASES_bedded/TestCase 296/snp_SRR7890919-SRR7890919bwa2-SRR7890918-SRR7890918bwa2_mutect.vcf.secondbed.vcf.recode.vcf
302,302,done,EA,Linux,Altay + COSAP,YES,NO,BWA,,Mutect,,hg38,DELETE,,,,,https://drive.google.com/drive/folders/1v1z1dpyui-Hqt7uGC-yYFULAkzoUpJZI?usp=share_link,GUL EDA,30428.0,a079,05:47:03,vcf/TESTCASES_bedded/TestCase 302/snp_SRR7890919_bwa2-SRR7890918_bwa2_mutect.vcf.secondbed.vcf.recode.vcf
308,308,done,EA,Linux,Altay + COSAP,NO,YES,BWA,,Mutect,,hg38,DELETE,,,,,https://drive.google.com/drive/folders/1m-B8ISpfzdTGMDtFWaV6sbAwqcWu4EIb?usp=share_link,GUL EDA,30428.0,a079,08:12:58,vcf/TESTCASES_bedded/TestCase 308/snp_SRR7890919-SRR7890919bwa2-SRR7890918-SRR7890918bwa2_mutect.vcf.secondbed.vcf.recode.vcf
314,314,done,EA,Linux,Altay + COSAP,YES,YES,BOWTIE,,Mutect,,hg38,DELETE,,,,,https://drive.google.com/drive/folders/1_ARO8B8cyyJu6OveY-n2ipwhgzRXDTuE?usp=share_link,GUL EDA,30431.0,a061,07:55:59,vcf/TESTCASES_bedded/TestCase 314/snp_SRR7890919_bowtie-SRR7890918_bowtie_mutect.vcf.secondbed.vcf.recode.vcf
320,320,done,EA,Linux,Altay + COSAP,NO,NO,BOWTIE,,Mutect,,hg38,DELETE,,,,,https://drive.google.com/drive/folders/1wd8bTl9SZvP0LclVvbFNAlppW3LQ_AZ2?usp=share_link,GUL EDA,30431.0,a061,10:10:03,vcf/TESTCASES_bedded/TestCase 320/snp_SRR7890919-SRR7890919bowtie-SRR7890918-SRR7890918bowtie_mutect.vcf.secondbed.vcf.recode.vcf
326,326,done,EA,Linux,Altay + COSAP,YES,NO,BOWTIE,,Mutect,,hg38,DELETE,,,,,https://drive.google.com/drive/folders/1fwNg1uoaiMnlFGr8h7qALF1g5teItSJO?usp=share_link,GUL EDA,30431.0,a061,06:10:35,vcf/TESTCASES_bedded/TestCase 326/snp_SRR7890919_bowtie-SRR7890918_bowtie_mutect.vcf.secondbed.vcf.recode.vcf
332,332,done,EA,Linux,Altay + COSAP,NO,YES,BOWTIE,,Mutect,,hg38,DELETE,,,,,https://drive.google.com/drive/folders/1iAXkQZjagu03OuZj2A8iGoF-g9wnMwWV?usp=share_link,GUL EDA,30431.0,a061,10:55:33,vcf/TESTCASES_bedded/TestCase 332/snp_SRR7890919-SRR7890919bowtie-SRR7890918-SRR7890918bowtie_mutect.vcf.secondbed.vcf.recode.vcf
338,338,done,EA,Linux,Altay + COSAP,YES,YES,BWA,,Strelka,,hg38,DELETE,,,,,https://drive.google.com/drive/folders/144AkcBrJ0WNL2gEqFbCTnT6paoIS_WjF?usp=share_link,GUL EDA,31577.0,a046,03:58:20,vcf/TESTCASES_bedded/TestCase 338/snp_SRR7890919_bwa2-SRR7890918_bwa2_strelka.vcf.secondbed.vcf.recode.vcf
344,344,done,EA,Linux,Altay + COSAP,NO,NO,BWA,,Strelka,,hg38,DELETE,,,,,https://drive.google.com/drive/folders/1XUUalQ1imlPWtYiOhxp1xUNSvg9DtBzh?usp=share_link,GUL EDA,30429.0,a048,01:49:01,vcf/TESTCASES_bedded/TestCase 344/snp_SRR7890919-SRR7890919bwa2-SRR7890918-SRR7890918bwa2_strelka.vcf.secondbed.vcf.recode.vcf
350,350,done,EA,Linux,Altay + COSAP,YES,NO,BWA,,Strelka,,hg38,DELETE,,,,,https://drive.google.com/drive/folders/1N6F7_XmZ9pJLwy8NCx0k1scLxbjyhJf8?usp=share_link,GUL EDA,30429.0,a048,02:03:24,vcf/TESTCASES_bedded/TestCase 350/snp_SRR7890919_bwa2-SRR7890918_bwa2_strelka.vcf.secondbed.vcf.recode.vcf
356,356,done,EA,Linux,Altay + COSAP,NO,YES,BWA,,Strelka,,hg38,DELETE,,,,,https://drive.google.com/drive/folders/1KbY7KdipQZI4M0eq1ecKanY9jXfdsFUB?usp=share_link,GUL EDA,30429.0,a048,03:34:30,vcf/TESTCASES_bedded/TestCase 356/snp_SRR7890919-SRR7890919bwa2-SRR7890918-SRR7890918bwa2_strelka.vcf.secondbed.vcf.recode.vcf
