region,label,n_truth,n_runs,n_runs_without_calls,precision_median,precision_q1,precision_q3,precision_min,precision_max,recall_median,recall_q1,recall_q3,recall_min,recall_max,f1_median,f1_q1,f1_q3,f1_min,f1_max
GRCh38_alldifficultregions,All difficult regions,294,480,0,0.6005866114561766,0.3683723309983965,0.824206866579748,0.060240963855421686,0.943089430894309,0.7482993197278912,0.6862244897959183,0.7950680272108843,0.04081632653061224,0.9081632653061225,0.6415985907390287,0.4747221247221247,0.7812875330290656,0.05524861878453039,0.8779661016949152
GRCh38_alllowmapandsegdupregions,Low mappability and segmental duplications,43,480,4,0.5714285714285714,0.25,0.7435897435897436,0.0,0.9,0.6511627906976745,0.27906976744186046,0.7674418604651163,0.0,0.8604651162790697,0.4722222222222223,0.30264961169483784,0.6493506493506493,0.0,0.8433734939759036
GRCh38_notinalldifficultregions,Outside all difficult regions,867,480,0,0.7535266398115071,0.5820217640320733,0.8631710159207683,0.11296296296296296,0.9861286254728878,0.792964244521338,0.754325259515571,0.8826412918108419,0.0657439446366782,0.9434832756632064,0.7599409284500265,0.6260721809406238,0.8405744086294943,0.0867093105899076,0.9421686746987952
GRCh38_notinalllowmapandsegdupregions,Outside low mappability and segmental duplications,1118,480,0,0.6819907497671194,0.5494529501546054,0.852881995552911,0.09681528662420383,0.9794117647058823,0.7915921288014311,0.7506708407871199,0.8725402504472272,0.061717352415026835,0.9373881932021467,0.7098355784282336,0.6043975126191037,0.8330052803474916,0.07987388334209143,0.9345182413470533
GRCh38_notinsegdups,Outside segmental duplications,1123,480,0,0.6822111251398376,0.5498284149742033,0.8524968128199547,0.09681528662420383,0.9784524975514202,0.7907390917186109,0.7493321460373998,0.8731077471059662,0.06144256455921639,0.9367764915405165,0.7088679393923478,0.6041406922254623,0.8313758623909545,0.07966457023060797,0.9319029850746269
GRCh38_segdups,Segmental duplications,38,480,4,0.5714285714285714,0.234375,0.75,0.0,1.0,0.6447368421052632,0.3157894736842105,0.7368421052631579,0.0,0.868421052631579,0.4905660377358491,0.2751322751322751,0.6534653465346535,0.0,0.8219178082191781
