run,TestCaseNo,VariantCaller,pass_filter_applied,records_read,records_kept,n_variants
449,449,Mutect,True,3149,962,962
450,450,Mutect,True,2586,1139,1139
453,453,Mutect,True,2786,1023,1023
454,454,Mutect,True,2413,1237,1237
455,455,Mutect,True,2786,1023,1023
456,456,Mutect,True,2602,1131,1131
459,459,Mutect,True,2492,967,967
460,460,Mutect,True,1779,1082,1082
461,461,Mutect,True,2492,967,967
462,462,Mutect,True,2450,1071,1071
465,465,Mutect,True,4004,968,968
466,466,Mutect,True,2394,1094,1094
467,467,Mutect,True,4004,968,968
468,468,Mutect,True,2588,1084,1084
471,471,Mutect,True,2999,916,916
472,472,Mutect,True,1857,1117,1117
473,473,Mutect,True,2999,916,916
474,474,Mutect,True,2292,1078,1078
477,477,Mutect,True,3012,895,895
478,478,Mutect,True,2076,1075,1075
479,479,Mutect,True,3012,895,895
480,480,Mutect,True,2435,1086,1086
483,483,Strelka,True,83342,1872,1872
484,484,Strelka,True,63460,1915,1915
485,485,Strelka,True,83342,1872,1872
486,486,Strelka,True,76983,1835,1835
489,489,Strelka,True,102367,2055,2055
490,490,Strelka,True,79914,2245,2245
491,491,Strelka,True,102367,2055,2055
492,492,Strelka,True,94264,1989,1989
495,495,Strelka,True,105747,2122,2122
496,496,Strelka,True,80242,2343,2343
497,497,Strelka,True,105747,2122,2122
498,498,Strelka,True,93668,2050,2050
501,501,Strelka,True,83157,1817,1817
502,502,Strelka,True,60509,1809,1809
503,503,Strelka,True,83157,1817,1817
504,504,Strelka,True,77064,1757,1757
507,507,Strelka,True,65207,1173,1173
508,508,Strelka,True,49695,1193,1193
509,509,Strelka,True,65207,1173,1173
510,510,Strelka,True,62810,1179,1179
513,513,Strelka,True,62355,949,949
514,514,Strelka,True,58901,1131,1131
515,515,Strelka,True,62357,949,949
516,516,Strelka,True,71252,1103,1103
519,519,Strelka,True,90414,1313,1313
520,520,Strelka,True,66390,1230,1230
521,521,Strelka,True,90413,1313,1313
522,522,Strelka,True,81542,1209,1209
525,525,Strelka,True,42839,838,838
526,526,Strelka,True,44900,1080,1080
527,527,Strelka,True,42838,838,838
528,528,Strelka,True,52670,1045,1045
531,531,SomaticSniper,False,2210,2210,2210
532,532,SomaticSniper,False,1550,1550,1550
533,533,SomaticSniper,False,2210,2210,2210
534,534,SomaticSniper,False,1499,1499,1499
537,537,SomaticSniper,False,2622,2622,2622
538,538,SomaticSniper,False,1543,1543,1543
539,539,SomaticSniper,False,2622,2622,2622
540,540,SomaticSniper,False,1516,1516,1516
543,543,SomaticSniper,False,2724,2724,2724
544,544,SomaticSniper,False,1600,1600,1600
545,545,SomaticSniper,False,2724,2724,2724
546,546,SomaticSniper,False,1562,1562,1562
549,549,SomaticSniper,False,2164,2164,2164
550,550,SomaticSniper,False,1473,1473,1473
551,551,SomaticSniper,False,2164,2164,2164
552,552,SomaticSniper,False,1456,1456,1456
555,555,SomaticSniper,False,1752,1752,1752
556,556,SomaticSniper,False,1211,1211,1211
557,557,SomaticSniper,False,1752,1752,1752
558,558,SomaticSniper,False,1246,1246,1246
561,561,SomaticSniper,False,846,846,846
562,562,SomaticSniper,False,758,758,758
563,563,SomaticSniper,False,846,846,846
564,564,SomaticSniper,False,787,787,787
567,567,SomaticSniper,False,2406,2406,2406
568,568,SomaticSniper,False,1401,1401,1401
569,569,SomaticSniper,False,2406,2406,2406
570,570,SomaticSniper,False,1369,1369,1369
573,573,SomaticSniper,False,550,550,550
574,574,SomaticSniper,False,639,639,639
575,575,SomaticSniper,False,550,550,550
576,576,SomaticSniper,False,697,697,697
577,577,Mutect,True,3207,1290,1290
578,578,Mutect,True,2915,1006,1006
579,579,Strelka,True,98835,2209,2209
580,580,Strelka,True,83477,1242,1242
581,581,SomaticSniper,False,2227,2227,2227
582,582,SomaticSniper,False,1767,1767,1767
583,583,Mutect,True,3207,1290,1290
584,584,Mutect,True,2915,1006,1006
585,585,Strelka,True,98835,2209,2209
586,586,Strelka,True,83476,1242,1242
587,587,SomaticSniper,False,2227,2227,2227
588,588,SomaticSniper,False,1767,1767,1767
589,589,Mutect,True,3387,1378,1378
590,590,Mutect,True,3126,1073,1073
591,591,Strelka,True,179223,3231,3231
592,592,Strelka,True,150007,1422,1422
593,593,SomaticSniper,False,3299,3299,3299
594,594,SomaticSniper,False,2892,2892,2892
595,595,Mutect,True,3387,1378,1378
596,596,Mutect,True,3126,1073,1073
597,597,Strelka,True,179222,3231,3231
598,598,Strelka,True,150008,1422,1422
599,599,SomaticSniper,False,3299,3299,3299
600,600,SomaticSniper,False,2892,2892,2892
601,601,Mutect,True,3331,1400,1400
602,602,Mutect,True,4097,1086,1086
603,603,Strelka,True,101570,2182,2182
604,604,Strelka,True,53620,889,889
605,605,SomaticSniper,False,2183,2183,2183
606,606,SomaticSniper,False,377,377,377
607,607,Mutect,True,3331,1400,1400
608,608,Mutect,True,4097,1086,1086
609,609,Strelka,True,101570,2182,2182
610,610,Strelka,True,53620,889,889
611,611,SomaticSniper,False,2183,2183,2183
612,612,SomaticSniper,False,377,377,377
613,613,Mutect,True,3515,1504,1504
614,614,Mutect,True,4410,1369,1369
615,615,Strelka,True,172581,3274,3274
616,616,Strelka,True,100828,1048,1048
617,617,SomaticSniper,False,3110,3110,3110
618,618,SomaticSniper,False,789,789,789
619,619,Mutect,True,3515,1504,1504
620,620,Mutect,True,4410,1369,1369
621,621,Strelka,True,172581,3274,3274
622,622,Strelka,True,100829,1048,1048
623,623,SomaticSniper,False,3110,3110,3110
624,624,SomaticSniper,False,789,789,789
625,625,Mutect,True,3207,1290,1290
626,626,Mutect,True,2915,1006,1006
627,627,Strelka,True,98835,2209,2209
628,628,Strelka,True,83475,1242,1242
629,629,SomaticSniper,False,2227,2227,2227
630,630,SomaticSniper,False,1767,1767,1767
631,631,Mutect,True,3207,1290,1290
632,632,Mutect,True,2915,1006,1006
633,633,Strelka,True,98835,2209,2209
634,634,Strelka,True,83476,1242,1242
635,635,SomaticSniper,False,2227,2227,2227
636,636,SomaticSniper,False,1767,1767,1767
637,637,Mutect,True,3387,1378,1378
638,638,Mutect,True,3126,1073,1073
639,639,Strelka,True,179224,3231,3231
640,640,Strelka,True,150009,1422,1422
641,641,SomaticSniper,False,3299,3299,3299
642,642,SomaticSniper,False,2892,2892,2892
643,643,Mutect,True,3387,1378,1378
644,644,Mutect,True,3126,1073,1073
645,645,Strelka,True,179223,3231,3231
646,646,Strelka,True,150008,1422,1422
647,647,SomaticSniper,False,3299,3299,3299
648,648,SomaticSniper,False,2892,2892,2892
649,649,Mutect,True,3331,1400,1400
650,650,Mutect,True,4097,1086,1086
651,651,Strelka,True,101570,2182,2182
652,652,Strelka,True,53620,889,889
653,653,SomaticSniper,False,2183,2183,2183
654,654,SomaticSniper,False,377,377,377
655,655,Mutect,True,3331,1400,1400
656,656,Mutect,True,4097,1086,1086
657,657,Strelka,True,101570,2182,2182
658,658,Strelka,True,53620,889,889
659,659,SomaticSniper,False,2183,2183,2183
660,660,SomaticSniper,False,377,377,377
661,661,Mutect,True,3515,1504,1504
662,662,Mutect,True,4410,1369,1369
663,663,Strelka,True,172581,3274,3274
664,664,Strelka,True,100831,1048,1048
665,665,SomaticSniper,False,3110,3110,3110
666,666,SomaticSniper,False,789,789,789
667,667,Mutect,True,3515,1504,1504
668,668,Mutect,True,4410,1369,1369
669,669,Strelka,True,172581,3274,3274
670,670,Strelka,True,100831,1048,1048
671,671,SomaticSniper,False,3110,3110,3110
672,672,SomaticSniper,False,789,789,789
721,721,Mutect,True,2775,1137,1137
722,722,Mutect,True,2450,1071,1071
723,723,Strelka,True,76983,1835,1835
724,724,Strelka,True,62810,1179,1179
725,725,SomaticSniper,False,1499,1499,1499
726,726,SomaticSniper,False,1246,1246,1246
727,727,Mutect,True,2775,1137,1137
728,728,Mutect,True,2450,1071,1071
729,729,Strelka,True,76983,1835,1835
730,730,Strelka,True,62810,1179,1179
731,731,SomaticSniper,False,1499,1499,1499
