IDs,phase,Sample,HOW,isTrimmed,baseRecalibration,Mapper,Variant Caller,Duplicates,File Link,Result VCF Count,Kim yaptı :),Notes:
TestCase 131,done,EA,Uhem + COSAP,yes,yes,Bowtie,Mutect,MARK,https://drive.google.com/drive/folders/1RJ1tkFBfQd3O8r2i-S1uv3_V3hNWOhOs?usp=sharing,,Gül Eda,
TestCase 132,done,EA,Uhem + COSAP,yes,yes,Bowtie,Strelka,MARK,https://drive.google.com/drive/folders/1L_BmVaQqgUFzuC2PZ4nfnYZzTahr3yu-?usp=sharing,,Gül Eda,
TestCase 133,done,EA,Uhem + COSAP,yes,no,BWA,Mutect,MARK,https://drive.google.com/drive/folders/1RXodzsi4Py_uCjzLsLdyY6n7YD2vrhh4?usp=sharing,,Gül Eda,
TestCase 134,done,EA,Uhem + COSAP,yes,no,BWA,Strelka,MARK,https://drive.google.com/drive/folders/1OMd8eVi6jgKvQTZPJhsrvzfJBHspzbX2?usp=sharing,,Gül Eda,
TestCase 135,done,EA,Uhem + COSAP,yes,no,Bowtie,Mutect,MARK,https://drive.google.com/drive/folders/1ItAzSfNX9YmydN3N3ovqRFerKmVuqCy_?usp=sharing,,Gül Eda,
TestCase 136,done,EA,Uhem + COSAP,yes,no,Bowtie,Strelka,MARK,https://drive.google.com/drive/folders/1HRvExelwjlZbZIwoi5__pvZHctxIeIOA?usp=sharing,,Gül Eda,
TestCase 137,done,EA,Uhem + COSAP,no,yes,BWA,Mutect,MARK,https://drive.google.com/drive/folders/1cX42QJkXkCGt7XOkZowWzumSJY7Gv8GW?usp=sharing,,Gül Eda,
TestCase 138,done,EA,Uhem + COSAP,no,yes,BWA,Strelka,MARK,https://drive.google.com/drive/folders/1nD9Z0dxhWwyfyMtAmFGMILxdVXA65Ti8?usp=sharing,,Gül Eda,
TestCase 139,done,EA,Uhem + COSAP,no,yes,Bowtie,Mutect,MARK,https://drive.google.com/drive/folders/1ikqX4HqgKDt7PkP-GBIv_iNYANJuTi9S?usp=sharing,,Gül Eda,
TestCase 140,done,EA,Uhem + COSAP,no,yes,Bowtie,Strelka,MARK,https://drive.google.com/drive/folders/13HKIHL2f1WIgZy48bkcs5t4aR_Gcriqk?usp=sharing,,Gül Eda,
TestCase 141,done,EA,Uhem + COSAP,no,no,BWA,Mutect,MARK,https://drive.google.com/drive/folders/1X7FKho13kVit1du388f1UqK8mz8-h2bK?usp=sharing,,Gül Eda,
TestCase 142,done,EA,Uhem + COSAP,no,no,BWA,Strelka,MARK,https://drive.google.com/drive/folders/1n4zBNax3NRC3YV-GN4kEZLxww9pMDasT?usp=sharing,,Gül Eda,
TestCase 143,done,EA,Uhem + COSAP,no,no,Bowtie,Mutect,MARK,https://drive.google.com/drive/folders/1UH8m60tJCMoGCLYo4uraAk00P9Nn2OUz?usp=sharing,,Gül Eda,
TestCase 144,done,EA,Uhem + COSAP,no,no,Bowtie,Strelka,MARK,https://drive.google.com/drive/folders/1yDG-YtX72HaKa-8ExsBYsPmwg-BBWiJN?usp=sharing,,Gül Eda,
TestCase 145,done,EA,Uhem + COSAP,yes,yes,BWA,Mutect,DELETE,https://drive.google.com/drive/folders/1WgxYBYJ-CnUsrrvNYGFP3HBGyvd_HoKz?usp=sharing,,Gül Eda,
TestCase 146,done,EA,Uhem + COSAP,yes,yes,BWA,Strelka,DELETE,https://drive.google.com/drive/folders/1qlEisw4DYueGwu4daGtCvGofp2zD0MWC?usp=sharing,,Gül Eda,
TestCase 147,done,EA,Uhem + COSAP,yes,yes,Bowtie,Mutect,DELETE,https://drive.google.com/drive/folders/1RZDuMk8gHtGZJrQ7lzHIlZsQcxCbdlN-?usp=sharing,,Gül Eda,
TestCase 148,done,EA,Uhem + COSAP,yes,yes,Bowtie,Strelka,DELETE,https://drive.google.com/drive/folders/1EciY8gfuY-I6eJ97UFumiE-U_vuXxoN7?usp=sharing,,Gül Eda,
TestCase 149,done,EA,Uhem + COSAP,yes,no,BWA,Mutect,DELETE,https://drive.google.com/drive/folders/1Utc23rztnB5mNNv_PEs0yQJwr2tq50y8?usp=sharing,,Gül Eda,
TestCase 150,done,EA,Uhem + COSAP,yes,no,BWA,Strelka,DELETE,https://drive.google.com/drive/folders/1Tq643yAmgeajtgnrfH_F-KWr0g2EVO_Y?usp=sharing,,Gül Eda,
TestCase 151,done,EA,Uhem + COSAP,yes,no,Bowtie,Mutect,DELETE,https://drive.google.com/drive/folders/1K2_Bk_BjQPDsNaErkyXIS3uj31XSXs0b?usp=sharing,,Gül Eda,
TestCase 152,done,EA,Uhem + COSAP,yes,no,Bowtie,Strelka,DELETE,https://drive.google.com/drive/folders/1E8DlGjoTD4Pu9L4D-kYSt-8iIN43-5-0?usp=sharing,,Gül Eda,
TestCase 153,done,EA,Uhem + COSAP,no,yes,BWA,Mutect,DELETE,https://drive.google.com/drive/folders/1bOTaLxaIqrRNwmjovU1ERuQVYZuwWzN1?usp=sharing,,Gül Eda,
TestCase 154,done,EA,Uhem + COSAP,no,yes,BWA,Strelka,DELETE,https://drive.google.com/drive/folders/12JaUy35QZ16VbSZqIG8ZXrIShTcBRnYi?usp=sharing,,Gül Eda,
TestCase 155,done,EA,Uhem + COSAP,no,yes,Bowtie,Mutect,DELETE,https://drive.google.com/drive/folders/1EF4Fl1Rc75Y5csB94Fm-FfiY0871vG5e?usp=sharing,,Gül Eda,
TestCase 156,done,EA,Uhem + COSAP,no,yes,Bowtie,Strelka,DELETE,https://drive.google.com/drive/folders/1OWnhYMlCtARg-skN6OVjNNdsOa-dbHY0?usp=sharing,,Gül Eda,
TestCase 157,done,EA,Uhem + COSAP,no,no,BWA,Mutect,DELETE,https://drive.google.com/drive/folders/1SLuf1S_Er1IW7NLfEG5iBo0aNJr2IZcU?usp=sharing,,Gül Eda,
TestCase 158,done,EA,Uhem + COSAP,no,no,BWA,Strelka,DELETE,https://drive.google.com/drive/folders/1Pav7itupCywKHxH49UGXcVpg4BCmdMsG?usp=sharing,,Gül Eda,
TestCase 159,done,EA,Uhem + COSAP,no,no,Bowtie,Mutect,DELETE,https://drive.google.com/drive/folders/1gEOkEnIa0gHQyBYozy4I8yKznaQxOYq2?usp=sharing,,Gül Eda,
TestCase 160,done,EA,Uhem + COSAP,no,no,Bowtie,Strelka,DELETE,https://drive.google.com/drive/folders/1hg8_MRAde6ZLSFgLLFqR-L2g-Tk4tuSE?usp=sharing,,Gül Eda,
TestCase 161,done,EA,Altay + COSAP,yes,yes,BWA,Mutect,MARK,https://drive.google.com/drive/folders/1Nk5kOwToSo_tS06WFe7FBYzBrnhXwfhy?usp=sharing,,Gül Eda,
TestCase 162,done,EA,Altay + COSAP,yes,yes,BWA,Strelka,MARK,https://drive.google.com/drive/folders/1qt2R7b-DqPyfzLOxfPacLniQwiCubjGq?usp=sharing,,Gül Eda,
TestCase 163,done,EA,Altay + COSAP,yes,yes,Bowtie,Mutect,MARK,https://drive.google.com/drive/folders/13GZzz7nTY4sUX52K_wtWXRkskytOJb2B?usp=sharing,,Gül Eda,
TestCase 164,done,EA,Altay + COSAP,yes,yes,Bowtie,Strelka,MARK,https://drive.google.com/drive/folders/1SlUZmYDJOk-2yVHQ7N7a1k3nsEriSNBs?usp=sharing,,Gül Eda,
TestCase 165,done,EA,Altay + COSAP,yes,no,BWA,Mutect,MARK,https://drive.google.com/drive/folders/1qunP9N82hQ5xd0i7sUhXNIxVcsV7nody?usp=sharing,,Gül Eda,
TestCase 166,done,EA,Altay + COSAP,yes,no,BWA,Strelka,MARK,https://drive.google.com/drive/folders/1tG9xjA2u7Q_JVBA2dAutIuEbY4lD0B4d?usp=sharing,,Gül Eda,
TestCase 167,done,EA,Altay + COSAP,yes,no,Bowtie,Mutect,MARK,https://drive.google.com/drive/folders/1hHbeAJA5qIZ-coYhLMFIRWGtsVeR8VzV?usp=sharing,,Gül Eda,
TestCase 168,done,EA,Altay + COSAP,yes,no,Bowtie,Strelka,MARK,https://drive.google.com/drive/folders/1wI7VWVzEWvb9RFvr0P9ruYiftwIqNYdA?usp=sharing,,Gül Eda,
TestCase 169,done,EA,Altay + COSAP,no,yes,BWA,Mutect,MARK,https://drive.google.com/drive/folders/1NUQCRl-PLi6ZAeEm2SQCBXCQCqmD4_vK?usp=sharing,,Gül Eda,
TestCase 170,done,EA,Altay + COSAP,no,yes,BWA,Strelka,MARK,https://drive.google.com/drive/folders/1kLBfL1-0ZLRei0orQsD8jVeGRbFUkp84?usp=sharing,,Gül Eda,
TestCase 171,done,EA,Altay + COSAP,no,yes,Bowtie,Mutect,MARK,https://drive.google.com/drive/folders/1rGMRqRpvtNqhO6wCXxvrXpTMQ4gO8iRC?usp=sharing,,Gül Eda,
TestCase 172,done,EA,Altay + COSAP,no,yes,Bowtie,Strelka,MARK,https://drive.google.com/drive/folders/1n2Rt7Z4qwU1xk7Mb7ywW-7adUKe-qtFr?usp=sharing,,Gül Eda,
TestCase 173,done,EA,Altay + COSAP,no,no,BWA,Mutect,MARK,https://drive.google.com/drive/folders/1_Gm9s0hJObdlm8N1lj0Oz5zgczWeFK4r?usp=sharing,,Gül Eda,
TestCase 174,done,EA,Altay + COSAP,no,no,BWA,Strelka,MARK,https://drive.google.com/drive/folders/1l6vWxTDYerUNZfblnoDiGSzeArL5VE1r?usp=sharing,,Gül Eda,
TestCase 175,done,EA,Altay + COSAP,no,no,Bowtie,Mutect,MARK,https://drive.google.com/drive/folders/1YHPlXEiGdLhAvAhXZUbXMinTZ9F_P_gz?usp=sharing,,Gül Eda,
TestCase 176,done,EA,Altay + COSAP,no,no,Bowtie,Strelka,MARK,https://drive.google.com/drive/folders/1LGiAGESXpeo1B2I0TiT6OrpGgRfMIChV?usp=sharing,,Gül Eda,
TestCase 177,done,EA,Altay + COSAP,yes,yes,BWA,Mutect,DELETE,https://drive.google.com/drive/folders/1qKUK70xUJtFNLSJ6CTc2fdQE4TfT5muT?usp=sharing,,Gül Eda,
TestCase 178,done,EA,Altay + COSAP,yes,yes,BWA,Strelka,DELETE,https://drive.google.com/drive/folders/1GuXzoenGdslphyKjJ1-4KDNe0isbUYAJ?usp=sharing,,Gül Eda,
TestCase 179,done,EA,Altay + COSAP,yes,yes,Bowtie,Mutect,DELETE,https://drive.google.com/drive/folders/1C8q8oJSm2mpJSoB3YiWkrmXtZYI191fG?usp=sharing,,Gül Eda,
TestCase 180,done,EA,Altay + COSAP,yes,yes,Bowtie,Strelka,DELETE,https://drive.google.com/drive/folders/1Ww1Mu71u949aKU-Sq2xoADU3tgQBNabm?usp=sharing,,Gül Eda,
TestCase 181,done,EA,Altay + COSAP,yes,no,BWA,Mutect,DELETE,https://drive.google.com/drive/folders/1CJdVXkisVm5NM1G7lVaxdYeFpLdm1tIs?usp=sharing,,Gül Eda,
TestCase 182,done,EA,Altay + COSAP,yes,no,BWA,Strelka,DELETE,https://drive.google.com/drive/folders/1OirXlvLgoWPeYIDvlQPHn1ipBek25DUj?usp=sharing,,Gül Eda,
TestCase 183,done,EA,Altay + COSAP,yes,no,Bowtie,Mutect,DELETE,https://drive.google.com/drive/folders/1sTQxwWgA1wsqqhh1tmdQ_wz8s36xedEM?usp=sharing,,Gül Eda,
TestCase 184,done,EA,Altay + COSAP,yes,no,Bowtie,Strelka,DELETE,https://drive.google.com/drive/folders/1DNoHxvePTogAPmM_shpzRGetij-Lz4t9?usp=sharing,,Gül Eda,
TestCase 185,done,EA,Altay + COSAP,no,yes,BWA,Mutect,DELETE,https://drive.google.com/drive/folders/1l2jieWFyLX3KIt_XMbJD-FxUFHe1Q-L7?usp=sharing,,Gül Eda,
TestCase 186,done,EA,Altay + COSAP,no,yes,BWA,Strelka,DELETE,https://drive.google.com/drive/folders/1XKl3uve3GfHy4tfTk1LBrD_YgDXzDKpS?usp=sharing,,Gül Eda,
TestCase 187,done,EA,Altay + COSAP,no,yes,Bowtie,Mutect,DELETE,https://drive.google.com/drive/folders/1xOCL6wZqdqxK_yIZ4yMG4HmDhvh2K4rL?usp=sharing,,Gül Eda,
TestCase 188,done,EA,Altay + COSAP,no,yes,Bowtie,Strelka,DELETE,https://drive.google.com/drive/folders/1lQhdh1m48064t1k-ThSch_UYvQi7Ybl6?usp=sharing,,Gül Eda,
TestCase 189,done,EA,Altay + COSAP,no,no,BWA,Mutect,DELETE,https://drive.google.com/drive/folders/1s6tOhWySd_33dWUwdGfN8QcOU-Ampd0_?usp=sharing,,Gül Eda,
TestCase 190,done,EA,Altay + COSAP,no,no,BWA,Strelka,DELETE,https://drive.google.com/drive/folders/1xBkGKGLseiloW2qMdTE0StQTZJwd7DBZ?usp=sharing,,Gül Eda,
TestCase 191,done,EA,Altay + COSAP,no,no,Bowtie,Mutect,DELETE,https://drive.google.com/drive/folders/16h-_5rdlz6YQAnShONUymKliFatx7HA7?usp=sharing,,Gül Eda,
TestCase 192,done,EA,Altay + COSAP,no,no,Bowtie,Strelka,DELETE,https://drive.google.com/drive/folders/1mbhGNF5Ri5Jr5-RVOVxXpjcUod_BDb48?usp=sharing,,Gül Eda,
TestCase 193,done,NC,Uhem + COSAP,yes,yes,BWA,Mutect,MARK,https://drive.google.com/drive/folders/14F-KzoRQrlCMaE2t6Jckjjk1T01lqJG1?usp=sharing,,Gül Eda,
TestCase 194,done,NC,Uhem + COSAP,yes,yes,BWA,Strelka,MARK,https://drive.google.com/drive/folders/1NYAgzyWy3Xb4V2033bvh2OKx3Nrb4Cj3?usp=sharing,,Gül Eda,
TestCase 195,done,NC,Uhem + COSAP,yes,yes,Bowtie,Mutect,MARK,https://drive.google.com/drive/folders/10YzVBbBDudQNZB6v8589sHY-zEbHmQft?usp=sharing,,Gül Eda,
TestCase 196,done,NC,Uhem + COSAP,yes,yes,Bowtie,Strelka,MARK,https://drive.google.com/drive/folders/1vBIlDwnJnHUYiwlmjCyVWq2w2UQSXED3?usp=sharing,,Gül Eda,
TestCase 197,done,NC,Uhem + COSAP,yes,no,BWA,Mutect,MARK,https://drive.google.com/drive/folders/1SH4AEGIbA69J1YXje31jKgM1uWew_-QB?usp=sharing,,Gül Eda,
TestCase 198,done,NC,Uhem + COSAP,yes,no,BWA,Strelka,MARK,https://drive.google.com/drive/folders/1EGPS5xSWgUQdqZl_4CktMEd5RAKQQPNx?usp=sharing,,Gül Eda,
TestCase 199,done,NC,Uhem + COSAP,yes,no,Bowtie,Mutect,MARK,https://drive.google.com/drive/folders/1NDbahjCiUBaJeIdP6Hulx6QmJZNdurYT?usp=sharing,,Gül Eda,
TestCase 200,done,NC,Uhem + COSAP,yes,no,Bowtie,Strelka,MARK,https://drive.google.com/drive/folders/1WxOwt0D4J8Cy4L0rAc1LZ9ZsEEWid-K1?usp=sharing,,Gül Eda,
TestCase 201,done,NC,Uhem + COSAP,no,yes,BWA,Mutect,MARK,https://drive.google.com/drive/folders/1n3DORA4gIeozAAUzLF2_4EvWTQqykjEO?usp=sharing,,Gül Eda,
TestCase 202,done,NC,Uhem + COSAP,no,yes,BWA,Strelka,MARK,https://drive.google.com/drive/folders/18tyYZhuSdxB_i41f5Jf1JePknbqb-SBP?usp=sharing,,Gül Eda,
TestCase 203,done,NC,Uhem + COSAP,no,yes,Bowtie,Mutect,MARK,https://drive.google.com/drive/folders/15QXhPkTq7QhGjyhP0-UuC4ATpVUkdsx1?usp=sharing,,Gül Eda,
TestCase 204,done,NC,Uhem + COSAP,no,yes,Bowtie,Strelka,MARK,https://drive.google.com/drive/folders/1CDA6UITqNf88qnKxlipXAsp5kJfVEfee?usp=sharing,,Gül Eda,
TestCase 205,done,NC,Uhem + COSAP,no,no,BWA,Mutect,MARK,https://drive.google.com/drive/folders/1oZOj_y8VJiSSsi9hkQAeKbHBswE_ek65?usp=sharing,,Gül Eda,
TestCase 206,done,NC,Uhem + COSAP,no,no,BWA,Strelka,MARK,https://drive.google.com/drive/folders/1rACSGMiWYMNvdOokJWKVcaSvq-Foe-91?usp=sharing,,Gül Eda,
TestCase 207,done,NC,Uhem + COSAP,no,no,Bowtie,Mutect,MARK,https://drive.google.com/drive/folders/1Bn2u57rPadbo87CEqVL_UjpV1Jnno6Ym?usp=sharing,,Gül Eda,
TestCase 208,done,NC,Uhem + COSAP,no,no,Bowtie,Strelka,MARK,https://drive.google.com/drive/folders/1VD3fzgWOR3B9_jDuqhnCCSH6rY7VZbAG?usp=sharing,,Gül Eda,
TestCase 209,done,NC,Uhem + COSAP,yes,yes,BWA,Mutect,DELETE,https://drive.google.com/drive/folders/1Cz9GmT0oy-lQN_SSXEXPtv9Hja-k6nbq?usp=sharing,,Gül Eda,
TestCase 210,done,NC,Uhem + COSAP,yes,yes,BWA,Strelka,DELETE,https://drive.google.com/drive/folders/1pPHst3s6WZf6DBPVbTHtVB8jyTLZqtfG?usp=sharing,,Gül Eda,
TestCase 211,done,NC,Uhem + COSAP,yes,yes,Bowtie,Mutect,DELETE,https://drive.google.com/drive/folders/1WQWnCv566KFqk38Wt3oqxuCkTR9FNL5a?usp=sharing,,Gül Eda,
TestCase 212,done,NC,Uhem + COSAP,yes,yes,Bowtie,Strelka,DELETE,https://drive.google.com/drive/folders/1AFumlnZjBoB8e3bEIJlmFSeJBs33u44J?usp=sharing,,Gül Eda,
TestCase 213,done,NC,Uhem + COSAP,yes,no,BWA,Mutect,DELETE,https://drive.google.com/drive/folders/1qem_5EoIHhKNhG-l1gvo-sRBmuYpR_4x?usp=sharing,,Gül Eda,
TestCase 214,done,NC,Uhem + COSAP,yes,no,BWA,Strelka,DELETE,https://drive.google.com/drive/folders/17I6MB5l01zW8hmRTBCIVYbsXXhv8qQ7c?usp=sharing,,Gül Eda,
TestCase 215,done,NC,Uhem + COSAP,yes,no,Bowtie,Mutect,DELETE,https://drive.google.com/drive/folders/1dY-A0aDPGEB5-KpeiQaMCzSeY22CiUNj?usp=sharing,,Gül Eda,
TestCase 216,done,NC,Uhem + COSAP,yes,no,Bowtie,Strelka,DELETE,https://drive.google.com/drive/folders/1cznsETDXeqgK6TyWaes59sYyyYWBS22-?usp=sharing,,Gül Eda,
TestCase 217,done,NC,Uhem + COSAP,no,yes,BWA,Mutect,DELETE,https://drive.google.com/drive/folders/10Xdl04q4taSOt53ahvcRoQ93wh4y6qyi?usp=sharing,,Gül Eda,
TestCase 218,done,NC,Uhem + COSAP,no,yes,BWA,Strelka,DELETE,https://drive.google.com/drive/folders/1I5PxELEhtJfKllQY4KwFL54wFdJ7WOzr?usp=sharing,,Gül Eda,
TestCase 219,done,NC,Uhem + COSAP,no,yes,Bowtie,Mutect,DELETE,https://drive.google.com/drive/folders/15KZu8avvf9K7dcKpRsxgmtgBfdgAOzbL?usp=sharing,,Gül Eda,
TestCase 220,done,NC,Uhem + COSAP,no,yes,Bowtie,Strelka,DELETE,https://drive.google.com/drive/folders/1NysIOc1IIer2l6QDvL4libf6157m9urd?usp=sharing,,Gül Eda,
TestCase 221,done,NC,Uhem + COSAP,no,no,BWA,Mutect,DELETE,https://drive.google.com/drive/folders/1KMdUr2IfyM27DCtPpLhXZ_o5zB9k1ons?usp=sharing,,Gül Eda,
TestCase 222,done,NC,Uhem + COSAP,no,no,BWA,Strelka,DELETE,https://drive.google.com/drive/folders/1lA5GXrRI-Jb08sM7q1Af841xdE-zESHm?usp=sharing,,Gül Eda,
TestCase 223,done,NC,Uhem + COSAP,no,no,Bowtie,Mutect,DELETE,https://drive.google.com/drive/folders/1kToXbh2GauBlIVIxIQw-GF2shLzOEhgk?usp=sharing,,Gül Eda,
TestCase 224,done,NC,Uhem + COSAP,no,no,Bowtie,Strelka,DELETE,https://drive.google.com/drive/folders/1sSXKHSnIcfYvcQxYI3mIUyNC8IfJbxxm?usp=sharing,,Gül Eda,
TestCase 225,done,NC,Altay + COSAP,yes,yes,BWA,Mutect,MARK,https://drive.google.com/drive/folders/1gn6ygcgcg8oJ2IWE0ihPosc_iiuhO0xG?usp=sharing,,Gül Eda,
TestCase 226,done,NC,Altay + COSAP,yes,yes,BWA,Strelka,MARK,https://drive.google.com/drive/folders/1wDx9KSLgnxQi0W46Mcihl5XyYcT8JlMl?usp=sharing,,Gül Eda,
TestCase 227,done,NC,Altay + COSAP,yes,yes,Bowtie,Mutect,MARK,https://drive.google.com/drive/folders/1LF3JyZHguNNeS2reAfzpJpfOJ5HKUcvU?usp=sharing,,Gül Eda,
TestCase 228,done,NC,Altay + COSAP,yes,yes,Bowtie,Strelka,MARK,https://drive.google.com/drive/folders/1VLF8pfDwnstq7PPXIIl85cMLZYE_EcWa?usp=sharing,,Gül Eda,
TestCase 229,done,NC,Altay + COSAP,yes,no,BWA,Mutect,MARK,https://drive.google.com/drive/folders/1Hr84_gif1k8TXfw0USnh_Mv1v-34qUOY?usp=sharing,,Gül Eda,
TestCase 230,done,NC,Altay + COSAP,yes,no,BWA,Strelka,MARK,https://drive.google.com/drive/folders/17XUDgckmze0dK8MDO0JKSWDsxLSFk4yT?usp=sharing,,Gül Eda,
TestCase 231,done,NC,Altay + COSAP,yes,no,Bowtie,Mutect,MARK,https://drive.google.com/drive/folders/14swgbn7Fp4fdc6phKxIRk8tlfdtOwBPh?usp=sharing,,Gül Eda,
TestCase 232,done,NC,Altay + COSAP,yes,no,Bowtie,Strelka,MARK,https://drive.google.com/drive/folders/1cl8Ezx69tDrJRtGstr9SGYFQrYrAAnGq?usp=sharing,,Gül Eda,
TestCase 233,done,NC,Altay + COSAP,no,yes,BWA,Mutect,MARK,https://drive.google.com/drive/folders/1r45FoyyAkzfyKgZWbi5E7pySecsTp35y?usp=sharing,,Gül Eda,
TestCase 234,done,NC,Altay + COSAP,no,yes,BWA,Strelka,MARK,https://drive.google.com/drive/folders/1nSgp0xAUQ7gNABbT2rnb176e8el7jjrZ?usp=sharing,,Gül Eda,
TestCase 235,done,NC,Altay + COSAP,no,yes,Bowtie,Mutect,MARK,https://drive.google.com/drive/folders/1Veh5iEeOpZG27Amecm_58u7kKkmQlGVX?usp=sharing,,Gül Eda,
TestCase 236,done,NC,Altay + COSAP,no,yes,Bowtie,Strelka,MARK,https://drive.google.com/drive/folders/1P10SFWkfvNgd5GadxduC0MMWMNAFocK7?usp=sharing,,Gül Eda,
TestCase 237,done,NC,Altay + COSAP,no,no,BWA,Mutect,MARK,https://drive.google.com/drive/folders/1Of9E84W-ZyJXTZiyDAXncnrUipS7KB2u?usp=sharing,,Gül Eda,
TestCase 238,done,NC,Altay + COSAP,no,no,BWA,Strelka,MARK,https://drive.google.com/drive/folders/1FVzvVFzlgz9S42xMwvcks1Ooi18-CZ3u?usp=sharing,,Gül Eda,
TestCase 239,done,NC,Altay + COSAP,no,no,Bowtie,Mutect,MARK,https://drive.google.com/drive/folders/1lvuPZrpU_Had8aj-Z_Bga66hacgxdC8V?usp=sharing,,Gül Eda,
TestCase 240,done,NC,Altay + COSAP,no,no,Bowtie,Strelka,MARK,https://drive.google.com/drive/folders/12-vFmCaw3pNkOo2CzsrukjwvK6oPXM-u?usp=sharing,,Gül Eda,
TestCase 241,done,NC,Altay + COSAP,yes,yes,BWA,Mutect,DELETE,https://drive.google.com/drive/folders/1Z7uHFZNLnC-xqQ6SVtQ06GQXgXoFXnSC?usp=sharing,,Gül Eda,
TestCase 242,done,NC,Altay + COSAP,yes,yes,BWA,Strelka,DELETE,https://drive.google.com/drive/folders/1fVFSofUX9Ytjh52CLcIl52jplkg5rzGp?usp=sharing,,Gül Eda,
TestCase 243,done,NC,Altay + COSAP,yes,yes,Bowtie,Mutect,DELETE,https://drive.google.com/drive/folders/1xcTykBYDuZo4jiJXeDa26kb5tlOF9OOw?usp=sharing,,Gül Eda,
TestCase 244,done,NC,Altay + COSAP,yes,yes,Bowtie,Strelka,DELETE,https://drive.google.com/drive/folders/1qsr3_d9yF5dbDX28OjQhjTmWvLsxuuk6?usp=sharing,,Gül Eda,
TestCase 245,done,NC,Altay + COSAP,yes,no,BWA,Mutect,DELETE,https://drive.google.com/drive/folders/1lCBUjsp8BjsJqww1aAt_axeVL8_t1fME?usp=sharing,,Gül Eda,
TestCase 246,done,NC,Altay + COSAP,yes,no,BWA,Strelka,DELETE,https://drive.google.com/drive/folders/1f2HzDZ6ekws3IPJqXMdzxNf9oJwAwPFV?usp=sharing,,Gül Eda,
TestCase 247,done,NC,Altay + COSAP,yes,no,Bowtie,Mutect,DELETE,https://drive.google.com/drive/folders/1gJSfV0Dct2IRxiZjIrBlf9EwgsF38c7B?usp=sharing,,Gül Eda,
TestCase 248,done,NC,Altay + COSAP,yes,no,Bowtie,Strelka,DELETE,https://drive.google.com/drive/folders/1aght8mCBMnj7L-Go5rL8g8VPuCFTyxRQ?usp=sharing,,Gül Eda,
TestCase 249,done,NC,Altay + COSAP,no,yes,BWA,Mutect,DELETE,https://drive.google.com/drive/folders/1TzeQ32VjjnF9f5ZzFcahXRmDmAXY-MG8?usp=sharing,,Gül Eda,
TestCase 250,done,NC,Altay + COSAP,no,yes,BWA,Strelka,DELETE,https://drive.google.com/drive/folders/1vw1P6Q3pB7PgR7GpoIHNPpjtNy_po2G2?usp=sharing,,Gül Eda,
TestCase 251,done,NC,Altay + COSAP,no,yes,Bowtie,Mutect,DELETE,https://drive.google.com/drive/folders/1368Qwb1tjQ05NMyRGj_l6DzeZjFIjXXM?usp=sharing,,Gül Eda,
TestCase 252,done,NC,Altay + COSAP,no,yes,Bowtie,Strelka,DELETE,https://drive.google.com/drive/folders/1dTnFw7B6mIdqZHhNGEkv5dQDEtleaSgV?usp=sharing,,Gül Eda,
TestCase 253,done,NC,Altay + COSAP,no,no,BWA,Mutect,DELETE,https://drive.google.com/drive/folders/1MjmmhFSIDx2GzOEOe9fflIw170Zzddhu?usp=sharing,,Gül Eda,
TestCase 254,done,NC,Altay + COSAP,no,no,BWA,Strelka,DELETE,https://drive.google.com/drive/folders/1CfqWFEkb13qJ4iWcTEpEXlILlDEDYeuo?usp=sharing,,Gül Eda,
TestCase 255,done,NC,Altay + COSAP,no,no,Bowtie,Mutect,DELETE,https://drive.google.com/drive/folders/1yVKJHunYAHvwoPCbowWXtiZDvrZQqQPU?usp=sharing,,Gül Eda,
TestCase 256,done,NC,Altay + COSAP,no,no,Bowtie,Strelka,DELETE,https://drive.google.com/drive/folders/1Ufr4zwrI4XxL5XVH23kb6t6-pBXpN4gd?usp=sharing,,Gül Eda,
TestCase 257,done,FD,Uhem + COSAP,yes,yes,BWA,Mutect,MARK,https://drive.google.com/drive/folders/1mJmoE2dEw7TZOhnIDmdL_V8mvGANAaoi?usp=sharing,,Gül Eda,
TestCase 258,done,FD,Uhem + COSAP,yes,yes,BWA,Strelka,MARK,https://drive.google.com/drive/folders/1pTnkN1w1dZtFOu7QyD215TfUf6talyZ-?usp=sharing,,Gül Eda,
TestCase 259,done,FD,Uhem + COSAP,yes,yes,Bowtie,Mutect,MARK,https://drive.google.com/drive/folders/1jLETg_3VNfkMa3_p6jSQUS6WtN3hZWDY?usp=sharing,,Gül Eda,
TestCase 260,done,FD,Uhem + COSAP,yes,yes,Bowtie,Strelka,MARK,https://drive.google.com/drive/folders/14H_VteH7lZvAS7q4tYIOdhIhGeGEUlv4?usp=sharing,,Gül Eda,
TestCase 261,done,FD,Uhem + COSAP,yes,no,BWA,Mutect,MARK,https://drive.google.com/drive/folders/1lCM3IuRTVi9n-xgtgdNZYsI5FQ9K3dVj?usp=sharing,,Gül Eda,
TestCase 262,done,FD,Uhem + COSAP,yes,no,BWA,Strelka,MARK,https://drive.google.com/drive/folders/16XmZ0W_MAVNB4vhKtULNZ8WQmpdRC7ij?usp=sharing,,Gül Eda,
TestCase 263,done,FD,Uhem + COSAP,yes,no,Bowtie,Mutect,MARK,https://drive.google.com/drive/folders/1RJKxtjmRFjNHuiNv1EjBm7C4Q8MeiUD9?usp=sharing,,Gül Eda,
