IDs,phase,Sample,HOW,isTrimmed,baseRecalibration,Mapper,Variant Caller,Duplicates,File Link,Result VCF Count,Kim yaptı :),Notes:
TestCase 27,done,LL,Uhem + COSAP,no,yes,Bowtie,Mutect,DELETE,https://drive.google.com/drive/folders/18pATf5gsOJ4vzEgG50gqMEyAt4SV3lAs?usp=sharing,,Gül Eda,
TestCase 28,done,LL,Uhem + COSAP,no,yes,Bowtie,Strelka,DELETE,https://drive.google.com/drive/folders/1i5Z7CoR6so-U7BOq7qPCPsuJgogzZ4EC?usp=sharing,,Gül Eda,
TestCase 29,done,LL,Uhem + COSAP,no,no,BWA,Mutect,DELETE,https://drive.google.com/drive/folders/1LOyRAotMGd3pJlz5ukKx04XfD0-sYv4q?usp=sharing,,Gül Eda,
TestCase 30,done,LL,Uhem + COSAP,no,no,BWA,Strelka,DELETE,https://drive.google.com/drive/folders/1sFOOD8iDqF5pi-RZKEJi6vPRlY2I75to?usp=sharing,,Gül Eda,
TestCase 31,done,LL,Uhem + COSAP,no,no,Bowtie,Mutect,DELETE,https://drive.google.com/drive/folders/1ZZQhkytbbp09tybU1cwjYm3o5hz-lOOk?usp=sharing,,Gül Eda,
TestCase 32,done,LL,Uhem + COSAP,no,no,Bowtie,Strelka,DELETE,https://drive.google.com/drive/folders/1UC0TdnmVv9ZsybosU52BD7JeDc1VlU9B?usp=sharing,,Gül Eda,
TestCase 33,,LL,Altay + COSAP,yes,yes,BWA,Mutect,MARK,https://drive.google.com/drive/folders/1FxCKnKparMUJGD0xJTW1nlvH5h43MO7w?usp=sharing,,Gül Eda,
TestCase 34,,LL,Altay + COSAP,yes,yes,BWA,Strelka,MARK,https://drive.google.com/drive/folders/1g6oWBbcFsh3RbhDD_SvY3Npz9gPowkze?usp=sharing,,Gül Eda,
TestCase 35,,LL,Altay + COSAP,yes,yes,Bowtie,Mutect,MARK,https://drive.google.com/drive/folders/1S6x3mpqwNC8gRJh01HYsKayUVm3D5jya?usp=sharing,,Gül Eda,
TestCase 36,,LL,Altay + COSAP,yes,yes,Bowtie,Strelka,MARK,https://drive.google.com/drive/folders/1ZMQhCkmTEU_JwWgPUplHtdPhaQM10l9N?usp=sharing,,Gül Eda,
TestCase 37,,LL,Altay + COSAP,yes,no,BWA,Mutect,MARK,https://drive.google.com/drive/folders/1BhQ92S7tpI4a9W7wZxA0BwHB7O9PhlZ1?usp=sharing,,Gül Eda,
