run,Sample,Environment,isTrimmed,baseRecalibration,Mapper,VariantCaller,Duplicates,Node,ElapsedTime,elapsed_seconds
618,FD,Uhem + COSAP,NO,NO,BOWTIE,SomaticSniper,DELETE,s055,01:08:43,4123
619,FD,Uhem + COSAP,NO,NO,BWA,Mutect,MARK,s029,06:01:37,21697
620,FD,Uhem + COSAP,NO,NO,BOWTIE,Mutect,MARK,s025,06:30:27,23427
621,FD,Uhem + COSAP,NO,NO,BWA,Strelka,MARK,s026,00:36:41,2201
622,FD,Uhem + COSAP,NO,NO,BOWTIE,Strelka,MARK,s017,00:53:30,3210
623,FD,Uhem + COSAP,NO,NO,BWA,SomaticSniper,MARK,s027,00:44:25,2665
624,FD,Uhem + COSAP,NO,NO,BOWTIE,SomaticSniper,MARK,s019,01:02:32,3752
625,FD,Altay + COSAP,YES,YES,BWA,Mutect,DELETE,a068,04:13:45,15225
626,FD,Altay + COSAP,YES,YES,BOWTIE,Mutect,DELETE,a058,03:59:38,14378
627,FD,Altay + COSAP,YES,YES,BWA,Strelka,DELETE,a051,01:44:14,6254
628,FD,Altay + COSAP,YES,YES,BOWTIE,Strelka,DELETE,a036,01:53:47,6827
629,FD,Altay + COSAP,YES,YES,BWA,SomaticSniper,DELETE,a057,01:50:21,6621
630,FD,Altay + COSAP,YES,YES,BOWTIE,SomaticSniper,DELETE,a041,02:04:26,7466
631,FD,Altay + COSAP,YES,YES,BWA,Mutect,MARK,a077,04:01:43,14503
632,FD,Altay + COSAP,YES,YES,BOWTIE,Mutect,MARK,a059,03:51:23,13883
633,FD,Altay + COSAP,YES,YES,BWA,Strelka,MARK,a065,01:35:49,5749
634,FD,Altay + COSAP,YES,YES,BOWTIE,Strelka,MARK,a058,01:51:22,6682
635,FD,Altay + COSAP,YES,YES,BWA,SomaticSniper,MARK,a064,01:44:48,6288
636,FD,Altay + COSAP,YES,YES,BOWTIE,SomaticSniper,MARK,a078,01:58:47,7127
637,FD,Altay + COSAP,YES,NO,BWA,Mutect,DELETE,a068,03:53:51,14031
638,FD,Altay + COSAP,YES,NO,BOWTIE,Mutect,DELETE,a058,03:42:20,13340
639,FD,Altay + COSAP,YES,NO,BWA,Strelka,DELETE,a051,00:49:44,2984
640,FD,Altay + COSAP,YES,NO,BOWTIE,Strelka,DELETE,a036,01:00:35,3635
641,FD,Altay + COSAP,YES,NO,BWA,SomaticSniper,DELETE,a057,00:55:41,3341
642,FD,Altay + COSAP,YES,NO,BOWTIE,SomaticSniper,DELETE,a041,01:09:04,4144
643,FD,Altay + COSAP,YES,NO,BWA,Mutect,MARK,a077,04:05:41,14741
644,FD,Altay + COSAP,YES,NO,BOWTIE,Mutect,MARK,a059,03:37:10,13030
645,FD,Altay + COSAP,YES,NO,BWA,Strelka,MARK,a066,00:50:18,3018
646,FD,Altay + COSAP,YES,NO,BOWTIE,Strelka,MARK,a058,00:59:39,3579
647,FD,Altay + COSAP,YES,NO,BWA,SomaticSniper,MARK,a064,00:54:54,3294
648,FD,Altay + COSAP,YES,NO,BOWTIE,SomaticSniper,MARK,a078,01:08:47,4127
649,FD,Altay + COSAP,NO,YES,BWA,Mutect,DELETE,a068,05:30:49,19849
650,FD,Altay + COSAP,NO,YES,BOWTIE,Mutect,DELETE,a058,05:09:53,18593
651,FD,Altay + COSAP,NO,YES,BWA,Strelka,DELETE,a051,01:39:48,5988
652,FD,Altay + COSAP,NO,YES,BOWTIE,Strelka,DELETE,a036,01:46:08,6368
653,FD,Altay + COSAP,NO,YES,BWA,SomaticSniper,DELETE,a057,01:49:27,6567
654,FD,Altay + COSAP,NO,YES,BOWTIE,SomaticSniper,DELETE,a041,01:57:55,7075
655,FD,Altay + COSAP,NO,YES,BWA,Mutect,MARK,a077,05:10:29,18629
656,FD,Altay + COSAP,NO,YES,BOWTIE,Mutect,MARK,a059,04:56:28,17788
657,FD,Altay + COSAP,NO,YES,BWA,Strelka,MARK,a066,01:31:51,5511
658,FD,Altay + COSAP,NO,YES,BOWTIE,Strelka,MARK,a058,01:38:51,5931
659,FD,Altay + COSAP,NO,YES,BWA,SomaticSniper,MARK,a064,01:40:12,6012
660,FD,Altay + COSAP,NO,YES,BOWTIE,SomaticSniper,MARK,a078,01:50:28,6628
661,FD,Altay + COSAP,NO,NO,BWA,Mutect,DELETE,a068,05:28:18,19698
662,FD,Altay + COSAP,NO,NO,BOWTIE,Mutect,DELETE,a058,05:54:00,21240
663,FD,Altay + COSAP,NO,NO,BWA,Strelka,DELETE,a051,00:43:38,2618
664,FD,Altay + COSAP,NO,NO,BOWTIE,Strelka,DELETE,a036,00:52:40,3160
665,FD,Altay + COSAP,NO,NO,BWA,SomaticSniper,DELETE,a057,00:52:26,3146
666,FD,Altay + COSAP,NO,NO,BOWTIE,SomaticSniper,DELETE,a041,01:02:29,3749
667,FD,Altay + COSAP,NO,NO,BWA,Mutect,MARK,a077,05:35:14,20114
668,FD,Altay + COSAP,NO,NO,BOWTIE,Mutect,MARK,a059,05:51:49,21109
669,FD,Altay + COSAP,NO,NO,BWA,Strelka,MARK,a066,00:43:14,2594
670,FD,Altay + COSAP,NO,NO,BOWTIE,Strelka,MARK,a058,00:52:28,3148
671,FD,Altay + COSAP,NO,NO,BWA,SomaticSniper,MARK,a064,00:51:14,3074
672,FD,Altay + COSAP,NO,NO,BOWTIE,SomaticSniper,MARK,a078,01:00:45,3645
721,NC,Altay + COSAP,YES,YES,BWA,Mutect,DELETE,a086,07:11:00,25860
722,NC,Altay + COSAP,YES,YES,BOWTIE,Mutect,DELETE,a060,06:51:03,24663
723,NC,Altay + COSAP,YES,YES,BWA,Strelka,DELETE,a087,02:32:33,9153
724,NC,Altay + COSAP,YES,YES,BOWTIE,Strelka,DELETE,a053,02:44:57,9897
725,NC,Altay + COSAP,YES,YES,BWA,SomaticSniper,DELETE,a059,02:45:43,9943
726,NC,Altay + COSAP,YES,YES,BOWTIE,SomaticSniper,DELETE,a054,03:03:32,11012
727,NC,Altay + COSAP,YES,YES,BWA,Mutect,MARK,a068,07:17:00,26220
728,NC,Altay + COSAP,YES,YES,BOWTIE,Mutect,MARK,a061,06:39:42,23982
729,NC,Altay + COSAP,YES,YES,BWA,Strelka,MARK,a075,2:29:03,8943
730,NC,Altay + COSAP,YES,YES,BOWTIE,Strelka,MARK,a063,02:51:06,10266
731,NC,Altay + COSAP,YES,YES,BWA,SomaticSniper,MARK,a071,02:46:53,10013
732,NC,Altay + COSAP,YES,YES,BOWTIE,SomaticSniper,MARK,a060,03:06:45,11205
733,NC,Altay + COSAP,YES,NO,BWA,Mutect,DELETE,a086,06:09:46,22186
734,NC,Altay + COSAP,YES,NO,BOWTIE,Mutect,DELETE,a060,05:45:18,20718
735,NC,Altay + COSAP,YES,NO,BWA,Strelka,DELETE,a087,01:19:43,4783
736,NC,Altay + COSAP,YES,NO,BOWTIE,Strelka,DELETE,a053,01:25:48,5148
737,NC,Altay + COSAP,YES,NO,BWA,SomaticSniper,DELETE,a059,01:26:04,5164
738,NC,Altay + COSAP,YES,NO,BOWTIE,SomaticSniper,DELETE,a054,01:42:53,6173
739,NC,Altay + COSAP,YES,NO,BWA,Mutect,MARK,a068,06:09:31,22171
740,NC,Altay + COSAP,YES,NO,BOWTIE,Mutect,MARK,a061,05:40:05,20405
741,NC,Altay + COSAP,YES,NO,BWA,Strelka,MARK,a075,01:11:56,4316
742,NC,Altay + COSAP,YES,NO,BOWTIE,Strelka,MARK,a063,01:27:17,5237
743,NC,Altay + COSAP,YES,NO,BWA,SomaticSniper,MARK,a071,01:24:38,5078
744,NC,Altay + COSAP,YES,NO,BOWTIE,SomaticSniper,MARK,a060,01:42:03,6123
745,NC,Altay + COSAP,NO,YES,BWA,Mutect,DELETE,a086,08:39:23,31163
746,NC,Altay + COSAP,NO,YES,BOWTIE,Mutect,DELETE,a060,09:10:56,33056
747,NC,Altay + COSAP,NO,YES,BWA,Strelka,DELETE,a087,02:20:41,8441
748,NC,Altay + COSAP,NO,YES,BOWTIE,Strelka,DELETE,a053,02:41:08,9668
749,NC,Altay + COSAP,NO,YES,BWA,SomaticSniper,DELETE,a059,02:39:37,9577
750,NC,Altay + COSAP,NO,YES,BOWTIE,SomaticSniper,DELETE,a054,02:58:37,10717
751,NC,Altay + COSAP,NO,YES,BWA,Mutect,MARK,a068,08:36:11,30971
752,NC,Altay + COSAP,NO,YES,BOWTIE,Mutect,MARK,a061,09:13:28,33208
753,NC,Altay + COSAP,NO,YES,BWA,Strelka,MARK,a075,02:22:46,8566
754,NC,Altay + COSAP,NO,YES,BOWTIE,Strelka,MARK,a063,02:38:08,9488
755,NC,Altay + COSAP,NO,YES,BWA,SomaticSniper,MARK,a071,02:40:21,9621
756,NC,Altay + COSAP,NO,YES,BOWTIE,SomaticSniper,MARK,a060,03:00:33,10833
757,NC,Altay + COSAP,NO,NO,BWA,Mutect,DELETE,a086,07:54:05,28445
758,NC,Altay + COSAP,NO,NO,BOWTIE,Mutect,DELETE,a060,10:09:45,36585
759,NC,Altay + COSAP,NO,NO,BWA,Strelka,DELETE,a087,00:59:28,3568
760,NC,Altay + COSAP,NO,NO,BOWTIE,Strelka,DELETE,a053,01:17:29,4649
761,NC,Altay + COSAP,NO,NO,BWA,SomaticSniper,DELETE,a059,01:15:04,4504
762,NC,Altay + COSAP,NO,NO,BOWTIE,SomaticSniper,DELETE,a054,01:32:44,5564
763,NC,Altay + COSAP,NO,NO,BWA,Mutect,MARK,a068,07:56:19,28579
764,NC,Altay + COSAP,NO,NO,BOWTIE,Mutect,MARK,a061,10:25:30,37530
765,NC,Altay + COSAP,NO,NO,BWA,Strelka,MARK,a075,00:59:51,3591
766,NC,Altay + COSAP,NO,NO,BOWTIE,Strelka,MARK,a063,01:20:07,4807
767,NC,Altay + COSAP,NO,NO,BWA,SomaticSniper,MARK,a071,01:16:12,4572
768,NC,Altay + COSAP,NO,NO,BOWTIE,SomaticSniper,MARK,a060,01:32:35,5555
769,IL,Uhem + COSAP,YES,YES,BWA,Mutect,MARK,s030,9:01:44,32504
770,IL,Uhem + COSAP,NO,NO,BWA,Mutect,MARK,s030,10:59:36,39576
771,IL,Uhem + COSAP,YES,NO,BWA,Mutect,MARK,s030,9:19:48,33588
772,IL,Uhem + COSAP,NO,YES,BWA,Mutect,MARK,s030,10:59:37,39577
773,IL,Uhem + COSAP,YES,YES,BOWTIE,Mutect,MARK,s031,8:58:46,32326
774,IL,Uhem + COSAP,NO,NO,BOWTIE,Mutect,MARK,s031,12:43:08,45788
775,IL,Uhem + COSAP,YES,NO,BOWTIE,Mutect,MARK,s031,8:28:59,30539
776,IL,Uhem + COSAP,NO,YES,BOWTIE,Mutect,MARK,s031,11:16:33,40593
777,IL,Uhem + COSAP,YES,YES,BWA,Strelka,MARK,s003,3:37:58,13078
778,IL,Uhem + COSAP,NO,NO,BWA,Strelka,MARK,s003,1:49:17,6557
779,IL,Uhem + COSAP,YES,NO,BWA,Strelka,MARK,s003,2:09:07,7747
780,IL,Uhem + COSAP,NO,YES,BWA,Strelka,MARK,s003,3:28:17,12497
781,IL,Uhem + COSAP,YES,YES,BOWTIE,Strelka,MARK,s009,4:34:27,16467
782,IL,Uhem + COSAP,NO,NO,BOWTIE,Strelka,MARK,s009,2:38:48,9528
783,IL,Uhem + COSAP,YES,NO,BOWTIE,Strelka,MARK,s009,2:52:57,10377
784,IL,Uhem + COSAP,NO,YES,BOWTIE,Strelka,MARK,s009,4:22:49,15769
785,IL,Uhem + COSAP,YES,YES,BWA,SomaticSniper,MARK,s029,4:05:06,14706
786,IL,Uhem + COSAP,NO,NO,BWA,SomaticSniper,MARK,s029,2:05:52,7552
787,IL,Uhem + COSAP,YES,NO,BWA,SomaticSniper,MARK,s029,2:20:43,8443
788,IL,Uhem + COSAP,NO,YES,BWA,SomaticSniper,MARK,s029,3:53:20,14000
789,IL,Uhem + COSAP,YES,YES,BOWTIE,SomaticSniper,MARK,s033,4:58:44,17924
790,IL,Uhem + COSAP,NO,NO,BOWTIE,SomaticSniper,MARK,s033,2:59:47,10787
791,IL,Uhem + COSAP,YES,NO,BOWTIE,SomaticSniper,MARK,s033,3:13:43,11623
792,IL,Uhem + COSAP,NO,YES,BOWTIE,SomaticSniper,MARK,s033,4:48:21,17301
793,IL,Uhem + COSAP,YES,YES,BWA,Mutect,DELETE,s035,9:33:31,34411
794,IL,Uhem + COSAP,NO,NO,BWA,Mutect,DELETE,s006,9:15:02,33302
795,IL,Uhem + COSAP,YES,NO,BWA,Mutect,DELETE,s019,8:39:15,31155
796,IL,Uhem + COSAP,NO,YES,BWA,Mutect,DELETE,s006,9:47:24,35244
797,IL,Uhem + COSAP,YES,YES,BOWTIE,Mutect,DELETE,s011,9:46:54,35214
798,IL,Uhem + COSAP,NO,NO,BOWTIE,Mutect,DELETE,s011,13:03:41,47021
799,IL,Uhem + COSAP,YES,NO,BOWTIE,Mutect,DELETE,s011,8:48:24,31704
800,IL,Uhem + COSAP,NO,YES,BOWTIE,Mutect,DELETE,s011,11:56:32,42992
801,IL,Uhem + COSAP,YES,YES,BWA,Strelka,DELETE,s039,4:15:49,15349
802,IL,Uhem + COSAP,NO,NO,BWA,Strelka,DELETE,s039,1:56:29,6989
803,IL,Uhem + COSAP,YES,NO,BWA,Strelka,DELETE,s026,2:09:22,7762
804,IL,Uhem + COSAP,NO,YES,BWA,Strelka,DELETE,s039,4:06:24,14784
805,IL,Uhem + COSAP,YES,YES,BOWTIE,Strelka,DELETE,s013,5:12:46,18766
806,IL,Uhem + COSAP,NO,NO,BOWTIE,Strelka,DELETE,s013,2:51:42,10302
807,IL,Uhem + COSAP,YES,NO,BOWTIE,Strelka,DELETE,s013,3:02:37,10957
808,IL,Uhem + COSAP,NO,YES,BOWTIE,Strelka,DELETE,s013,5:05:12,18312
809,IL,Uhem + COSAP,YES,YES,BWA,SomaticSniper,DELETE,s040,4:45:31,17131
810,IL,Uhem + COSAP,NO,NO,BWA,SomaticSniper,DELETE,s040,2:19:54,8394
811,IL,Uhem + COSAP,YES,NO,BWA,SomaticSniper,DELETE,s018,2:34:26,9266
812,IL,Uhem + COSAP,NO,YES,BWA,SomaticSniper,DELETE,s018,2:12:30,7950
813,IL,Uhem + COSAP,YES,YES,BOWTIE,SomaticSniper,DELETE,s014,5:42:30,20550
814,IL,Uhem + COSAP,NO,NO,BOWTIE,SomaticSniper,DELETE,s014,3:15:28,11728
815,IL,Uhem + COSAP,YES,NO,BOWTIE,SomaticSniper,DELETE,s014,3:27:29,12449
816,IL,Uhem + COSAP,NO,YES,BOWTIE,SomaticSniper,DELETE,s014,5:34:10,20050
817,IL,Altay + COSAP,YES,YES,BWA,Mutect,MARK,a074,8:12:31,29551
818,IL,Altay + COSAP,NO,NO,BWA,Mutect,MARK,a074,7:52:47,28367
819,IL,Altay + COSAP,YES,NO,BWA,Mutect,MARK,a074,7:26:13,26773
820,IL,Altay + COSAP,NO,YES,BWA,Mutect,MARK,a074,8:25:08,30308
821,IL,Altay + COSAP,YES,YES,BOWTIE,Mutect,MARK,a075,8:22:42,30162
822,IL,Altay + COSAP,NO,NO,BOWTIE,Mutect,MARK,a075,11:31:14,41474
823,IL,Altay + COSAP,YES,NO,BOWTIE,Mutect,MARK,a075,7:46:30,27990
824,IL,Altay + COSAP,NO,YES,BOWTIE,Mutect,MARK,a075,10:11:36,36696
825,IL,Altay + COSAP,YES,YES,BWA,Strelka,MARK,a047,3:44:17,13457
826,IL,Altay + COSAP,NO,NO,BWA,Strelka,MARK,a047,2:11:31,7891
827,IL,Altay + COSAP,YES,NO,BWA,Strelka,MARK,a047,2:33:36,9216
828,IL,Altay + COSAP,NO,YES,BWA,Strelka,MARK,a047,3:47:20,13640
829,IL,Altay + COSAP,YES,YES,BOWTIE,Strelka,MARK,a046,4:23:48,15828
830,IL,Altay + COSAP,NO,NO,BOWTIE,Strelka,MARK,a046,2:48:54,10134
831,IL,Altay + COSAP,YES,NO,BOWTIE,Strelka,MARK,a046,3:12:52,11572
832,IL,Altay + COSAP,NO,YES,BOWTIE,Strelka,MARK,a046,4:32:47,16367
833,IL,Altay + COSAP,YES,YES,BWA,SomaticSniper,MARK,a068,4:36:16,16576
834,IL,Altay + COSAP,NO,NO,BWA,SomaticSniper,MARK,a068,2:34:58,9298
835,IL,Altay + COSAP,YES,NO,BWA,SomaticSniper,MARK,a068,2:48:48,10128
836,IL,Altay + COSAP,NO,YES,BWA,SomaticSniper,MARK,a068,4:14:56,15296
837,IL,Altay + COSAP,YES,YES,BOWTIE,SomaticSniper,MARK,a044,5:19:05,19145
838,IL,Altay + COSAP,NO,NO,BOWTIE,SomaticSniper,MARK,a044,3:12:13,11533
839,IL,Altay + COSAP,YES,NO,BOWTIE,SomaticSniper,MARK,a044,3:30:36,12636
840,IL,Altay + COSAP,NO,YES,BOWTIE,SomaticSniper,MARK,a044,4:58:51,17931
841,IL,Altay + COSAP,YES,YES,BWA,Mutect,DELETE,a042,8:51:55,31915
842,IL,Altay + COSAP,NO,NO,BWA,Mutect,DELETE,a042,8:23:48,30228
843,IL,Altay + COSAP,YES,NO,BWA,Mutect,DELETE,a042,7:52:17,28337
844,IL,Altay + COSAP,NO,YES,BWA,Mutect,DELETE,a042,9:09:52,32992
845,IL,Altay + COSAP,YES,YES,BOWTIE,Mutect,DELETE,a045,9:22:51,33771
846,IL,Altay + COSAP,NO,NO,BOWTIE,Mutect,DELETE,a045,11:56:24,42984
847,IL,Altay + COSAP,YES,NO,BOWTIE,Mutect,DELETE,a045,7:54:23,28463
848,IL,Altay + COSAP,NO,YES,BOWTIE,Mutect,DELETE,a045,11:11:46,40306
849,IL,Altay + COSAP,YES,YES,BWA,Strelka,DELETE,a043,4:58:00,17880
850,IL,Altay + COSAP,NO,NO,BWA,Strelka,DELETE,a043,2:24:24,8664
851,IL,Altay + COSAP,YES,NO,BWA,Strelka,DELETE,a043,2:44:19,9859
852,IL,Altay + COSAP,NO,YES,BWA,Strelka,DELETE,a043,4:34:06,16446
853,IL,Altay + COSAP,YES,YES,BOWTIE,Strelka,DELETE,a073,5:34:47,20087
854,IL,Altay + COSAP,NO,NO,BOWTIE,Strelka,DELETE,a073,2:57:10,10630
855,IL,Altay + COSAP,YES,NO,BOWTIE,Strelka,DELETE,a073,3:19:24,11964
856,IL,Altay + COSAP,NO,YES,BOWTIE,Strelka,DELETE,a073,5:11:43,18703
857,IL,Altay + COSAP,YES,YES,BWA,SomaticSniper,DELETE,a044,5:17:33,19053
858,IL,Altay + COSAP,NO,NO,BWA,SomaticSniper,DELETE,a044,2:46:53,10013
859,IL,Altay + COSAP,YES,NO,BWA,SomaticSniper,DELETE,a044,3:06:09,11169
860,IL,Altay + COSAP,NO,YES,BWA,SomaticSniper,DELETE,a044,5:11:14,18674
861,IL,Altay + COSAP,YES,YES,BOWTIE,SomaticSniper,DELETE,a046,6:07:54,22074
862,IL,Altay + COSAP,NO,NO,BOWTIE,SomaticSniper,DELETE,a046,3:23:52,12232
863,IL,Altay + COSAP,YES,NO,BOWTIE,SomaticSniper,DELETE,a046,3:56:29,14189
864,IL,Altay + COSAP,NO,YES,BOWTIE,SomaticSniper,DELETE,a046,5:40:36,20436
