run,Sample,Environment,isTrimmed,baseRecalibration,Mapper,VariantCaller,Duplicates,Node,ElapsedTime,elapsed_seconds
209,LL,Altay + COSAP,YES,NO,BWA,Strelka,MARK,a043,00:43:39,2619
210,NC,Uhem + COSAP,YES,NO,BWA,Strelka,MARK,f010,1:01:53,3713
213,LL,Uhem + COSAP,NO,YES,BWA,Strelka,MARK,s022,1:22:52,4972
214,EA,Uhem + COSAP,NO,YES,BWA,Strelka,MARK,s023,03:46:06,13566
215,LL,Altay + COSAP,NO,YES,BWA,Strelka,MARK,a043,01:22:33,4953
216,NC,Uhem + COSAP,NO,YES,BWA,Strelka,MARK,f010,2:25:31,8731
219,LL,Uhem + COSAP,YES,YES,BOWTIE,Strelka,MARK,s022,1:37:23,5843
220,EA,Uhem + COSAP,YES,YES,BOWTIE,Strelka,MARK,f003,03:56:26,14186
221,LL,Altay + COSAP,YES,YES,BOWTIE,Strelka,MARK,a044,01:36:23,5783
222,NC,Uhem + COSAP,YES,YES,BOWTIE,Strelka,MARK,s023,2:41:39,9699
225,LL,Uhem + COSAP,NO,NO,BOWTIE,Strelka,MARK,s022,0:46:53,2813
226,EA,Uhem + COSAP,NO,NO,BOWTIE,Strelka,MARK,f003,02:06:25,7585
227,LL,Altay + COSAP,NO,NO,BOWTIE,Strelka,MARK,a044,00:46:40,2800
228,NC,Uhem + COSAP,NO,NO,BOWTIE,Strelka,MARK,s023,1:16:19,4579
231,LL,Uhem + COSAP,YES,NO,BOWTIE,Strelka,MARK,s022,0:49:57,2997
232,EA,Uhem + COSAP,YES,NO,BOWTIE,Strelka,MARK,f003,02:14:47,8087
233,LL,Altay + COSAP,YES,NO,BOWTIE,Strelka,MARK,a044,00:53:31,3211
234,NC,Uhem + COSAP,YES,NO,BOWTIE,Strelka,MARK,s023,1:19:49,4789
237,LL,Uhem + COSAP,NO,YES,BOWTIE,Strelka,MARK,s022,1:30:34,5434
238,EA,Uhem + COSAP,NO,YES,BOWTIE,Strelka,MARK,f003,03:51:50,13910
239,LL,Altay + COSAP,NO,YES,BOWTIE,Strelka,MARK,a044,01:27:47,5267
240,NC,Uhem + COSAP,NO,YES,BOWTIE,Strelka,MARK,s023,2:39:04,9544
243,LL,Uhem + COSAP,YES,YES,BWA,SomaticSniper,MARK,s011,1:30:55,5455
244,EA,Uhem + COSAP,YES,YES,BWA,SomaticSniper,MARK,s030,04:36:26,16586
245,LL,Altay + COSAP,YES,YES,BWA,SomaticSniper,MARK,a059,01:31:54,5514
246,NC,Uhem + COSAP,YES,YES,BWA,SomaticSniper,MARK,s021,2:34:52,9292
249,LL,Uhem + COSAP,NO,NO,BWA,SomaticSniper,MARK,s011,0:40:53,2453
250,EA,Uhem + COSAP,NO,NO,BWA,SomaticSniper,MARK,s030,02:48:39,10119
251,LL,Altay + COSAP,NO,NO,BWA,SomaticSniper,MARK,a059,00:46:40,2800
252,NC,Uhem + COSAP,NO,NO,BWA,SomaticSniper,MARK,s021,1:09:56,4196
255,LL,Uhem + COSAP,YES,NO,BWA,SomaticSniper,MARK,s011,0:42:50,2570
256,EA,Uhem + COSAP,YES,NO,BWA,SomaticSniper,MARK,s030,02:50:05,10205
257,LL,Altay + COSAP,YES,NO,BWA,SomaticSniper,MARK,a059,00:47:30,2850
258,NC,Uhem + COSAP,YES,NO,BWA,SomaticSniper,MARK,s021,1:13:23,4403
261,LL,Uhem + COSAP,NO,YES,BWA,SomaticSniper,MARK,s011,1:29:53,5393
262,EA,Uhem + COSAP,NO,YES,BWA,SomaticSniper,MARK,s030,04:16:05,15365
263,LL,Altay + COSAP,NO,YES,BWA,SomaticSniper,MARK,a059,01:29:06,5346
264,NC,Uhem + COSAP,NO,YES,BWA,SomaticSniper,MARK,s021,2:34:13,9253
267,LL,Uhem + COSAP,YES,YES,BOWTIE,SomaticSniper,MARK,s032,1:45:03,6303
268,EA,Uhem + COSAP,YES,YES,BOWTIE,SomaticSniper,MARK,s002,04:21:53,15713
269,LL,Altay + COSAP,YES,YES,BOWTIE,SomaticSniper,MARK,a058,01:42:08,6128
270,NC,Uhem + COSAP,YES,YES,BOWTIE,SomaticSniper,MARK,s027,3:01:27,10887
273,LL,Uhem + COSAP,NO,NO,BOWTIE,SomaticSniper,MARK,s032,0:53:28,3208
274,EA,Uhem + COSAP,NO,NO,BOWTIE,SomaticSniper,MARK,s002,02:32:17,9137
275,LL,Altay + COSAP,NO,NO,BOWTIE,SomaticSniper,MARK,a058,00:53:47,3227
276,NC,Uhem + COSAP,NO,NO,BOWTIE,SomaticSniper,MARK,s027,1:32:46,5566
279,LL,Uhem + COSAP,YES,NO,BOWTIE,SomaticSniper,MARK,s032,0:55:54,3354
280,EA,Uhem + COSAP,YES,NO,BOWTIE,SomaticSniper,MARK,s002,02:37:56,9476
281,LL,Altay + COSAP,YES,NO,BOWTIE,SomaticSniper,MARK,a058,00:59:35,3575
282,NC,Uhem + COSAP,YES,NO,BOWTIE,SomaticSniper,MARK,s027,1:35:48,5748
285,LL,Uhem + COSAP,NO,YES,BOWTIE,SomaticSniper,MARK,s032,1:40:09,6009
286,EA,Uhem + COSAP,NO,YES,BOWTIE,SomaticSniper,MARK,s002,04:18:51,15531
287,LL,Altay + COSAP,NO,YES,BOWTIE,SomaticSniper,MARK,a058,01:36:35,5795
288,NC,Uhem + COSAP,NO,YES,BOWTIE,SomaticSniper,MARK,s027,3:00:33,10833
290,EA,Altay + COSAP,YES,YES,BWA,Mutect,DELETE,a079,06:07:30,22050
296,EA,Altay + COSAP,NO,NO,BWA,Mutect,DELETE,a079,06:31:30,23490
302,EA,Altay + COSAP,YES,NO,BWA,Mutect,DELETE,a079,05:47:03,20823
308,EA,Altay + COSAP,NO,YES,BWA,Mutect,DELETE,a079,08:12:58,29578
314,EA,Altay + COSAP,YES,YES,BOWTIE,Mutect,DELETE,a061,07:55:59,28559
320,EA,Altay + COSAP,NO,NO,BOWTIE,Mutect,DELETE,a061,10:10:03,36603
326,EA,Altay + COSAP,YES,NO,BOWTIE,Mutect,DELETE,a061,06:10:35,22235
332,EA,Altay + COSAP,NO,YES,BOWTIE,Mutect,DELETE,a061,10:55:33,39333
338,EA,Altay + COSAP,YES,YES,BWA,Strelka,DELETE,a046,03:58:20,14300
344,EA,Altay + COSAP,NO,NO,BWA,Strelka,DELETE,a048,01:49:01,6541
350,EA,Altay + COSAP,YES,NO,BWA,Strelka,DELETE,a048,02:03:24,7404
356,EA,Altay + COSAP,NO,YES,BWA,Strelka,DELETE,a048,03:34:30,12870
362,EA,Altay + COSAP,YES,YES,BOWTIE,Strelka,DELETE,a062,04:30:56,16256
368,EA,Altay + COSAP,NO,NO,BOWTIE,Strelka,DELETE,a062,02:15:48,8148
374,EA,Altay + COSAP,YES,NO,BOWTIE,Strelka,DELETE,a062,02:37:28,9448
380,EA,Altay + COSAP,NO,YES,BOWTIE,Strelka,DELETE,a062,04:15:32,15332
386,EA,Altay + COSAP,YES,YES,BWA,SomaticSniper,DELETE,a049,04:19:05,15545
392,EA,Altay + COSAP,NO,NO,BWA,SomaticSniper,DELETE,a049,02:10:21,7821
398,EA,Altay + COSAP,YES,NO,BWA,SomaticSniper,DELETE,a049,02:29:23,8963
404,EA,Altay + COSAP,NO,YES,BWA,SomaticSniper,DELETE,a049,04:06:32,14792
410,EA,Altay + COSAP,YES,YES,BOWTIE,SomaticSniper,DELETE,a064,04:57:47,17867
416,EA,Altay + COSAP,NO,NO,BOWTIE,SomaticSniper,DELETE,a064,02:46:02,9962
422,EA,Altay + COSAP,YES,NO,BOWTIE,SomaticSniper,DELETE,a064,02:57:27,10647
428,EA,Altay + COSAP,NO,YES,BOWTIE,SomaticSniper,DELETE,a064,04:49:56,17396
435,LL,Uhem + COSAP,YES,YES,BWA,Mutect,DELETE,s046,2:51:10,10270
436,EA,Uhem + COSAP,YES,YES,BWA,Mutect,DELETE,s063,08:50:36,31836
437,LL,Altay + COSAP,YES,YES,BWA,Mutect,DELETE,a081,02:56:15,10575
438,NC,Uhem + COSAP,YES,YES,BWA,Mutect,DELETE,s012,7:22:50,26570
441,LL,Uhem + COSAP,NO,NO,BWA,Mutect,DELETE,s046,3:10:12,11412
442,EA,Uhem + COSAP,NO,NO,BWA,Mutect,DELETE,s063,07:45:24,27924
443,LL,Altay + COSAP,NO,NO,BWA,Mutect,DELETE,a081,03:17:13,11833
444,NC,Uhem + COSAP,NO,NO,BWA,Mutect,DELETE,s012,9:05:06,32706
