Sample,n_runs,mean,max,min
EA,96,0.7390084363536031,0.8979045920641997,0.4981761334028141
FD,96,0.5828865648190914,0.8315643747115828,0.07794871794871795
IL,96,0.767859839631122,0.9218181818181818,0.5679879578524837
LL,96,0.6168255864034407,0.8360888049126122,0.14050822122571002
NC,96,0.7500465907419498,0.8808243727598567,0.5020533880903492
all,480,0.6913254035898414,0.9218181818181818,0.07794871794871795
