run,Sample,Environment,isTrimmed,baseRecalibration,Mapper,VariantCaller,Duplicates,Inter/Union,Precision,Recall,f1_score
177,LL,Uhem + COSAP,NO,NO,BOWTIE,Mutect,MARK,0.623951182303585,0.8450413223140496,0.7045650301464255,0.7684358853922029
178,EA,Uhem + COSAP,NO,NO,BOWTIE,Mutect,MARK,0.7939538583929993,0.9122486288848263,0.859603789836348,0.8851441241685145
179,LL,Altay + COSAP,NO,NO,BOWTIE,Mutect,MARK,0.623951182303585,0.8450413223140496,0.7045650301464255,0.7684358853922029
180,NC,Uhem + COSAP,NO,NO,BOWTIE,Mutect,MARK,0.764937106918239,0.8976014760147601,0.8380706287683032,0.8668151447661471
183,LL,Uhem + COSAP,YES,NO,BOWTIE,Mutect,MARK,0.7052545155993432,0.9377729257641921,0.739879414298019,0.8271545498314878
184,EA,Uhem + COSAP,YES,NO,BOWTIE,Mutect,MARK,0.7965299684542587,0.9042076991942704,0.8699397071490095,0.8867427568042142
185,LL,Altay + COSAP,YES,NO,BOWTIE,Mutect,MARK,0.7052545155993432,0.9377729257641921,0.739879414298019,0.8271545498314878
186,NC,Uhem + COSAP,YES,NO,BOWTIE,Mutect,MARK,0.781225139220366,0.9109461966604824,0.8458225667527993,0.8771773112996875
189,LL,Uhem + COSAP,NO,YES,BOWTIE,Mutect,MARK,0.6540627514078842,0.9083798882681564,0.7002583979328165,0.7908560311284046
190,EA,Uhem + COSAP,NO,YES,BOWTIE,Mutect,MARK,0.8032258064516129,0.9265116279069767,0.8578811369509044,0.89087656529517
191,LL,Altay + COSAP,NO,YES,BOWTIE,Mutect,MARK,0.6540627514078842,0.9083798882681564,0.7002583979328165,0.7908560311284046
192,NC,Uhem + COSAP,NO,YES,BOWTIE,Mutect,MARK,0.7637362637362637,0.8959484346224678,0.8380706287683032,0.8660436137071651
195,LL,Uhem + COSAP,YES,YES,BWA,Strelka,MARK,0.43675982946470865,0.49252136752136755,0.7941429801894918,0.6079788987800858
196,EA,Uhem + COSAP,YES,YES,BWA,Strelka,MARK,0.5303482587064676,0.5566579634464752,0.9181739879414298,0.693107932379714
197,LL,Altay + COSAP,YES,YES,BWA,Strelka,MARK,0.43675982946470865,0.49252136752136755,0.7941429801894918,0.6079788987800858
198,NC,Uhem + COSAP,YES,YES,BWA,Strelka,MARK,0.5301327885597549,0.5656675749318801,0.8940568475452196,0.6929238985313753
201,LL,Uhem + COSAP,NO,NO,BWA,Strelka,MARK,0.40375381929288523,0.45012165450121655,0.7967269595176572,0.5752487562189055
