source,df,sum_sq,percent
C(isTrimmed):C(Duplicates),1.0,1.3345725588612752e-10,9.331406712496288e-10
C(isTrimmed):C(Duplicates):C(Center),4.0,5.338290236232841e-10,3.7325626855493075e-09
C(isTrimmed):C(Duplicates):C(Center):C(Environment),4.0,5.338290236229351e-10,3.7325626855468665e-09
C(isTrimmed):C(Duplicates):C(Environment),1.0,1.3345725590737944e-10,9.331406713982233e-10
C(isTrimmed):C(Duplicates):C(Mapper),1.0,1.3345725591292486e-10,9.331406714369974e-10
C(isTrimmed):C(Duplicates):C(Mapper):C(Center),4.0,5.338290235962246e-10,3.732562685360106e-09
C(isTrimmed):C(Duplicates):C(Mapper):C(Center):C(Environment),4.0,5.338290236149871e-10,3.732562685491295e-09
C(isTrimmed):C(Duplicates):C(Mapper):C(Environment),1.0,1.334572558945598e-10,9.331406713085878e-10
C(isTrimmed):C(Duplicates):C(Mapper):C(VariantCaller),2.0,2.6691451179096255e-10,1.8662813426300614e-09
C(isTrimmed):C(Duplicates):C(Mapper):C(VariantCaller):C(Center),8.0,1.0676580472187055e-09,7.465125370903797e-09
C(isTrimmed):C(Duplicates):C(Mapper):C(VariantCaller):C(Center):C(Environment),8.0,1.0676580472153687e-09,7.465125370880466e-09
C(isTrimmed):C(Duplicates):C(Mapper):C(VariantCaller):C(Environment),2.0,2.6691451180919857e-10,1.8662813427575688e-09
C(isTrimmed):C(Duplicates):C(VariantCaller),2.0,2.6691451175472707e-10,1.8662813423767013e-09
C(isTrimmed):C(Duplicates):C(VariantCaller):C(Center),8.0,1.0676580472087545e-09,7.46512537083422e-09
C(isTrimmed):C(Duplicates):C(VariantCaller):C(Center):C(Environment),8.0,1.0676580472069682e-09,7.46512537082173e-09
C(isTrimmed):C(Duplicates):C(VariantCaller):C(Environment),2.0,2.6691451181642896e-10,1.866281342808124e-09
C(isTrimmed):C(Environment),1.0,1.3345725590053038e-10,9.331406713503345e-10
C(isTrimmed):C(Mapper),1.0,0.257112486196558,1.7977450260241432
C(isTrimmed):C(Mapper):C(Center),4.0,0.0540485212164942,0.37791031317954554
C(isTrimmed):C(Mapper):C(Center):C(Environment),4.0,5.3382902362832e-10,3.732562685584519e-09
C(isTrimmed):C(Mapper):C(Environment),1.0,1.3345725587932478e-10,9.331406712020637e-10
C(isTrimmed):C(Mapper):C(VariantCaller),2.0,0.3768260491778578,2.6347890201953637
C(isTrimmed):C(Mapper):C(VariantCaller):C(Center),8.0,0.07751348745810559,0.5419786825174405
