TestCase,TMB
296,15.799425158469719
606,4.668011978638781
262,18.238678102214653
853,14.276439817958924
639,40.006224676344566
601,17.334792493618814
854,14.065945909107837
637,17.06238861157623
862,10.301819539064896
608,13.44684617719288
630,21.878984525874603
831,14.846011571320684
456,14.004035935916342
664,12.976330380937512
238,13.372554209363086
836,17.83007227915078
663,40.538650445791426
809,18.189150123661456
207,26.274592622470802
800,12.86489242919282
231,16.257558960086786
655,17.334792493618814
467,11.98577080987358
807,14.846011571320684
209,26.274592622470802
460,13.397318198639685
652,11.007593233447947
838,10.301819539064896
255,33.728553394726895
631,15.972773083405908
864,8.419756354043423
636,21.878984525874603
404,18.238678102214653
252,18.771103871661516
863,16.80236672417195
609,27.017512300768754
290,15.613695238895232
264,18.02818419336357
600,35.80872849396115
855,14.846011571320684
435,11.837186874213991
607,17.334792493618814
263,26.79463639727937
852,20.120741287236125
638,13.285880246894992
208,29.011013437534917
806,14.065945909107837
653,27.02989429540705
461,11.973388815235282
839,16.80236672417195
237,10.37611150689469
495,26.274592622470802
459,11.973388815235282
801,21.185592826129852
492,24.627787335577015
466,13.545902134299274
654,4.668011978638781
837,13.384936204001384
239,10.37611150689469
450,14.103091893022736
662,16.95095065983154
808,13.323026230809889
468,13.422082187916281
830,14.065945909107837
201,25.44499898170476
665,38.508003325110366
525,10.37611150689469
56,27.7975779629816
728,13.261116257618394
374,15.229853405107958
522,14.969831517703676
380,13.372554209363086
179,11.98577080987358
514,14.004035935916342
726,15.427965319320744
184,13.830688010980154
183,11.341907088682024
177,11.98577080987358
721,14.078327903746137
513,11.750512911745897
148,15.613695238895232
578,12.456286606128948
781,14.276439817958924
775,13.01347636485241
772,14.016417930554642
540,18.771103871661516
786,20.90080694944897
549,26.79463639727937
320,13.545902134299274
744,16.95095065983154
576,8.63025026289451
582,21.878984525874603
788,17.83007227915078
585,27.35182615600283
743,19.340675625023277
344,27.7975779629816
149,11.837186874213991
185,11.341907088682024
727,14.078327903746137
515,11.750512911745897
171,11.973388815235282
92,13.372554209363086
147,11.837186874213991
50,23.71151973234288
178,13.545902134299274
140,7.9120945738731585
386,19.192091689363686
68,22.399028300683167
729,22.720960161278946
789,13.384936204001384
742,14.969831517703676
570,16.95095065983154
326,13.830688010980154
584,12.456286606128948
583,15.972773083405908
577,15.972773083405908
745,14.004035935916342
32,13.545902134299274
787,20.690313040597886
773,13.050622348767307
579,27.35182615600283
122,14.994595506980275
774,12.914420407746016
546,19.340675625023277
780,20.120741287236125
564,9.744629780341434
756,8.63025026289451
332,13.310644236171589
590,13.285880246894992
769,13.966889952001445
597,40.006224676344566
751,14.004035935916342
563,10.475167464001084
793,13.966889952001445
767,18.771103871661516
555,21.693254606300115
26,13.397318198639685
758,13.422082187916281
552,18.02818419336357
760,13.657340086043966
794,13.929743968086548
599,40.848200311748904
539,32.46558994162038
162,14.103091893022736
350,29.011013437534917
734,13.347790220086488
196,23.71151973234288
86,15.229853405107958
368,14.004035935916342
191,11.081885201277743
501,22.49808425778956
733,14.103091893022736
165,12.666780514980033
44,13.310644236171589
198,22.720960161278946
508,14.77171960349089
153,13.669722080682265
537,32.46558994162038
154,15.799425158469719
392,19.105417726895592
795,13.929743968086548
761,18.771103871661516
20,15.316527367576052
598,17.607196375661395
766,13.657340086043966
302,16.009919067320805
792,8.419756354043423
759,24.627787335577015
562,9.385551935830758
750,8.63025026289451
596,13.285880246894992
591,40.006224676344566
757,14.090709898384436
768,9.744629780341434
531,27.36420815064113
155,13.669722080682265
509,14.524079710724907
732,15.427965319320744
356,22.399028300683167
190,13.310644236171589
74,14.77171960349089
538,19.105417726895592
80,14.004035935916342
197,23.179093962896015
507,14.524079710724907
735,25.383089008513263
647,40.848200311748904
812,17.83007227915078
486,22.720960161278946
640,17.607196375661395
472,13.830688010980154
815,16.80236672417195
444,14.090709898384436
823,13.01347636485241
649,17.334792493618814
215,22.49808425778956
443,13.669722080682265
671,38.508003325110366
824,12.86489242919282
428,7.9120945738731585
625,15.972773083405908
279,29.791079099747762
410,14.994595506980275
622,12.976330380937512
246,18.56060996281043
848,12.86489242919282
841,13.966889952001445
270,15.427965319320744
614,16.95095065983154
846,12.914420407746016
613,18.622519936001925
214,22.399028300683167
670,12.976330380937512
442,15.799425158469719
489,25.44499898170476
825,21.185592826129852
213,22.49808425778956
822,12.914420407746016
