TestCase,Region,Inter/Union,Precision,Recall,f1_score
556,GRCh38_alldifficultregions.bed,0.4808565866320571,0.6610169491525424,0.6382428940568475,0.64943032427695
557,GRCh38_alldifficultregions.bed,0.34654422426292897,0.4412307692307692,0.6175710594315246,0.5147164393395549
558,GRCh38_alldifficultregions.bed,0.4890745501285347,0.6583044982698962,0.6554694229112834,0.6568839015968926
561,GRCh38_alldifficultregions.bed,0.0743801652892562,0.17110266159695817,0.11627906976744186,0.13846153846153844
562,GRCh38_alldifficultregions.bed,0.2969187675070028,0.613603473227207,0.3652024117140396,0.45788336933045354
563,GRCh38_alldifficultregions.bed,0.0743801652892562,0.17110266159695817,0.11627906976744186,0.13846153846153844
564,GRCh38_alldifficultregions.bed,0.30886426592797783,0.6117969821673526,0.384151593453919,0.47195767195767196
567,GRCh38_alldifficultregions.bed,0.2772351615326822,0.3296114336757481,0.6356589147286822,0.4341176470588235
568,GRCh38_alldifficultregions.bed,0.45229681978798586,0.5885057471264368,0.661498708010336,0.6228710462287104
569,GRCh38_alldifficultregions.bed,0.2772351615326822,0.3296114336757481,0.6356589147286822,0.4341176470588235
570,GRCh38_alldifficultregions.bed,0.4667472793228537,0.6102766798418973,0.664944013781223,0.6364385820280297
573,GRCh38_alldifficultregions.bed,0.08397932816537468,0.2514506769825919,0.1119724375538329,0.15494636471990467
574,GRCh38_alldifficultregions.bed,0.31491294473883424,0.7222222222222222,0.35831180017226527,0.47898675877950486
575,GRCh38_alldifficultregions.bed,0.08397932816537468,0.2514506769825919,0.1119724375538329,0.15494636471990467
576,GRCh38_alldifficultregions.bed,0.3216374269005848,0.6800618238021638,0.3789836347975883,0.48672566371681414
577,GRCh38_alldifficultregions.bed,0.5813639432815665,0.729043183742591,0.7416020671834626,0.7352690008539711
578,GRCh38_alldifficultregions.bed,0.6573705179282868,0.8977149075081611,0.710594315245478,0.7932692307692307
579,GRCh38_alldifficultregions.bed,0.3857451403887689,0.4362481680508061,0.7691645133505599,0.5567331670822943
580,GRCh38_alldifficultregions.bed,0.5478260869565217,0.7103209019947961,0.7054263565891473,0.7078651685393259
581,GRCh38_alldifficultregions.bed,0.3266393442622951,0.38391136801541426,0.6864771748492678,0.4924312635156009
582,GRCh38_alldifficultregions.bed,0.3604481246955675,0.4534313725490196,0.6373815676141258,0.5298961689939133
583,GRCh38_alldifficultregions.bed,0.5813639432815665,0.729043183742591,0.7416020671834626,0.7352690008539711
584,GRCh38_alldifficultregions.bed,0.6573705179282868,0.8977149075081611,0.710594315245478,0.7932692307692307
585,GRCh38_alldifficultregions.bed,0.3857451403887689,0.4362481680508061,0.7691645133505599,0.5567331670822943
586,GRCh38_alldifficultregions.bed,0.5478260869565217,0.7103209019947961,0.7054263565891473,0.7078651685393259
587,GRCh38_alldifficultregions.bed,0.3266393442622951,0.38391136801541426,0.6864771748492678,0.4924312635156009
588,GRCh38_alldifficultregions.bed,0.3604481246955675,0.4534313725490196,0.6373815676141258,0.5298961689939133
589,GRCh38_alldifficultregions.bed,0.5546272493573264,0.6860095389507154,0.7433247200689062,0.7135179826374534
590,GRCh38_alldifficultregions.bed,0.6341463414634146,0.8463886063072228,0.7166236003445305,0.7761194029850746
591,GRCh38_alldifficultregions.bed,0.27613776137761376,0.3004349280695885,0.7734711455641688,0.4327710843373494
592,GRCh38_alldifficultregions.bed,0.4963768115942029,0.6241457858769932,0.7080103359173127,0.6634382566585956
593,GRCh38_alldifficultregions.bed,0.24252199413489736,0.2688556566970091,0.7123169681309216,0.3903705451970734
594,GRCh38_alldifficultregions.bed,0.2527759634225996,0.2893457943925234,0.6666666666666666,0.4035453597497393
595,GRCh38_alldifficultregions.bed,0.5546272493573264,0.6860095389507154,0.7433247200689062,0.7135179826374534
596,GRCh38_alldifficultregions.bed,0.6341463414634146,0.8463886063072228,0.7166236003445305,0.7761194029850746
597,GRCh38_alldifficultregions.bed,0.27613776137761376,0.3004349280695885,0.7734711455641688,0.4327710843373494
598,GRCh38_alldifficultregions.bed,0.4963768115942029,0.6241457858769932,0.7080103359173127,0.6634382566585956
599,GRCh38_alldifficultregions.bed,0.24252199413489736,0.2688556566970091,0.7123169681309216,0.3903705451970734
600,GRCh38_alldifficultregions.bed,0.2527759634225996,0.2893457943925234,0.6666666666666666,0.4035453597497393
601,GRCh38_alldifficultregions.bed,0.545224541429475,0.672386895475819,0.7424633936261843,0.7056897257470324
602,GRCh38_alldifficultregions.bed,0.5684133915574964,0.7857142857142857,0.6726959517657192,0.7248259860788864
603,GRCh38_alldifficultregions.bed,0.39080962800875274,0.44273673772930094,0.7691645133505599,0.5619886721208307
604,GRCh38_alldifficultregions.bed,0.5424124513618677,0.8489646772228989,0.6003445305770887,0.7033299697275479
605,GRCh38_alldifficultregions.bed,0.3316708229426434,0.39060205580029367,0.6873385012919897,0.4981273408239701
606,GRCh38_alldifficultregions.bed,0.04426002766251729,0.1833810888252149,0.05512489233419466,0.08476821192052982
607,GRCh38_alldifficultregions.bed,0.545224541429475,0.672386895475819,0.7424633936261843,0.7056897257470324
608,GRCh38_alldifficultregions.bed,0.5684133915574964,0.7857142857142857,0.6726959517657192,0.7248259860788864
609,GRCh38_alldifficultregions.bed,0.39080962800875274,0.44273673772930094,0.7691645133505599,0.5619886721208307
610,GRCh38_alldifficultregions.bed,0.5424124513618677,0.8489646772228989,0.6003445305770887,0.7033299697275479
611,GRCh38_alldifficultregions.bed,0.3316708229426434,0.39060205580029367,0.6873385012919897,0.4981273408239701
612,GRCh38_alldifficultregions.bed,0.04426002766251729,0.1833810888252149,0.05512489233419466,0.08476821192052982
613,GRCh38_alldifficultregions.bed,0.5161290322580645,0.6274509803921569,0.7441860465116279,0.6808510638297872
614,GRCh38_alldifficultregions.bed,0.4901234567901235,0.6336791699920191,0.6838931955211025,0.6578293289146644
615,GRCh38_alldifficultregions.bed,0.2735016732582902,0.2971900826446281,0.7743324720068906,0.429526994744386
616,GRCh38_alldifficultregions.bed,0.4912648497554158,0.7225077081192189,0.6055124892334195,0.6588566073102156
617,GRCh38_alldifficultregions.bed,0.2533908754623921,0.28296041308089503,0.7080103359173127,0.40432857845548453
618,GRCh38_alldifficultregions.bed,0.03856749311294766,0.09668508287292818,0.06029285099052541,0.0742705570291777
619,GRCh38_alldifficultregions.bed,0.5161290322580645,0.6274509803921569,0.7441860465116279,0.6808510638297872
620,GRCh38_alldifficultregions.bed,0.4901234567901235,0.6336791699920191,0.6838931955211025,0.6578293289146644
621,GRCh38_alldifficultregions.bed,0.2735016732582902,0.2971900826446281,0.7743324720068906,0.429526994744386
622,GRCh38_alldifficultregions.bed,0.4912648497554158,0.7225077081192189,0.6055124892334195,0.6588566073102156
623,GRCh38_alldifficultregions.bed,0.2533908754623921,0.28296041308089503,0.7080103359173127,0.40432857845548453
624,GRCh38_alldifficultregions.bed,0.03856749311294766,0.09668508287292818,0.06029285099052541,0.0742705570291777
625,GRCh38_alldifficultregions.bed,0.5813639432815665,0.729043183742591,0.7416020671834626,0.7352690008539711
626,GRCh38_alldifficultregions.bed,0.6573705179282868,0.8977149075081611,0.710594315245478,0.7932692307692307
