TestCase,Sample,isTrimmed,baseRecalibration,Mapper,VariantCaller,Duplicates,Node,ElapsedTime,Environment,"baseRecalibration, isTrimmed","Mapper, VariantCaller"
184,EA,YES,NO,BOWTIE,Mutect,MARK,s067,07:06:47,Uhem + COSAP,"NO, YES","BOWTIE, Mutect"
185,LL,YES,NO,BOWTIE,Mutect,MARK,a057,02:30:39,Altay + COSAP,"NO, YES","BOWTIE, Mutect"
186,NC,YES,NO,BOWTIE,Mutect,MARK,s022,6:09:56,Uhem + COSAP,"NO, YES","BOWTIE, Mutect"
189,LL,NO,YES,BOWTIE,Mutect,MARK,s028,3:52:38,Uhem + COSAP,"YES, NO","BOWTIE, Mutect"
190,EA,NO,YES,BOWTIE,Mutect,MARK,s067,12:24:31,Uhem + COSAP,"YES, NO","BOWTIE, Mutect"
191,LL,NO,YES,BOWTIE,Mutect,MARK,a057,03:51:21,Altay + COSAP,"YES, NO","BOWTIE, Mutect"
192,NC,NO,YES,BOWTIE,Mutect,MARK,s022,9:49:26,Uhem + COSAP,"YES, NO","BOWTIE, Mutect"
195,LL,YES,YES,BWA,Strelka,MARK,s022,1:23:18,Uhem + COSAP,"YES, YES","BWA, Strelka"
196,EA,YES,YES,BWA,Strelka,MARK,s023,03:11:37,Uhem + COSAP,"YES, YES","BWA, Strelka"
197,LL,YES,YES,BWA,Strelka,MARK,a043,01:25:44,Altay + COSAP,"YES, YES","BWA, Strelka"
198,NC,YES,YES,BWA,Strelka,MARK,s023,2:42:53,Uhem + COSAP,"YES, YES","BWA, Strelka"
201,LL,NO,NO,BWA,Strelka,MARK,s022,0:44:06,Uhem + COSAP,"NO, NO","BWA, Strelka"
202,EA,NO,NO,BWA,Strelka,MARK,s023,02:00:47,Uhem + COSAP,"NO, NO","BWA, Strelka"
203,LL,NO,NO,BWA,Strelka,MARK,a043,00:41:23,Altay + COSAP,"NO, NO","BWA, Strelka"
204,NC,NO,NO,BWA,Strelka,MARK,f010,0:55:57,Uhem + COSAP,"NO, NO","BWA, Strelka"
207,LL,YES,NO,BWA,Strelka,MARK,s022,0:37:34,Uhem + COSAP,"NO, YES","BWA, Strelka"
208,EA,YES,NO,BWA,Strelka,MARK,s023,01:59:32,Uhem + COSAP,"NO, YES","BWA, Strelka"
209,LL,YES,NO,BWA,Strelka,MARK,a043,00:43:39,Altay + COSAP,"NO, YES","BWA, Strelka"
210,NC,YES,NO,BWA,Strelka,MARK,f010,1:01:53,Uhem + COSAP,"NO, YES","BWA, Strelka"
213,LL,NO,YES,BWA,Strelka,MARK,s022,1:22:52,Uhem + COSAP,"YES, NO","BWA, Strelka"
214,EA,NO,YES,BWA,Strelka,MARK,s023,03:46:06,Uhem + COSAP,"YES, NO","BWA, Strelka"
215,LL,NO,YES,BWA,Strelka,MARK,a043,01:22:33,Altay + COSAP,"YES, NO","BWA, Strelka"
216,NC,NO,YES,BWA,Strelka,MARK,f010,2:25:31,Uhem + COSAP,"YES, NO","BWA, Strelka"
219,LL,YES,YES,BOWTIE,Strelka,MARK,s022,1:37:23,Uhem + COSAP,"YES, YES","BOWTIE, Strelka"
220,EA,YES,YES,BOWTIE,Strelka,MARK,f003,03:56:26,Uhem + COSAP,"YES, YES","BOWTIE, Strelka"
221,LL,YES,YES,BOWTIE,Strelka,MARK,a044,01:36:23,Altay + COSAP,"YES, YES","BOWTIE, Strelka"
222,NC,YES,YES,BOWTIE,Strelka,MARK,s023,2:41:39,Uhem + COSAP,"YES, YES","BOWTIE, Strelka"
225,LL,NO,NO,BOWTIE,Strelka,MARK,s022,0:46:53,Uhem + COSAP,"NO, NO","BOWTIE, Strelka"
226,EA,NO,NO,BOWTIE,Strelka,MARK,f003,02:06:25,Uhem + COSAP,"NO, NO","BOWTIE, Strelka"
227,LL,NO,NO,BOWTIE,Strelka,MARK,a044,00:46:40,Altay + COSAP,"NO, NO","BOWTIE, Strelka"
228,NC,NO,NO,BOWTIE,Strelka,MARK,s023,1:16:19,Uhem + COSAP,"NO, NO","BOWTIE, Strelka"
