TestCase,Sample,isTrimmed,baseRecalibration,Mapper,VariantCaller,Duplicates,Node,ElapsedTime,Environment,"baseRecalibration, isTrimmed","Mapper, VariantCaller"
533,LL,YES,YES,BWA,SomaticSniper,DELETE,a065,01:30:26,Altay + COSAP,"YES, YES","BWA, SomaticSniper"
534,NC,YES,YES,BWA,SomaticSniper,DELETE,s020,2:35:13,Uhem + COSAP,"YES, YES","BWA, SomaticSniper"
537,LL,NO,NO,BWA,SomaticSniper,DELETE,s045,0:41:53,Uhem + COSAP,"NO, NO","BWA, SomaticSniper"
538,EA,NO,NO,BWA,SomaticSniper,DELETE,s065,02:03:41,Uhem + COSAP,"NO, NO","BWA, SomaticSniper"
539,LL,NO,NO,BWA,SomaticSniper,DELETE,a065,00:46:35,Altay + COSAP,"NO, NO","BWA, SomaticSniper"
540,NC,NO,NO,BWA,SomaticSniper,DELETE,s020,1:09:09,Uhem + COSAP,"NO, NO","BWA, SomaticSniper"
543,LL,YES,NO,BWA,SomaticSniper,DELETE,s045,0:45:12,Uhem + COSAP,"NO, YES","BWA, SomaticSniper"
544,EA,YES,NO,BWA,SomaticSniper,DELETE,s065,02:14:07,Uhem + COSAP,"NO, YES","BWA, SomaticSniper"
545,LL,YES,NO,BWA,SomaticSniper,DELETE,a065,00:49:52,Altay + COSAP,"NO, YES","BWA, SomaticSniper"
546,NC,YES,NO,BWA,SomaticSniper,DELETE,s020,1:12:17,Uhem + COSAP,"NO, YES","BWA, SomaticSniper"
549,LL,NO,YES,BWA,SomaticSniper,DELETE,s045,1:32:47,Uhem + COSAP,"YES, NO","BWA, SomaticSniper"
550,EA,NO,YES,BWA,SomaticSniper,DELETE,s065,04:13:09,Uhem + COSAP,"YES, NO","BWA, SomaticSniper"
551,LL,NO,YES,BWA,SomaticSniper,DELETE,a065,01:29:18,Altay + COSAP,"YES, NO","BWA, SomaticSniper"
552,NC,NO,YES,BWA,SomaticSniper,DELETE,s020,2:32:16,Uhem + COSAP,"YES, NO","BWA, SomaticSniper"
555,LL,YES,YES,BOWTIE,SomaticSniper,DELETE,s022,1:46:00,Uhem + COSAP,"YES, YES","BOWTIE, SomaticSniper"
556,EA,YES,YES,BOWTIE,SomaticSniper,DELETE,s036,05:00:35,Uhem + COSAP,"YES, YES","BOWTIE, SomaticSniper"
557,LL,YES,YES,BOWTIE,SomaticSniper,DELETE,a055,01:44:27,Altay + COSAP,"YES, YES","BOWTIE, SomaticSniper"
558,NC,YES,YES,BOWTIE,SomaticSniper,DELETE,s023,3:01:02,Uhem + COSAP,"YES, YES","BOWTIE, SomaticSniper"
561,LL,NO,NO,BOWTIE,SomaticSniper,DELETE,s022,0:54:24,Uhem + COSAP,"NO, NO","BOWTIE, SomaticSniper"
562,EA,NO,NO,BOWTIE,SomaticSniper,DELETE,s036,02:50:36,Uhem + COSAP,"NO, NO","BOWTIE, SomaticSniper"
563,LL,NO,NO,BOWTIE,SomaticSniper,DELETE,a055,00:54:13,Altay + COSAP,"NO, NO","BOWTIE, SomaticSniper"
564,NC,NO,NO,BOWTIE,SomaticSniper,DELETE,s023,1:33:52,Uhem + COSAP,"NO, NO","BOWTIE, SomaticSniper"
567,LL,YES,NO,BOWTIE,SomaticSniper,DELETE,s022,0:57:22,Uhem + COSAP,"NO, YES","BOWTIE, SomaticSniper"
568,EA,YES,NO,BOWTIE,SomaticSniper,DELETE,s036,02:50:22,Uhem + COSAP,"NO, YES","BOWTIE, SomaticSniper"
569,LL,YES,NO,BOWTIE,SomaticSniper,DELETE,a055,00:59:33,Altay + COSAP,"NO, YES","BOWTIE, SomaticSniper"
570,NC,YES,NO,BOWTIE,SomaticSniper,DELETE,s023,1:35:26,Uhem + COSAP,"NO, YES","BOWTIE, SomaticSniper"
573,LL,NO,YES,BOWTIE,SomaticSniper,DELETE,s022,1:41:31,Uhem + COSAP,"YES, NO","BOWTIE, SomaticSniper"
574,EA,NO,YES,BOWTIE,SomaticSniper,DELETE,s036,05:01:51,Uhem + COSAP,"YES, NO","BOWTIE, SomaticSniper"
575,LL,NO,YES,BOWTIE,SomaticSniper,DELETE,a055,01:35:12,Altay + COSAP,"YES, NO","BOWTIE, SomaticSniper"
576,NC,NO,YES,BOWTIE,SomaticSniper,DELETE,s023,2:58:15,Uhem + COSAP,"YES, NO","BOWTIE, SomaticSniper"
577,FD,YES,YES,BWA,Mutect,DELETE,s036,04:28:11,Uhem + COSAP,"YES, YES","BWA, Mutect"
578,FD,YES,YES,BOWTIE,Mutect,DELETE,s051,04:39:50,Uhem + COSAP,"YES, YES","BOWTIE, Mutect"
579,FD,YES,YES,BWA,Strelka,DELETE,s041,01:42:01,Uhem + COSAP,"YES, YES","BWA, Strelka"
580,FD,YES,YES,BOWTIE,Strelka,DELETE,s054,02:00:00,Uhem + COSAP,"YES, YES","BOWTIE, Strelka"
581,FD,YES,YES,BWA,SomaticSniper,DELETE,s049,01:52:26,Uhem + COSAP,"YES, YES","BWA, SomaticSniper"
582,FD,YES,YES,BOWTIE,SomaticSniper,DELETE,s055,02:13:20,Uhem + COSAP,"YES, YES","BOWTIE, SomaticSniper"
583,FD,YES,YES,BWA,Mutect,MARK,s029,04:25:05,Uhem + COSAP,"YES, YES","BWA, Mutect"
584,FD,YES,YES,BOWTIE,Mutect,MARK,s025,04:08:48,Uhem + COSAP,"YES, YES","BOWTIE, Mutect"
585,FD,YES,YES,BWA,Strelka,MARK,s026,01:29:18,Uhem + COSAP,"YES, YES","BWA, Strelka"
586,FD,YES,YES,BOWTIE,Strelka,MARK,s017,01:47:10,Uhem + COSAP,"YES, YES","BOWTIE, Strelka"
587,FD,YES,YES,BWA,SomaticSniper,MARK,s027,01:37:58,Uhem + COSAP,"YES, YES","BWA, SomaticSniper"
588,FD,YES,YES,BOWTIE,SomaticSniper,MARK,s019,01:56:03,Uhem + COSAP,"YES, YES","BOWTIE, SomaticSniper"
589,FD,YES,NO,BWA,Mutect,DELETE,s036,04:22:39,Uhem + COSAP,"NO, YES","BWA, Mutect"
590,FD,YES,NO,BOWTIE,Mutect,DELETE,s051,04:22:56,Uhem + COSAP,"NO, YES","BOWTIE, Mutect"
591,FD,YES,NO,BWA,Strelka,DELETE,s041,00:43:33,Uhem + COSAP,"NO, YES","BWA, Strelka"
592,FD,YES,NO,BOWTIE,Strelka,DELETE,s054,01:00:39,Uhem + COSAP,"NO, YES","BOWTIE, Strelka"
593,FD,YES,NO,BWA,SomaticSniper,DELETE,s049,00:54:16,Uhem + COSAP,"NO, YES","BWA, SomaticSniper"
594,FD,YES,NO,BOWTIE,SomaticSniper,DELETE,s055,01:10:11,Uhem + COSAP,"NO, YES","BOWTIE, SomaticSniper"
595,FD,YES,NO,BWA,Mutect,MARK,s029,04:16:01,Uhem + COSAP,"NO, YES","BWA, Mutect"
596,FD,YES,NO,BOWTIE,Mutect,MARK,s025,04:02:41,Uhem + COSAP,"NO, YES","BOWTIE, Mutect"
597,FD,YES,NO,BWA,Strelka,MARK,s026,00:52:02,Uhem + COSAP,"NO, YES","BWA, Strelka"
598,FD,YES,NO,BOWTIE,Strelka,MARK,s017,00:56:19,Uhem + COSAP,"NO, YES","BOWTIE, Strelka"
599,FD,YES,NO,BWA,SomaticSniper,MARK,s027,00:46:51,Uhem + COSAP,"NO, YES","BWA, SomaticSniper"
600,FD,YES,NO,BOWTIE,SomaticSniper,MARK,s019,01:03:56,Uhem + COSAP,"NO, YES","BOWTIE, SomaticSniper"
601,FD,NO,YES,BWA,Mutect,DELETE,s036,06:00:24,Uhem + COSAP,"YES, NO","BWA, Mutect"
602,FD,NO,YES,BOWTIE,Mutect,DELETE,s051,05:59:38,Uhem + COSAP,"YES, NO","BOWTIE, Mutect"
603,FD,NO,YES,BWA,Strelka,DELETE,s041,01:42:26,Uhem + COSAP,"YES, NO","BWA, Strelka"
604,FD,NO,YES,BOWTIE,Strelka,DELETE,s054,01:55:10,Uhem + COSAP,"YES, NO","BOWTIE, Strelka"
605,FD,NO,YES,BWA,SomaticSniper,DELETE,s049,01:54:24,Uhem + COSAP,"YES, NO","BWA, SomaticSniper"
606,FD,NO,YES,BOWTIE,SomaticSniper,DELETE,s055,02:08:40,Uhem + COSAP,"YES, NO","BOWTIE, SomaticSniper"
607,FD,NO,YES,BWA,Mutect,MARK,s029,05:49:50,Uhem + COSAP,"YES, NO","BWA, Mutect"
608,FD,NO,YES,BOWTIE,Mutect,MARK,s025,05:25:47,Uhem + COSAP,"YES, NO","BOWTIE, Mutect"
609,FD,NO,YES,BWA,Strelka,MARK,s026,01:30:00,Uhem + COSAP,"YES, NO","BWA, Strelka"
610,FD,NO,YES,BOWTIE,Strelka,MARK,s017,01:42:10,Uhem + COSAP,"YES, NO","BOWTIE, Strelka"
611,FD,NO,YES,BWA,SomaticSniper,MARK,s027,01:37:12,Uhem + COSAP,"YES, NO","BWA, SomaticSniper"
612,FD,NO,YES,BOWTIE,SomaticSniper,MARK,s019,01:52:05,Uhem + COSAP,"YES, NO","BOWTIE, SomaticSniper"
613,FD,NO,NO,BWA,Mutect,DELETE,s036,06:00:31,Uhem + COSAP,"NO, NO","BWA, Mutect"
614,FD,NO,NO,BOWTIE,Mutect,DELETE,s051,07:07:24,Uhem + COSAP,"NO, NO","BOWTIE, Mutect"
615,FD,NO,NO,BWA,Strelka,DELETE,s041,00:41:31,Uhem + COSAP,"NO, NO","BWA, Strelka"
616,FD,NO,NO,BOWTIE,Strelka,DELETE,s054,00:58:02,Uhem + COSAP,"NO, NO","BOWTIE, Strelka"
617,FD,NO,NO,BWA,SomaticSniper,DELETE,s049,00:51:25,Uhem + COSAP,"NO, NO","BWA, SomaticSniper"
618,FD,NO,NO,BOWTIE,SomaticSniper,DELETE,s055,01:08:43,Uhem + COSAP,"NO, NO","BOWTIE, SomaticSniper"
619,FD,NO,NO,BWA,Mutect,MARK,s029,06:01:37,Uhem + COSAP,"NO, NO","BWA, Mutect"
620,FD,NO,NO,BOWTIE,Mutect,MARK,s025,06:30:27,Uhem + COSAP,"NO, NO","BOWTIE, Mutect"
621,FD,NO,NO,BWA,Strelka,MARK,s026,00:36:41,Uhem + COSAP,"NO, NO","BWA, Strelka"
622,FD,NO,NO,BOWTIE,Strelka,MARK,s017,00:53:30,Uhem + COSAP,"NO, NO","BOWTIE, Strelka"
623,FD,NO,NO,BWA,SomaticSniper,MARK,s027,00:44:25,Uhem + COSAP,"NO, NO","BWA, SomaticSniper"
624,FD,NO,NO,BOWTIE,SomaticSniper,MARK,s019,01:02:32,Uhem + COSAP,"NO, NO","BOWTIE, SomaticSniper"
625,FD,YES,YES,BWA,Mutect,DELETE,a068,04:13:45,Altay + COSAP,"YES, YES","BWA, Mutect"
626,FD,YES,YES,BOWTIE,Mutect,DELETE,a058,03:59:38,Altay + COSAP,"YES, YES","BOWTIE, Mutect"
627,FD,YES,YES,BWA,Strelka,DELETE,a051,01:44:14,Altay + COSAP,"YES, YES","BWA, Strelka"
628,FD,YES,YES,BOWTIE,Strelka,DELETE,a036,01:53:47,Altay + COSAP,"YES, YES","BOWTIE, Strelka"
629,FD,YES,YES,BWA,SomaticSniper,DELETE,a057,01:50:21,Altay + COSAP,"YES, YES","BWA, SomaticSniper"
630,FD,YES,YES,BOWTIE,SomaticSniper,DELETE,a041,02:04:26,Altay + COSAP,"YES, YES","BOWTIE, SomaticSniper"
631,FD,YES,YES,BWA,Mutect,MARK,a077,04:01:43,Altay + COSAP,"YES, YES","BWA, Mutect"
632,FD,YES,YES,BOWTIE,Mutect,MARK,a059,03:51:23,Altay + COSAP,"YES, YES","BOWTIE, Mutect"
633,FD,YES,YES,BWA,Strelka,MARK,a065,01:35:49,Altay + COSAP,"YES, YES","BWA, Strelka"
634,FD,YES,YES,BOWTIE,Strelka,MARK,a058,01:51:22,Altay + COSAP,"YES, YES","BOWTIE, Strelka"
635,FD,YES,YES,BWA,SomaticSniper,MARK,a064,01:44:48,Altay + COSAP,"YES, YES","BWA, SomaticSniper"
636,FD,YES,YES,BOWTIE,SomaticSniper,MARK,a078,01:58:47,Altay + COSAP,"YES, YES","BOWTIE, SomaticSniper"
637,FD,YES,NO,BWA,Mutect,DELETE,a068,03:53:51,Altay + COSAP,"NO, YES","BWA, Mutect"
638,FD,YES,NO,BOWTIE,Mutect,DELETE,a058,03:42:20,Altay + COSAP,"NO, YES","BOWTIE, Mutect"
639,FD,YES,NO,BWA,Strelka,DELETE,a051,00:49:44,Altay + COSAP,"NO, YES","BWA, Strelka"
640,FD,YES,NO,BOWTIE,Strelka,DELETE,a036,01:00:35,Altay + COSAP,"NO, YES","BOWTIE, Strelka"
641,FD,YES,NO,BWA,SomaticSniper,DELETE,a057,00:55:41,Altay + COSAP,"NO, YES","BWA, SomaticSniper"
642,FD,YES,NO,BOWTIE,SomaticSniper,DELETE,a041,01:09:04,Altay + COSAP,"NO, YES","BOWTIE, SomaticSniper"
643,FD,YES,NO,BWA,Mutect,MARK,a077,04:05:41,Altay + COSAP,"NO, YES","BWA, Mutect"
644,FD,YES,NO,BOWTIE,Mutect,MARK,a059,03:37:10,Altay + COSAP,"NO, YES","BOWTIE, Mutect"
645,FD,YES,NO,BWA,Strelka,MARK,a066,00:50:18,Altay + COSAP,"NO, YES","BWA, Strelka"
646,FD,YES,NO,BOWTIE,Strelka,MARK,a058,00:59:39,Altay + COSAP,"NO, YES","BOWTIE, Strelka"
647,FD,YES,NO,BWA,SomaticSniper,MARK,a064,00:54:54,Altay + COSAP,"NO, YES","BWA, SomaticSniper"
648,FD,YES,NO,BOWTIE,SomaticSniper,MARK,a078,01:08:47,Altay + COSAP,"NO, YES","BOWTIE, SomaticSniper"
649,FD,NO,YES,BWA,Mutect,DELETE,a068,05:30:49,Altay + COSAP,"YES, NO","BWA, Mutect"
650,FD,NO,YES,BOWTIE,Mutect,DELETE,a058,05:09:53,Altay + COSAP,"YES, NO","BOWTIE, Mutect"
651,FD,NO,YES,BWA,Strelka,DELETE,a051,01:39:48,Altay + COSAP,"YES, NO","BWA, Strelka"
652,FD,NO,YES,BOWTIE,Strelka,DELETE,a036,01:46:08,Altay + COSAP,"YES, NO","BOWTIE, Strelka"
653,FD,NO,YES,BWA,SomaticSniper,DELETE,a057,01:49:27,Altay + COSAP,"YES, NO","BWA, SomaticSniper"
654,FD,NO,YES,BOWTIE,SomaticSniper,DELETE,a041,01:57:55,Altay + COSAP,"YES, NO","BOWTIE, SomaticSniper"
655,FD,NO,YES,BWA,Mutect,MARK,a077,05:10:29,Altay + COSAP,"YES, NO","BWA, Mutect"
656,FD,NO,YES,BOWTIE,Mutect,MARK,a059,04:56:28,Altay + COSAP,"YES, NO","BOWTIE, Mutect"
657,FD,NO,YES,BWA,Strelka,MARK,a066,01:31:51,Altay + COSAP,"YES, NO","BWA, Strelka"
658,FD,NO,YES,BOWTIE,Strelka,MARK,a058,01:38:51,Altay + COSAP,"YES, NO","BOWTIE, Strelka"
659,FD,NO,YES,BWA,SomaticSniper,MARK,a064,01:40:12,Altay + COSAP,"YES, NO","BWA, SomaticSniper"
660,FD,NO,YES,BOWTIE,SomaticSniper,MARK,a078,01:50:28,Altay + COSAP,"YES, NO","BOWTIE, SomaticSniper"
661,FD,NO,NO,BWA,Mutect,DELETE,a068,05:28:18,Altay + COSAP,"NO, NO","BWA, Mutect"
662,FD,NO,NO,BOWTIE,Mutect,DELETE,a058,05:54:00,Altay + COSAP,"NO, NO","BOWTIE, Mutect"
663,FD,NO,NO,BWA,Strelka,DELETE,a051,00:43:38,Altay + COSAP,"NO, NO","BWA, Strelka"
664,FD,NO,NO,BOWTIE,Strelka,DELETE,a036,00:52:40,Altay + COSAP,"NO, NO","BOWTIE, Strelka"
665,FD,NO,NO,BWA,SomaticSniper,DELETE,a057,00:52:26,Altay + COSAP,"NO, NO","BWA, SomaticSniper"
666,FD,NO,NO,BOWTIE,SomaticSniper,DELETE,a041,01:02:29,Altay + COSAP,"NO, NO","BOWTIE, SomaticSniper"
667,FD,NO,NO,BWA,Mutect,MARK,a077,05:35:14,Altay + COSAP,"NO, NO","BWA, Mutect"
668,FD,NO,NO,BOWTIE,Mutect,MARK,a059,05:51:49,Altay + COSAP,"NO, NO","BOWTIE, Mutect"
669,FD,NO,NO,BWA,Strelka,MARK,a066,00:43:14,Altay + COSAP,"NO, NO","BWA, Strelka"
670,FD,NO,NO,BOWTIE,Strelka,MARK,a058,00:52:28,Altay + COSAP,"NO, NO","BOWTIE, Strelka"
671,FD,NO,NO,BWA,SomaticSniper,MARK,a064,00:51:14,Altay + COSAP,"NO, NO","BWA, SomaticSniper"
672,FD,NO,NO,BOWTIE,SomaticSniper,MARK,a078,01:00:45,Altay + COSAP,"NO, NO","BOWTIE, SomaticSniper"
721,NC,YES,YES,BWA,Mutect,DELETE,a086,07:11:00,Altay + COSAP,"YES, YES","BWA, Mutect"
722,NC,YES,YES,BOWTIE,Mutect,DELETE,a060,06:51:03,Altay + COSAP,"YES, YES","BOWTIE, Mutect"
723,NC,YES,YES,BWA,Strelka,DELETE,a087,02:32:33,Altay + COSAP,"YES, YES","BWA, Strelka"
724,NC,YES,YES,BOWTIE,Strelka,DELETE,a053,02:44:57,Altay + COSAP,"YES, YES","BOWTIE, Strelka"
725,NC,YES,YES,BWA,SomaticSniper,DELETE,a059,02:45:43,Altay + COSAP,"YES, YES","BWA, SomaticSniper"
726,NC,YES,YES,BOWTIE,SomaticSniper,DELETE,a054,03:03:32,Altay + COSAP,"YES, YES","BOWTIE, SomaticSniper"
727,NC,YES,YES,BWA,Mutect,MARK,a068,07:17:00,Altay + COSAP,"YES, YES","BWA, Mutect"
728,NC,YES,YES,BOWTIE,Mutect,MARK,a061,06:39:42,Altay + COSAP,"YES, YES","BOWTIE, Mutect"
729,NC,YES,YES,BWA,Strelka,MARK,a075,2:29:03,Altay + COSAP,"YES, YES","BWA, Strelka"
730,NC,YES,YES,BOWTIE,Strelka,MARK,a063,02:51:06,Altay + COSAP,"YES, YES","BOWTIE, Strelka"
731,NC,YES,YES,BWA,SomaticSniper,MARK,a071,02:46:53,Altay + COSAP,"YES, YES","BWA, SomaticSniper"
732,NC,YES,YES,BOWTIE,SomaticSniper,MARK,a060,03:06:45,Altay + COSAP,"YES, YES","BOWTIE, SomaticSniper"
733,NC,YES,NO,BWA,Mutect,DELETE,a086,06:09:46,Altay + COSAP,"NO, YES","BWA, Mutect"
734,NC,YES,NO,BOWTIE,Mutect,DELETE,a060,05:45:18,Altay + COSAP,"NO, YES","BOWTIE, Mutect"
735,NC,YES,NO,BWA,Strelka,DELETE,a087,01:19:43,Altay + COSAP,"NO, YES","BWA, Strelka"
736,NC,YES,NO,BOWTIE,Strelka,DELETE,a053,01:25:48,Altay + COSAP,"NO, YES","BOWTIE, Strelka"
737,NC,YES,NO,BWA,SomaticSniper,DELETE,a059,01:26:04,Altay + COSAP,"NO, YES","BWA, SomaticSniper"
738,NC,YES,NO,BOWTIE,SomaticSniper,DELETE,a054,01:42:53,Altay + COSAP,"NO, YES","BOWTIE, SomaticSniper"
739,NC,YES,NO,BWA,Mutect,MARK,a068,06:09:31,Altay + COSAP,"NO, YES","BWA, Mutect"
740,NC,YES,NO,BOWTIE,Mutect,MARK,a061,05:40:05,Altay + COSAP,"NO, YES","BOWTIE, Mutect"
741,NC,YES,NO,BWA,Strelka,MARK,a075,01:11:56,Altay + COSAP,"NO, YES","BWA, Strelka"
742,NC,YES,NO,BOWTIE,Strelka,MARK,a063,01:27:17,Altay + COSAP,"NO, YES","BOWTIE, Strelka"
743,NC,YES,NO,BWA,SomaticSniper,MARK,a071,01:24:38,Altay + COSAP,"NO, YES","BWA, SomaticSniper"
744,NC,YES,NO,BOWTIE,SomaticSniper,MARK,a060,01:42:03,Altay + COSAP,"NO, YES","BOWTIE, SomaticSniper"
745,NC,NO,YES,BWA,Mutect,DELETE,a086,08:39:23,Altay + COSAP,"YES, NO","BWA, Mutect"
746,NC,NO,YES,BOWTIE,Mutect,DELETE,a060,09:10:56,Altay + COSAP,"YES, NO","BOWTIE, Mutect"
747,NC,NO,YES,BWA,Strelka,DELETE,a087,02:20:41,Altay + COSAP,"YES, NO","BWA, Strelka"
748,NC,NO,YES,BOWTIE,Strelka,DELETE,a053,02:41:08,Altay + COSAP,"YES, NO","BOWTIE, Strelka"
749,NC,NO,YES,BWA,SomaticSniper,DELETE,a059,02:39:37,Altay + COSAP,"YES, NO","BWA, SomaticSniper"
750,NC,NO,YES,BOWTIE,SomaticSniper,DELETE,a054,02:58:37,Altay + COSAP,"YES, NO","BOWTIE, SomaticSniper"
751,NC,NO,YES,BWA,Mutect,MARK,a068,08:36:11,Altay + COSAP,"YES, NO","BWA, Mutect"
752,NC,NO,YES,BOWTIE,Mutect,MARK,a061,09:13:28,Altay + COSAP,"YES, NO","BOWTIE, Mutect"
753,NC,NO,YES,BWA,Strelka,MARK,a075,02:22:46,Altay + COSAP,"YES, NO","BWA, Strelka"
754,NC,NO,YES,BOWTIE,Strelka,MARK,a063,02:38:08,Altay + COSAP,"YES, NO","BOWTIE, Strelka"
755,NC,NO,YES,BWA,SomaticSniper,MARK,a071,02:40:21,Altay + COSAP,"YES, NO","BWA, SomaticSniper"
756,NC,NO,YES,BOWTIE,SomaticSniper,MARK,a060,03:00:33,Altay + COSAP,"YES, NO","BOWTIE, SomaticSniper"
757,NC,NO,NO,BWA,Mutect,DELETE,a086,07:54:05,Altay + COSAP,"NO, NO","BWA, Mutect"
758,NC,NO,NO,BOWTIE,Mutect,DELETE,a060,10:09:45,Altay + COSAP,"NO, NO","BOWTIE, Mutect"
759,NC,NO,NO,BWA,Strelka,DELETE,a087,00:59:28,Altay + COSAP,"NO, NO","BWA, Strelka"
760,NC,NO,NO,BOWTIE,Strelka,DELETE,a053,01:17:29,Altay + COSAP,"NO, NO","BOWTIE, Strelka"
761,NC,NO,NO,BWA,SomaticSniper,DELETE,a059,01:15:04,Altay + COSAP,"NO, NO","BWA, SomaticSniper"
762,NC,NO,NO,BOWTIE,SomaticSniper,DELETE,a054,01:32:44,Altay + COSAP,"NO, NO","BOWTIE, SomaticSniper"
763,NC,NO,NO,BWA,Mutect,MARK,a068,07:56:19,Altay + COSAP,"NO, NO","BWA, Mutect"
764,NC,NO,NO,BOWTIE,Mutect,MARK,a061,10:25:30,Altay + COSAP,"NO, NO","BOWTIE, Mutect"
765,NC,NO,NO,BWA,Strelka,MARK,a075,00:59:51,Altay + COSAP,"NO, NO","BWA, Strelka"
766,NC,NO,NO,BOWTIE,Strelka,MARK,a063,01:20:07,Altay + COSAP,"NO, NO","BOWTIE, Strelka"
767,NC,NO,NO,BWA,SomaticSniper,MARK,a071,01:16:12,Altay + COSAP,"NO, NO","BWA, SomaticSniper"
768,NC,NO,NO,BOWTIE,SomaticSniper,MARK,a060,01:32:35,Altay + COSAP,"NO, NO","BOWTIE, SomaticSniper"
769,IL,YES,YES,BWA,Mutect,MARK,s030,9:01:44,Uhem + COSAP,"YES, YES","BWA, Mutect"
770,IL,NO,NO,BWA,Mutect,MARK,s030,10:59:36,Uhem + COSAP,"NO, NO","BWA, Mutect"
771,IL,YES,NO,BWA,Mutect,MARK,s030,9:19:48,Uhem + COSAP,"NO, YES","BWA, Mutect"
772,IL,NO,YES,BWA,Mutect,MARK,s030,10:59:37,Uhem + COSAP,"YES, NO","BWA, Mutect"
773,IL,YES,YES,BOWTIE,Mutect,MARK,s031,8:58:46,Uhem + COSAP,"YES, YES","BOWTIE, Mutect"
774,IL,NO,NO,BOWTIE,Mutect,MARK,s031,12:43:08,Uhem + COSAP,"NO, NO","BOWTIE, Mutect"
775,IL,YES,NO,BOWTIE,Mutect,MARK,s031,8:28:59,Uhem + COSAP,"NO, YES","BOWTIE, Mutect"
776,IL,NO,YES,BOWTIE,Mutect,MARK,s031,11:16:33,Uhem + COSAP,"YES, NO","BOWTIE, Mutect"
777,IL,YES,YES,BWA,Strelka,MARK,s003,3:37:58,Uhem + COSAP,"YES, YES","BWA, Strelka"
778,IL,NO,NO,BWA,Strelka,MARK,s003,1:49:17,Uhem + COSAP,"NO, NO","BWA, Strelka"
779,IL,YES,NO,BWA,Strelka,MARK,s003,2:09:07,Uhem + COSAP,"NO, YES","BWA, Strelka"
780,IL,NO,YES,BWA,Strelka,MARK,s003,3:28:17,Uhem + COSAP,"YES, NO","BWA, Strelka"
781,IL,YES,YES,BOWTIE,Strelka,MARK,s009,4:34:27,Uhem + COSAP,"YES, YES","BOWTIE, Strelka"
782,IL,NO,NO,BOWTIE,Strelka,MARK,s009,2:38:48,Uhem + COSAP,"NO, NO","BOWTIE, Strelka"
783,IL,YES,NO,BOWTIE,Strelka,MARK,s009,2:52:57,Uhem + COSAP,"NO, YES","BOWTIE, Strelka"
784,IL,NO,YES,BOWTIE,Strelka,MARK,s009,4:22:49,Uhem + COSAP,"YES, NO","BOWTIE, Strelka"
785,IL,YES,YES,BWA,SomaticSniper,MARK,s029,4:05:06,Uhem + COSAP,"YES, YES","BWA, SomaticSniper"
786,IL,NO,NO,BWA,SomaticSniper,MARK,s029,2:05:52,Uhem + COSAP,"NO, NO","BWA, SomaticSniper"
787,IL,YES,NO,BWA,SomaticSniper,MARK,s029,2:20:43,Uhem + COSAP,"NO, YES","BWA, SomaticSniper"
788,IL,NO,YES,BWA,SomaticSniper,MARK,s029,3:53:20,Uhem + COSAP,"YES, NO","BWA, SomaticSniper"
789,IL,YES,YES,BOWTIE,SomaticSniper,MARK,s033,4:58:44,Uhem + COSAP,"YES, YES","BOWTIE, SomaticSniper"
790,IL,NO,NO,BOWTIE,SomaticSniper,MARK,s033,2:59:47,Uhem + COSAP,"NO, NO","BOWTIE, SomaticSniper"
791,IL,YES,NO,BOWTIE,SomaticSniper,MARK,s033,3:13:43,Uhem + COSAP,"NO, YES","BOWTIE, SomaticSniper"
792,IL,NO,YES,BOWTIE,SomaticSniper,MARK,s033,4:48:21,Uhem + COSAP,"YES, NO","BOWTIE, SomaticSniper"
793,IL,YES,YES,BWA,Mutect,DELETE,s035,9:33:31,Uhem + COSAP,"YES, YES","BWA, Mutect"
794,IL,NO,NO,BWA,Mutect,DELETE,s006,9:15:02,Uhem + COSAP,"NO, NO","BWA, Mutect"
795,IL,YES,NO,BWA,Mutect,DELETE,s019,8:39:15,Uhem + COSAP,"NO, YES","BWA, Mutect"
796,IL,NO,YES,BWA,Mutect,DELETE,s006,9:47:24,Uhem + COSAP,"YES, NO","BWA, Mutect"
797,IL,YES,YES,BOWTIE,Mutect,DELETE,s011,9:46:54,Uhem + COSAP,"YES, YES","BOWTIE, Mutect"
798,IL,NO,NO,BOWTIE,Mutect,DELETE,s011,13:03:41,Uhem + COSAP,"NO, NO","BOWTIE, Mutect"
799,IL,YES,NO,BOWTIE,Mutect,DELETE,s011,8:48:24,Uhem + COSAP,"NO, YES","BOWTIE, Mutect"
800,IL,NO,YES,BOWTIE,Mutect,DELETE,s011,11:56:32,Uhem + COSAP,"YES, NO","BOWTIE, Mutect"
801,IL,YES,YES,BWA,Strelka,DELETE,s039,4:15:49,Uhem + COSAP,"YES, YES","BWA, Strelka"
802,IL,NO,NO,BWA,Strelka,DELETE,s039,1:56:29,Uhem + COSAP,"NO, NO","BWA, Strelka"
803,IL,YES,NO,BWA,Strelka,DELETE,s026,2:09:22,Uhem + COSAP,"NO, YES","BWA, Strelka"
804,IL,NO,YES,BWA,Strelka,DELETE,s039,4:06:24,Uhem + COSAP,"YES, NO","BWA, Strelka"
805,IL,YES,YES,BOWTIE,Strelka,DELETE,s013,5:12:46,Uhem + COSAP,"YES, YES","BOWTIE, Strelka"
806,IL,NO,NO,BOWTIE,Strelka,DELETE,s013,2:51:42,Uhem + COSAP,"NO, NO","BOWTIE, Strelka"
