TestCaseNo,phase,Sample,operatingSystem,Environment,isTrimmed,baseRecalibration,Mapper,M_Version,VariantCaller,VC_Version,ReferenceGenom,Duplicates,VariantFilter,FilterPass,SOMATICfilter,remove_indels,TMB,FileLink,Result VCF Count,Author,Slurm_id,Node,ElapsedTime
TestCase 128,done,EA,Linux,Altay + COSAP,NO,NO,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,9.385551935830758,https://drive.google.com/drive/folders/1SeTlOlnA95OXDjw4WA1PtS_71COGCvtr?usp=share_link,758,GUL EDA,29809.0,a071,02:38:59
TestCase 134,done,EA,Linux,Altay + COSAP,YES,NO,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,17.347174488257114,https://drive.google.com/drive/folders/1VqP-8TL2NhqQlXkViIQjY4Z4P6S8lEsz?usp=share_link,1401,GUL EDA,29809.0,a071,02:50:38
TestCase 140,done,EA,Linux,Altay + COSAP,NO,YES,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,7.9120945738731585,https://drive.google.com/drive/folders/1RVIun0kXIERjrnmIAsjzXF-wjVALlegh?usp=share_link,639,GUL EDA,29809.0,a071,04:30:22
TestCase 147,done,LL,,Uhem + COSAP,YES,YES,BWA,,Mutect,,hg38,MARK,,,,,11.837186874213991,https://drive.google.com/drive/folders/1vWoVy9aCVv2StqjdOKg8RfQSc8RQkqSm?usp=sharing,956,GÜL EDA,658693.0,s008,2:59:11
TestCase 148,done,EA,,Uhem + COSAP,YES,YES,BWA,,Mutect,,hg38,MARK,,,,,15.613695238895232,https://drive.google.com/drive/folders/1ygSTlgnLpgcp5YsE1GUyjLxVhq4J0Zyy?usp=share_link,1261,GUL EDA,664682.0,s004,07:47:19
TestCase 149,done,LL,,Altay + COSAP,YES,YES,BWA,,Mutect,,hg38,MARK,,,,,11.837186874213991,https://drive.google.com/drive/folders/1FKQVwBYlBmgi5NJFrgG7yilm_6l2_Q48?usp=share_link,956,GÜL EDA,29303.0,a062,02:54:31
TestCase 150,done,NC,,Uhem + COSAP,YES,YES,BWA,,Mutect,,hg38,MARK,,,,,14.078327903746136,https://drive.google.com/drive/folders/1A2b7Tkg-uO8gqx9VG-9tDB67WwczurN3?usp=sharing,1137,GÜL EDA,658815.0,s020,7:15:03
TestCase 153,done,LL,,Uhem + COSAP,NO,NO,BWA,,Mutect,,hg38,MARK,,,,,13.669722080682266,https://drive.google.com/drive/folders/1MyPazmdRCvDAZCz2NgEM5nPAschmaR0q?usp=sharing,1104,GÜL EDA,658693.0,s008,3:09:49
TestCase 154,done,EA,,Uhem + COSAP,NO,NO,BWA,,Mutect,,hg38,MARK,,,,,15.79942515846972,https://drive.google.com/drive/folders/1vtLTLJQeH17TMHVhL017rJQToyA2F03g?usp=share_link,1276,GUL EDA,664682.0,s004,07:05:44
TestCase 155,done,LL,,Altay + COSAP,NO,NO,BWA,,Mutect,,hg38,MARK,,,,,13.669722080682266,https://drive.google.com/drive/folders/1RwdnB0iHh2EBxOTPr2K59iYPgh2gOkEB?usp=share_link,1104,GÜL EDA,29303.0,a062,03:16:30
