TestCaseNo,phase,Sample,operatingSystem,Environment,isTrimmed,baseRecalibration,Mapper,M_Version,VariantCaller,VC_Version,ReferenceGenom,Duplicates,VariantFilter,FilterPass,SOMATICfilter,remove_indels,TMB,FileLink,Result VCF Count,Author,Slurm_id,Node,ElapsedTime
TestCase 250,done,EA,,Uhem + COSAP,NO,NO,BWA,,SomaticSniper,,hg38,MARK,,,,,19.105417726895595,https://drive.google.com/drive/folders/1P6Jp6FAN3FXzZziIXWhJ6BCO9CjAQhTx?usp=share_link,1543,GUL EDA,664684.0,s030,02:48:39
TestCase 251,done,LL,,Altay + COSAP,NO,NO,BWA,,SomaticSniper,,hg38,MARK,,,,,32.46558994162038,https://drive.google.com/drive/folders/1Bd97WOTWKxw2n88rbYlnYXPdI5A6kZxA?usp=share_link,2622,GÜL EDA,29306.0,a059,00:46:40
TestCase 252,done,NC,,Uhem + COSAP,NO,NO,BWA,,SomaticSniper,,hg38,MARK,,,,,18.77110387166152,https://drive.google.com/drive/folders/1IqQTXVh_uSmcT5vjg-lMHMMIB1lk1ws-?usp=sharing,1516,GÜL EDA,658817.0,s021,1:09:56
TestCase 255,done,LL,,Uhem + COSAP,YES,NO,BWA,,SomaticSniper,,hg38,MARK,,,,,33.728553394726895,https://drive.google.com/drive/folders/1Xs66tf9lUSNaQ_CPsne33ff0Ydct2EwF?usp=sharing,2724,GÜL EDA,658694.0,s011,0:42:50
TestCase 256,done,EA,,Uhem + COSAP,YES,NO,BWA,,SomaticSniper,,hg38,MARK,,,,,19.811191421278647,https://drive.google.com/drive/folders/10cilAatwCjKKP7mN2ikHPdZv6_Q89xiG?usp=share_link,1600,GUL EDA,664684.0,s030,02:50:05
TestCase 257,done,LL,,Altay + COSAP,YES,NO,BWA,,SomaticSniper,,hg38,MARK,,,,,33.728553394726895,https://drive.google.com/drive/folders/1Ph7S_ByMFDvEQAYXp5mQFinqHGTUgaf1?usp=share_link,2724,GÜL EDA,29306.0,a059,00:47:30
TestCase 258,done,NC,,Uhem + COSAP,YES,NO,BWA,,SomaticSniper,,hg38,MARK,,,,,19.34067562502328,https://drive.google.com/drive/folders/13WGAIpTE6T1nZ9A6x8kvWrjGMhxiGxYa?usp=sharing,1562,GÜL EDA,658817.0,s021,1:13:23
TestCase 261,done,LL,,Uhem + COSAP,NO,YES,BWA,,SomaticSniper,,hg38,MARK,,,,,26.794636397279373,https://drive.google.com/drive/folders/1OUiVYTlXfeC1MYaxIi9JAENpv3UHHPbY?usp=sharing,2164,GÜL EDA,658694.0,s011,1:29:53
TestCase 262,done,EA,,Uhem + COSAP,NO,YES,BWA,,SomaticSniper,,hg38,MARK,,,,,18.238678102214653,https://drive.google.com/drive/folders/1Ib-PzwXgPp7YOk_13LsJwcKM_DMElICo?usp=share_link,1473,GUL EDA,664684.0,s030,04:16:05
TestCase 263,done,LL,,Altay + COSAP,NO,YES,BWA,,SomaticSniper,,hg38,MARK,,,,,26.794636397279373,https://drive.google.com/drive/folders/1F9DcbPk7ndGDhqIjX0rpVssNfUkpC7vx?usp=share_link,2164,GÜL EDA,29306.0,a059,01:29:06
TestCase 264,done,NC,,Uhem + COSAP,NO,YES,BWA,,SomaticSniper,,hg38,MARK,,,,,18.028184193363572,https://drive.google.com/drive/folders/18ZSxUHgjO-AU8f8o_UUNLbXUK1SBQMxn?usp=sharing,1456,GÜL EDA,658817.0,s021,2:34:13
TestCase 267,done,LL,,Uhem + COSAP,YES,YES,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,21.693254606300115,https://drive.google.com/drive/folders/11uRd6KL-t3GSx-w6QZdYjN--ncDHh1eK?usp=sharing,1752,GÜL EDA,658697.0,s032,1:45:03
TestCase 268,done,EA,,Uhem + COSAP,YES,YES,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,14.994595506980277,https://drive.google.com/drive/folders/1DwsCycjTuq7KMLygsLkkhl31Zjf2beqO?usp=share_link,1211,GUL EDA,664681.0,s002,04:21:53
TestCase 269,done,LL,,Altay + COSAP,YES,YES,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,21.693254606300115,https://drive.google.com/drive/folders/1Wy_QlskofvmdYnv7y2JVM4kWKUlt95JN?usp=share_link,1752,GÜL EDA,29305.0,a058,01:42:08
TestCase 270,done,NC,,Uhem + COSAP,YES,YES,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,15.427965319320743,https://drive.google.com/drive/folders/1zBMstGYEMI-sXF2xLMSoJ8nR_9wYiJVa?usp=sharing,1246,GÜL EDA,658819.0,s027,3:01:27
TestCase 273,done,LL,,Uhem + COSAP,NO,NO,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,10.475167464001085,https://drive.google.com/drive/folders/1jm3R_ofH8LwGX4wWgizt8E8JFVJxt5rD?usp=sharing,846,GÜL EDA,658697.0,s032,0:53:28
TestCase 274,done,EA,,Uhem + COSAP,NO,NO,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,9.385551935830758,https://drive.google.com/drive/folders/1_hCaKBdqxF2VUmL14ToEg997peXG0Mqs?usp=share_link,758,GUL EDA,664681.0,s002,02:32:17
TestCase 275,done,LL,,Altay + COSAP,NO,NO,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,10.475167464001085,https://drive.google.com/drive/folders/1R8mFa-v0waeQWPXIdd7kTvmpDIFb8Gfe?usp=share_link,846,GÜL EDA,29305.0,a058,00:53:47
TestCase 276,done,NC,,Uhem + COSAP,NO,NO,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,9.744629780341434,https://drive.google.com/drive/folders/1Nho3wHwcmAUKTQHjKrBVNHAWGpNp2_Yv?usp=sharing,787,GÜL EDA,658819.0,s027,1:32:46
TestCase 279,done,LL,,Uhem + COSAP,YES,NO,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,29.791079099747762,https://drive.google.com/drive/folders/1HbstKHqD_9-g2vBECxWejVUkOtFvA8ye?usp=sharing,2406,GÜL EDA,658697.0,s032,0:55:54
TestCase 280,done,EA,,Uhem + COSAP,YES,NO,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,17.347174488257114,https://drive.google.com/drive/folders/1vg99UX1OIxo1h9eXhZIxApkOc4XyFpOF?usp=share_link,1401,GUL EDA,664681.0,s002,02:37:56
TestCase 281,done,LL,,Altay + COSAP,YES,NO,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,29.791079099747762,https://drive.google.com/drive/folders/1JsC13506tgJ7KjYqb2p6C6912PDANVVD?usp=share_link,2406,GÜL EDA,29305.0,a058,00:59:35
TestCase 282,done,NC,,Uhem + COSAP,YES,NO,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,16.950950659831538,https://drive.google.com/drive/folders/17OxxiAu3o_n8_AJ2LhWWJiuf7sIy_CBW?usp=sharing,1369,GÜL EDA,658819.0,s027,1:35:48
TestCase 285,done,LL,,Uhem + COSAP,NO,YES,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,6.810097051064534,https://drive.google.com/drive/folders/15Ppg2mlcQ9HoNLGht--TMbc-FakVYsdv?usp=sharing,550,GÜL EDA,658697.0,s032,1:40:09
TestCase 286,done,EA,,Uhem + COSAP,NO,YES,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,7.9120945738731585,https://drive.google.com/drive/folders/1Z74DQhkBSknjsO9f3uieDiakwaokgqSp?usp=share_link,639,GUL EDA,664681.0,s002,04:18:51
TestCase 287,done,LL,,Altay + COSAP,NO,YES,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,6.810097051064534,https://drive.google.com/drive/folders/1LnHxIO5zh2K-PMFjrhnYhrTm53pconh0?usp=share_link,550,GÜL EDA,29305.0,a058,01:36:35
TestCase 288,done,NC,,Uhem + COSAP,NO,YES,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,8.63025026289451,https://drive.google.com/drive/folders/1nFChvbysbN3zdlkFTz2EvRjybx2-coXy?usp=sharing,697,GÜL EDA,658819.0,s027,3:00:33
TestCase 290,done,EA,Linux,Altay + COSAP,YES,YES,BWA,,Mutect,,hg38,DELETE,,,,,15.613695238895232,https://drive.google.com/drive/folders/1UQs3QLOZr0zMkBip2iabnrGF3Fft5uCp?usp=share_link,1261,GUL EDA,30428.0,a079,06:07:30
TestCase 296,done,EA,Linux,Altay + COSAP,NO,NO,BWA,,Mutect,,hg38,DELETE,,,,,15.79942515846972,https://drive.google.com/drive/folders/1isvrWsadzsBiMmBuQxSQjLG8UR5lXBws?usp=share_link,1276,GUL EDA,30428.0,a079,06:31:30
TestCase 302,done,EA,Linux,Altay + COSAP,YES,NO,BWA,,Mutect,,hg38,DELETE,,,,,16.009919067320805,https://drive.google.com/drive/folders/1v1z1dpyui-Hqt7uGC-yYFULAkzoUpJZI?usp=share_link,1293,GUL EDA,30428.0,a079,05:47:03
TestCase 308,done,EA,Linux,Altay + COSAP,NO,YES,BWA,,Mutect,,hg38,DELETE,,,,,15.316527367576054,https://drive.google.com/drive/folders/1m-B8ISpfzdTGMDtFWaV6sbAwqcWu4EIb?usp=share_link,1237,GUL EDA,30428.0,a079,08:12:58
TestCase 314,done,EA,Linux,Altay + COSAP,YES,YES,BOWTIE,,Mutect,,hg38,DELETE,,,,,13.397318198639686,https://drive.google.com/drive/folders/1_ARO8B8cyyJu6OveY-n2ipwhgzRXDTuE?usp=share_link,1082,GUL EDA,30431.0,a061,07:55:59
TestCase 320,done,EA,Linux,Altay + COSAP,NO,NO,BOWTIE,,Mutect,,hg38,DELETE,,,,,13.545902134299276,https://drive.google.com/drive/folders/1wd8bTl9SZvP0LclVvbFNAlppW3LQ_AZ2?usp=share_link,1094,GUL EDA,30431.0,a061,10:10:03
TestCase 326,done,EA,Linux,Altay + COSAP,YES,NO,BOWTIE,,Mutect,,hg38,DELETE,,,,,13.830688010980156,https://drive.google.com/drive/folders/1fwNg1uoaiMnlFGr8h7qALF1g5teItSJO?usp=share_link,1117,GUL EDA,30431.0,a061,06:10:35
TestCase 332,done,EA,Linux,Altay + COSAP,NO,YES,BOWTIE,,Mutect,,hg38,DELETE,,,,,13.310644236171589,https://drive.google.com/drive/folders/1iAXkQZjagu03OuZj2A8iGoF-g9wnMwWV?usp=share_link,1075,GUL EDA,30431.0,a061,10:55:33
TestCase 338,done,EA,Linux,Altay + COSAP,YES,YES,BWA,,Strelka,,hg38,DELETE,,,,,23.71151973234288,https://drive.google.com/drive/folders/144AkcBrJ0WNL2gEqFbCTnT6paoIS_WjF?usp=share_link,1915,GUL EDA,31577.0,a046,03:58:20
TestCase 344,done,EA,Linux,Altay + COSAP,NO,NO,BWA,,Strelka,,hg38,DELETE,,,,,27.797577962981602,https://drive.google.com/drive/folders/1XUUalQ1imlPWtYiOhxp1xUNSvg9DtBzh?usp=share_link,2245,GUL EDA,30429.0,a048,01:49:01
TestCase 350,done,EA,Linux,Altay + COSAP,YES,NO,BWA,,Strelka,,hg38,DELETE,,,,,29.011013437534924,https://drive.google.com/drive/folders/1N6F7_XmZ9pJLwy8NCx0k1scLxbjyhJf8?usp=share_link,2343,GUL EDA,30429.0,a048,02:03:24
TestCase 356,done,EA,Linux,Altay + COSAP,NO,YES,BWA,,Strelka,,hg38,DELETE,,,,,22.39902830068317,https://drive.google.com/drive/folders/1KbY7KdipQZI4M0eq1ecKanY9jXfdsFUB?usp=share_link,1809,GUL EDA,30429.0,a048,03:34:30
TestCase 362,done,EA,Linux,Altay + COSAP,YES,YES,BOWTIE,,Strelka,,hg38,DELETE,,,,,14.771719603490892,https://drive.google.com/drive/folders/1h4ZQPf5xJI0Sj8rv3WA-YHOniw8gobdD?usp=share_link,1193,GUL EDA,30432.0,a062,04:30:56
TestCase 368,done,EA,Linux,Altay + COSAP,NO,NO,BOWTIE,,Strelka,,hg38,DELETE,,,,,14.004035935916344,https://drive.google.com/drive/folders/12hPkcC6UAQ8KBo2Wat9lZi3u4NAothwZ?usp=share_link,1131,GUL EDA,30432.0,a062,02:15:48
TestCase 374,done,EA,Linux,Altay + COSAP,YES,NO,BOWTIE,,Strelka,,hg38,DELETE,,,,,15.229853405107956,https://drive.google.com/drive/folders/1r3Y_6xUFFkisO6s-c4bQABd8fKpelK-P?usp=share_link,1230,GUL EDA,30432.0,a062,02:37:28
TestCase 380,done,EA,Linux,Altay + COSAP,NO,YES,BOWTIE,,Strelka,,hg38,DELETE,,,,,13.372554209363086,https://drive.google.com/drive/folders/1BiwLDYzzI8C8XHx2arfqpvw1L0x98TiL?usp=share_link,1080,GUL EDA,30432.0,a062,04:15:32
TestCase 386,done,EA,Linux,Altay + COSAP,YES,YES,BWA,,SomaticSniper,,hg38,DELETE,,,,,19.192091689363686,https://drive.google.com/drive/folders/1sdkahl2DEdeZOE3_Y15ywZZDDJWuk5JA?usp=share_link,1550,GUL EDA,30430.0,a049,04:19:05
TestCase 392,done,EA,Linux,Altay + COSAP,NO,NO,BWA,,SomaticSniper,,hg38,DELETE,,,,,19.105417726895595,https://drive.google.com/drive/folders/1CpZX7aYlUbuF85U3p_bvIeLYBtDw7aQu?usp=share_link,1543,GUL EDA,30430.0,a049,02:10:21
TestCase 398,done,EA,Linux,Altay + COSAP,YES,NO,BWA,,SomaticSniper,,hg38,DELETE,,,,,19.811191421278647,https://drive.google.com/drive/folders/1IeAqlL6nqdjS5GMO2MSnMYQ_cATXROju?usp=share_link,1600,GUL EDA,30430.0,a049,02:29:23
TestCase 404,done,EA,Linux,Altay + COSAP,NO,YES,BWA,,SomaticSniper,,hg38,DELETE,,,,,18.238678102214653,https://drive.google.com/drive/folders/15xyZh-NHe0bQR_xeXXuBXxzc_bXDVgXY?usp=share_link,1473,GUL EDA,30430.0,a049,04:06:32
TestCase 410,done,EA,Linux,Altay + COSAP,YES,YES,BOWTIE,,SomaticSniper,,hg38,DELETE,,,,,14.994595506980277,https://drive.google.com/drive/folders/1E6ALLZeZlHHS5os7vi4XyNUFFcnH0wAu?usp=share_link,1211,GUL EDA,30433.0,a064,04:57:47
TestCase 416,done,EA,Linux,Altay + COSAP,NO,NO,BOWTIE,,SomaticSniper,,hg38,DELETE,,,,,9.385551935830758,https://drive.google.com/drive/folders/1fL_yso2WUgkqHC6IhBcCmjeUocM0TCPS?usp=share_link,758,GUL EDA,30433.0,a064,02:46:02
TestCase 422,done,EA,Linux,Altay + COSAP,YES,NO,BOWTIE,,SomaticSniper,,hg38,DELETE,,,,,17.347174488257114,https://drive.google.com/drive/folders/17PruuaGPE_DxGdPgGtohemvnN1WoEHr2?usp=share_link,1401,GUL EDA,30433.0,a064,02:57:27
TestCase 428,done,EA,Linux,Altay + COSAP,NO,YES,BOWTIE,,SomaticSniper,,hg38,DELETE,,,,,7.9120945738731585,https://drive.google.com/drive/folders/1hzg6YcjT3AJ0COyIIkdHY2buWeQ8bEdu?usp=share_link,639,GUL EDA,30433.0,a064,04:49:56
TestCase 435,done,LL,,Uhem + COSAP,YES,YES,BWA,,Mutect,,hg38,DELETE,,,,,11.837186874213991,https://drive.google.com/drive/folders/1nBnrEG0vkv4A5IgkUWdftstaSswYPD7h?usp=sharing,956,GÜL EDA,658495.0,s046,2:51:10
TestCase 436,done,EA,,Uhem + COSAP,YES,YES,BWA,,Mutect,,hg38,DELETE,,,,,15.613695238895232,https://drive.google.com/drive/folders/1bLD58iBnzMpe14_wZ8Gbt7FY-TI4lpd5?usp=share_link,1261,GUL EDA,665287.0,s063,08:50:36
TestCase 437,done,LL,,Altay + COSAP,YES,YES,BWA,,Mutect,,hg38,DELETE,,,,,11.837186874213991,https://drive.google.com/drive/folders/1TjUNWLp0yUXgTKnVM56ba8JRpf6Y1RUK?usp=share_link,956,GÜL EDA,31617.0,a081,02:56:15
TestCase 438,done,NC,,Uhem + COSAP,YES,YES,BWA,,Mutect,,hg38,DELETE,,,,,14.078327903746136,https://drive.google.com/drive/folders/1bTZQM-tNJf3HVRlNV4RF09QhtYvZZ3fB?usp=sharing,1137,GÜL EDA,659021.0,s012,7:22:50
TestCase 441,done,LL,,Uhem + COSAP,NO,NO,BWA,,Mutect,,hg38,DELETE,,,,,13.669722080682266,https://drive.google.com/drive/folders/1X2ykoeKkbCWuXJ2z4GVHGQWaxjzDhTY7?usp=sharing,1104,GÜL EDA,658495.0,s046,3:10:12
TestCase 442,done,EA,,Uhem + COSAP,NO,NO,BWA,,Mutect,,hg38,DELETE,,,,,15.79942515846972,https://drive.google.com/drive/folders/14qSEiTXQ7hwJolLW47sjMaTRzvrihIPk?usp=share_link,1276,GUL EDA,665287.0,s063,07:45:24
TestCase 443,done,LL,,Altay + COSAP,NO,NO,BWA,,Mutect,,hg38,DELETE,,,,,13.669722080682266,https://drive.google.com/drive/folders/1pSUPC7daJKmN19jVlALflNxHh2YYQYjQ?usp=share_link,1104,GÜL EDA,31617.0,a081,03:17:13
TestCase 444,done,NC,,Uhem + COSAP,NO,NO,BWA,,Mutect,,hg38,DELETE,,,,,14.090709898384436,https://drive.google.com/drive/folders/1mVJKNRmjwHjHyazlVQIFEqIM6GRXP16x?usp=sharing,1138,GÜL EDA,659021.0,s012,9:05:06
TestCase 447,done,LL,,Uhem + COSAP,YES,NO,BWA,,Mutect,,hg38,DELETE,,,,,11.911478842043786,https://drive.google.com/drive/folders/10WE83fU9Cvp3xpJi83fQ47i1twlDb4Fi?usp=sharing,962,GÜL EDA,658495.0,s046,2:26:31
TestCase 448,done,EA,,Uhem + COSAP,YES,NO,BWA,,Mutect,,hg38,DELETE,,,,,16.009919067320805,https://drive.google.com/drive/folders/1CNeHUxd890JsTAu6kDcyj_7gumlsNza1?usp=share_link,1293,GUL EDA,665287.0,s063,06:59:08
TestCase 449,done,LL,,Altay + COSAP,YES,NO,BWA,,Mutect,,hg38,DELETE,,,,,11.911478842043786,https://drive.google.com/drive/folders/1BIh6NX8x01baNmdapy6EBN3qT__vhTeY?usp=share_link,962,GÜL EDA,31617.0,a081,02:30:55
TestCase 450,done,NC,,Uhem + COSAP,YES,NO,BWA,,Mutect,,hg38,DELETE,,,,,14.103091893022736,https://drive.google.com/drive/folders/1ADj7G8s8BLBjHFfJn_I0AvX2Vn5_4tb_?usp=sharing,1139,GÜL EDA,659021.0,s012,6:32:11
TestCase 453,done,LL,,Uhem + COSAP,NO,YES,BWA,,Mutect,,hg38,DELETE,,,,,12.666780514980033,https://drive.google.com/drive/folders/15JRvOTguoFu78gATC9DRoD4ABN8GKOv6?usp=sharing,1023,GÜL EDA,658495.0,s046,3:27:06
TestCase 454,done,EA,,Uhem + COSAP,NO,YES,BWA,,Mutect,,hg38,DELETE,,,,,15.316527367576054,https://drive.google.com/drive/folders/1LxbAnOgemlUr3WPITpsaqlmoZnumNqFj?usp=share_link,1237,GUL EDA,665287.0,s063,09:42:07
TestCase 455,done,LL,,Altay + COSAP,NO,YES,BWA,,Mutect,,hg38,DELETE,,,,,12.666780514980033,https://drive.google.com/drive/folders/1C7LpGML11bW0oVuNm7C7BDg6yM8I6H_j?usp=share_link,1023,GÜL EDA,31617.0,a081,03:35:02
TestCase 456,done,NC,,Uhem + COSAP,NO,YES,BWA,,Mutect,,hg38,DELETE,,,,,14.004035935916344,https://drive.google.com/drive/folders/1tkdRKlQSg43WsKr0D5JkW-6nGp75D5ck?usp=sharing,1131,GÜL EDA,659021.0,s012,9:02:31
TestCase 459,done,LL,,Uhem + COSAP,YES,YES,BOWTIE,,Mutect,,hg38,DELETE,,,,,11.973388815235284,https://drive.google.com/drive/folders/1KyHLsnJSI6c9kquU-2o3t8X4hhv50MLd?usp=sharing,967,GÜL EDA,658498.0,s042,3:04:35
TestCase 460,done,EA,,Uhem + COSAP,YES,YES,BOWTIE,,Mutect,,hg38,DELETE,,,,,13.397318198639686,https://drive.google.com/drive/folders/19KcdTpkcVnXljVPYvjnlUzMSsWFkXEC7?usp=share_link,1082,GUL EDA,665290.0,s066,09:17:06
TestCase 461,done,LL,,Altay + COSAP,YES,YES,BOWTIE,,Mutect,,hg38,DELETE,,,,,11.973388815235284,https://drive.google.com/drive/folders/1MoTijW6y3iP8m50lKGgIQ-Lp_MgHAf0F?usp=share_link,967,GÜL EDA,31620.0,a076,02:52:52
TestCase 462,done,NC,,Uhem + COSAP,YES,YES,BOWTIE,,Mutect,,hg38,DELETE,,,,,13.261116257618394,https://drive.google.com/drive/folders/1QPTjnixuq_LwXmDN2Z2Ycku0xbiMQU1E?usp=sharing,1071,GÜL EDA,659023.0,s022,7:12:41
TestCase 465,done,LL,,Uhem + COSAP,NO,NO,BOWTIE,,Mutect,,hg38,DELETE,,,,,11.98577080987358,https://drive.google.com/drive/folders/198PQ6Ewo7vRyoFhfzf0kC1oDuyJ879lU?usp=sharing,968,GÜL EDA,658498.0,s042,4:13:58
TestCase 466,done,EA,,Uhem + COSAP,NO,NO,BOWTIE,,Mutect,,hg38,DELETE,,,,,13.545902134299276,https://drive.google.com/drive/folders/1RJnPmMzUfZj7G-isHy0m6kTmWIkjrdJk?usp=share_link,1094,GUL EDA,665290.0,s066,12:07:36
TestCase 467,done,LL,,Altay + COSAP,NO,NO,BOWTIE,,Mutect,,hg38,DELETE,,,,,11.98577080987358,https://drive.google.com/drive/folders/1Dv-Pv81y_w1X0RNSiRf7nMlkWLyGzhMb?usp=share_link,968,GÜL EDA,31620.0,a076,03:52:28
TestCase 468,done,NC,,Uhem + COSAP,NO,NO,BOWTIE,,Mutect,,hg38,DELETE,,,,,13.42208218791628,https://drive.google.com/drive/folders/1boZwTou4FinDOddWNw0r84g0lMsJLK1w?usp=sharing,1084,GÜL EDA,659023.0,s022,10:58:56
TestCase 471,done,LL,,Uhem + COSAP,YES,NO,BOWTIE,,Mutect,,hg38,DELETE,,,,,11.341907088682024,https://drive.google.com/drive/folders/1F1A05glBm5JKdY2L7HW9KQkZQ13WtNMf?usp=sharing,916,GÜL EDA,658498.0,s042,2:42:15
TestCase 472,done,EA,,Uhem + COSAP,YES,NO,BOWTIE,,Mutect,,hg38,DELETE,,,,,13.830688010980156,https://drive.google.com/drive/folders/1TGSgLzvJwwbdP7N6YIGs4XQdUft9U-Ge?usp=share_link,1117,GUL EDA,665290.0,s066,07:15:09
TestCase 473,done,LL,,Altay + COSAP,YES,NO,BOWTIE,,Mutect,,hg38,DELETE,,,,,11.341907088682024,https://drive.google.com/drive/folders/1vSwXYS13EicQZ7zqYLDJbbU76uPZg0Pl?usp=share_link,916,GÜL EDA,31620.0,a076,02:29:26
TestCase 474,done,NC,,Uhem + COSAP,YES,NO,BOWTIE,,Mutect,,hg38,DELETE,,,,,13.34779022008649,https://drive.google.com/drive/folders/1No-4hrziR2D6xvJ5FbikUBEKfKuJdhkG?usp=sharing,1078,GÜL EDA,659023.0,s022,6:05:45
TestCase 477,done,LL,,Uhem + COSAP,NO,YES,BOWTIE,,Mutect,,hg38,DELETE,,,,,11.081885201277744,https://drive.google.com/drive/folders/1EjpwvT7Kb1M5U8VVO5GHpwW3saLnask1?usp=sharing,895,GÜL EDA,658498.0,s042,4:09:33
TestCase 478,done,EA,,Uhem + COSAP,NO,YES,BOWTIE,,Mutect,,hg38,DELETE,,,,,13.310644236171589,https://drive.google.com/drive/folders/1CF4lrnIypeGLt2gk8lJLuk6j0SWEfHML?usp=share_link,1075,GUL EDA,665290.0,s066,12:44:01
TestCase 479,done,LL,,Altay + COSAP,NO,YES,BOWTIE,,Mutect,,hg38,DELETE,,,,,11.081885201277744,https://drive.google.com/drive/folders/1biLYVHYtuW68jB501QWwAX9vWdc_7y7o?usp=share_link,895,GÜL EDA,31620.0,a076,03:44:02
TestCase 480,done,NC,,Uhem + COSAP,NO,YES,BOWTIE,,Mutect,,hg38,DELETE,,,,,13.446846177192882,https://drive.google.com/drive/folders/11qDZOWWtfF_-1TYNDurujebbbeF1pVmG?usp=sharing,1086,GÜL EDA,659023.0,s022,9:48:41
TestCase 483,done,LL,,Uhem + COSAP,YES,YES,BWA,,Strelka,,hg38,DELETE,,,,,23.17909396289601,https://drive.google.com/drive/folders/1ycRRP55yOI4ELwh7HpzqQ3guTrm047nP?usp=sharing,1872,GÜL EDA,655822.0,s037,1:16:45
TestCase 484,done,EA,,Uhem + COSAP,YES,YES,BWA,,Strelka,,hg38,DELETE,,,,,23.71151973234288,https://drive.google.com/drive/folders/1Ou8e0D_wxPL7F3xN5Xp-cdGK44z1UIIT?usp=share_link,1915,GUL EDA,665288.0,s064,03:44:14
TestCase 485,done,LL,,Altay + COSAP,YES,YES,BWA,,Strelka,,hg38,DELETE,,,,,23.17909396289601,https://drive.google.com/drive/folders/1lg3jMqbMhn-ahPeo6aZearEzheRpmsoW?usp=share_link,1872,GÜL EDA,31618.0,a084,01:23:36
TestCase 486,done,NC,,Uhem + COSAP,YES,YES,BWA,,Strelka,,hg38,DELETE,,,,,22.720960161278946,https://drive.google.com/drive/folders/199aS-22j-Du3ePJFinCMQuuVJZ43oOxd?usp=sharing,1835,GÜL EDA,655770.0,s021,2:16:45
TestCase 489,done,LL,,Uhem + COSAP,NO,NO,BWA,,Strelka,,hg38,DELETE,,,,,25.44499898170476,https://drive.google.com/drive/folders/11IsIHIPStR7tjtyi9bdso8mlUBjjvEl2?usp=sharing,2055,GÜL EDA,655822.0,s037,0:42:25
TestCase 490,done,EA,,Uhem + COSAP,NO,NO,BWA,,Strelka,,hg38,DELETE,,,,,27.797577962981602,https://drive.google.com/drive/folders/11gZjua2sT8HptohvJjzttlulxkGhJeAM?usp=share_link,2245,GUL EDA,665288.0,s064,01:37:40
TestCase 491,done,LL,,Altay + COSAP,NO,NO,BWA,,Strelka,,hg38,DELETE,,,,,25.44499898170476,https://drive.google.com/drive/folders/1wIA-gQd3nWmwNY3UOEYR_Bh31bIUde59?usp=share_link,2055,GÜL EDA,31618.0,a084,00:37:57
TestCase 492,done,NC,,Uhem + COSAP,NO,NO,BWA,,Strelka,,hg38,DELETE,,,,,24.62778733557701,https://drive.google.com/drive/folders/1fEXIs6YZzyUJPinhMm8YW9Q4r5sgPfly?usp=sharing,1989,GÜL EDA,655770.0,s021,0:58:05
TestCase 495,done,LL,,Uhem + COSAP,YES,NO,BWA,,Strelka,,hg38,DELETE,,,,,26.2745926224708,https://drive.google.com/drive/folders/1lzoPLPuTSr5JZ8WDS3JPI25ybRFqHbAJ?usp=sharing,2122,GÜL EDA,655822.0,s037,0:34:45
TestCase 496,done,EA,,Uhem + COSAP,YES,NO,BWA,,Strelka,,hg38,DELETE,,,,,29.011013437534924,https://drive.google.com/drive/folders/1CPzWlPV6ox0S-4rg-QyS9yWylNY_a1VW?usp=share_link,2343,GUL EDA,665288.0,s064,01:44:11
TestCase 497,done,LL,,Altay + COSAP,YES,NO,BWA,,Strelka,,hg38,DELETE,,,,,26.2745926224708,https://drive.google.com/drive/folders/1_Cfc5WDB20gDGhuL5Jb4iMxhsFDzsF5X?usp=share_link,2122,GÜL EDA,31618.0,a084,00:45:14
TestCase 498,done,NC,,Uhem + COSAP,YES,NO,BWA,,Strelka,,hg38,DELETE,,,,,25.383089008513263,https://drive.google.com/drive/folders/1Prw8v5igWpSyPidwKfXiH2JbdxCAERWx?usp=sharing,2050,GÜL EDA,655770.0,s021,1:02:33
TestCase 501,done,LL,,Uhem + COSAP,NO,YES,BWA,,Strelka,,hg38,DELETE,,,,,22.49808425778956,https://drive.google.com/drive/folders/1tp87F42QW28AvqTTD4evV9fN7WBCfaK0?usp=sharing,1817,GÜL EDA,655822.0,s037,1:14:50
TestCase 502,done,EA,,Uhem + COSAP,NO,YES,BWA,,Strelka,,hg38,DELETE,,,,,22.39902830068317,https://drive.google.com/drive/folders/11s-QzzutmyhaXy2uyW0JHX_j_RQq2-i6?usp=share_link,1809,GUL EDA,665288.0,s064,03:42:07
