TestCase,data,mapper,variantCaller,VCFLength
164,EA,Bowtie,Strelka,0
165,EA,BWA,Mutect,0
166,EA,BWA,Strelka,0
167,EA,Bowtie,Mutect,0
168,EA,Bowtie,Strelka,0
169,EA,BWA,Mutect,0
170,EA,BWA,Strelka,0
171,EA,Bowtie,Mutect,0
172,EA,Bowtie,Strelka,0
173,EA,BWA,Mutect,0
174,EA,BWA,Strelka,0
175,EA,Bowtie,Mutect,0
176,EA,Bowtie,Strelka,0
177,EA,BWA,Mutect,0
178,EA,BWA,Strelka,0
179,EA,Bowtie,Mutect,0
180,EA,Bowtie,Strelka,0
181,EA,BWA,Mutect,0
182,EA,BWA,Strelka,0
183,EA,Bowtie,Mutect,0
184,EA,Bowtie,Strelka,0
185,EA,BWA,Mutect,0
186,EA,BWA,Strelka,0
187,EA,Bowtie,Mutect,0
188,EA,Bowtie,Strelka,0
189,EA,BWA,Mutect,0
190,EA,BWA,Strelka,0
191,EA,Bowtie,Mutect,0
192,EA,Bowtie,Strelka,0
193,NC,BWA,Mutect,0
194,NC,BWA,Strelka,0
195,NC,Bowtie,Mutect,0
196,NC,Bowtie,Strelka,0
197,NC,BWA,Mutect,0
198,NC,BWA,Strelka,0
199,NC,Bowtie,Mutect,0
200,NC,Bowtie,Strelka,0
201,NC,BWA,Mutect,0
202,NC,BWA,Strelka,0
203,NC,Bowtie,Mutect,0
204,NC,Bowtie,Strelka,0
205,NC,BWA,Mutect,0
206,NC,BWA,Strelka,0
207,NC,Bowtie,Mutect,0
208,NC,Bowtie,Strelka,0
209,NC,BWA,Mutect,0
210,NC,BWA,Strelka,0
211,NC,Bowtie,Mutect,0
212,NC,Bowtie,Strelka,0
213,NC,BWA,Mutect,0
214,NC,BWA,Strelka,0
215,NC,Bowtie,Mutect,0
216,NC,Bowtie,Strelka,0
217,NC,BWA,Mutect,0
218,NC,BWA,Strelka,0
219,NC,Bowtie,Mutect,0
220,NC,Bowtie,Strelka,0
221,NC,BWA,Mutect,0
222,NC,BWA,Strelka,0
223,NC,Bowtie,Mutect,0
224,NC,Bowtie,Strelka,0
225,NC,BWA,Mutect,0
226,NC,BWA,Strelka,0
227,NC,Bowtie,Mutect,0
228,NC,Bowtie,Strelka,0
229,NC,BWA,Mutect,0
230,NC,BWA,Strelka,0
231,NC,Bowtie,Mutect,0
232,NC,Bowtie,Strelka,0
233,NC,BWA,Mutect,0
234,NC,BWA,Strelka,0
235,NC,Bowtie,Mutect,0
236,NC,Bowtie,Strelka,0
237,NC,BWA,Mutect,0
238,NC,BWA,Strelka,0
239,NC,Bowtie,Mutect,0
240,NC,Bowtie,Strelka,0
241,NC,BWA,Mutect,0
242,NC,BWA,Strelka,0
243,NC,Bowtie,Mutect,0
244,NC,Bowtie,Strelka,0
245,NC,BWA,Mutect,0
246,NC,BWA,Strelka,0
247,NC,Bowtie,Mutect,0
248,NC,Bowtie,Strelka,0
249,NC,BWA,Mutect,0
250,NC,BWA,Strelka,0
251,NC,Bowtie,Mutect,0
252,NC,Bowtie,Strelka,0
253,NC,BWA,Mutect,0
254,NC,BWA,Strelka,0
255,NC,Bowtie,Mutect,0
256,NC,Bowtie,Strelka,0
257,FD,BWA,Mutect,0
258,FD,BWA,Strelka,0
259,FD,Bowtie,Mutect,0
260,FD,Bowtie,Strelka,0
261,FD,BWA,Mutect,0
262,FD,BWA,Strelka,0
263,FD,Bowtie,Mutect,0
264,FD,Bowtie,Strelka,0
265,FD,BWA,Mutect,0
266,FD,BWA,Strelka,0
