held_out,size,k,combination,train_f1,held_out_precision,held_out_recall,held_out_f1,best_single_pipeline,best_single_held_out_f1,gain
EA,6,4,3;11;13;15;17;21,0.8841630033274793,0.9597000937207123,0.8819982773471146,0.9192100538599642,3,0.8979045920641997,0.021305461795764535
FD,6,4,3;9;13;15;16;21,0.9003803175519016,0.9201596806387226,0.7941429801894918,0.8525196486361535,3,0.8315643747115828,0.02095527392457064
IL,6,4,3;11;13;14;17;21,0.8802814982059854,0.9846889952153111,0.8863049095607235,0.9329102447869447,3,0.9200902934537246,0.012819951333220114
LL,6,4,1;3;13;17;19;23,0.9035061178792977,0.9648924122310306,0.7338501291989664,0.8336594911937377,3,0.8233082706766917,0.010351220517046067
NC,6,4,3;11;13;15;17;21,0.8881371009958295,0.95489443378119,0.8570198105081827,0.9033136631865638,3,0.8808243727598567,0.02248929042670711
